Herbivore_species;Site;Season;Body_weight;CN;CP;NP;feces_ID;unit;component_name;component_mean
CO;ZW;S;900;18.42324363;65.61027129;3.561276864;1;mg/g;C;467.7087228
CO;ZW;S;900;18.42324363;65.61027129;3.561276864;1;mg/g;N;25.38688258
CO;ZW;S;900;18.42324363;65.61027129;3.561276864;1;mg/g;P;7.128589984
CO;ZW;S;900;18.9734409;70.59778281;3.720873993;2;mg/g;C;492.5159517
CO;ZW;S;900;18.9734409;70.59778281;3.720873993;2;mg/g;N;25.95817776
CO;ZW;S;900;18.9734409;70.59778281;3.720873993;2;mg/g;P;6.976365717
CO;ZW;S;900;17.03533628;54.54616883;3.201942595;3;mg/g;C;416.5364938
CO;ZW;S;900;17.03533628;54.54616883;3.201942595;3;mg/g;N;24.45132207
CO;ZW;S;900;17.03533628;54.54616883;3.201942595;3;mg/g;P;7.636402385
CO;ZW;S;900;17.75302195;42.82911225;2.412497004;4;mg/g;C;418.8033662
CO;ZW;S;900;17.75302195;42.82911225;2.412497004;4;mg/g;N;23.59053954
CO;ZW;S;900;17.75302195;42.82911225;2.412497004;4;mg/g;P;9.778474131
CO;ZW;S;900;16.44975306;37.78202797;2.296814295;5;mg/g;C;460.9785554
CO;ZW;S;900;16.44975306;37.78202797;2.296814295;5;mg/g;N;28.02343317
CO;ZW;S;900;16.44975306;37.78202797;2.296814295;5;mg/g;P;12.20100085
CO;ZW;S;900;17.01178282;58.78438099;3.455509726;6;mg/g;C;484.3625191
CO;ZW;S;900;17.01178282;58.78438099;3.455509726;6;mg/g;N;28.47217862
CO;ZW;S;900;17.01178282;58.78438099;3.455509726;6;mg/g;P;8.239646501
DH;K;S;56;13.17076772;153.2477378;11.63544457;7;mg/g;C;475.3475162
DH;K;S;56;13.17076772;153.2477378;11.63544457;7;mg/g;N;36.09110162
DH;K;S;56;13.17076772;153.2477378;11.63544457;7;mg/g;P;3.101824034
DH;K;S;56;14.51075184;193.7005015;13.34875709;8;mg/g;C;445.1472515
