Herbivores,Days,C/N
Cattle,0,17.981
Cattle,0,17.5121
Cattle,0,17.2963
Cattle,0,17.4548
Cattle,0,17.4832
Cattle,30,14.7047
Cattle,30,14.5213
Cattle,30,15.0502
Cattle,30,15.0225
Cattle,30,14.9815
Cattle,60,13.8845
Cattle,60,14.6756
Cattle,60,14.0133
Cattle,60,13.9764
Cattle,60,14.5287
Cattle,90,14.0976
Cattle,90,14.5283
Cattle,90,15.1476
Cattle,90,14.6912
Cattle,90,14.6506
Cattle,120,14.6492
Cattle,120,14.5457
Cattle,120,15.3216
Cattle,120,14.4771
Cattle,120,14.9749
Sheep,0,14.6706
Sheep,0,14.9499
Sheep,0,14.6142
Sheep,0,14.6416
Sheep,0,14.7764
Sheep,30,15.3748
Sheep,30,15.1819
Sheep,30,15.4856
Sheep,30,15.2515
Sheep,30,15.286
Sheep,60,13.4716
Sheep,60,13.8176
Sheep,60,13.8844
Sheep,60,13.6925
Sheep,60,13.6137
Sheep,90,12.9062
Sheep,90,13.2421
Sheep,90,13.1469
Sheep,90,13.3837
Sheep,90,12.8468
Sheep,120,13.8039
Sheep,120,13.0967
Sheep,120,13.152
Sheep,120,13.7689
Sheep,120,13.341
