"","Herbivores","Hemicellulose_mg/g","Cellulose_mg/g","ADL_mg/g","ADL/N","feces_ID","component_name","component_mean"
"1","Cattle",168.649,108.776,159.403,7.226,"1","C_mg/g",396.683
"2","Cattle",168.649,108.776,159.403,7.226,"1","N_mg/g",22.061
"3","Cattle",181.479,116.676,167.573,7.476,"2","C_mg/g",392.54
"4","Cattle",181.479,116.676,167.573,7.476,"2","N_mg/g",22.415
"5","Cattle",154.372,75.214,200.655,8.752,"3","C_mg/g",396.541
"6","Cattle",154.372,75.214,200.655,8.752,"3","N_mg/g",22.926
"7","Cattle",180.63,93.534,184.274,8.095,"4","C_mg/g",397.343
"8","Cattle",180.63,93.534,184.274,8.095,"4","N_mg/g",22.764
"9","Cattle",151.242,123.142,164.91,7.234,"5","C_mg/g",398.555
"10","Cattle",151.242,123.142,164.91,7.234,"5","N_mg/g",22.796
"11","Sheep",156.012,20.904,223.844,9.243,"6","C_mg/g",355.298
"12","Sheep",156.012,20.904,223.844,9.243,"6","N_mg/g",24.218
"13","Sheep",138.875,44.46,203.255,8.514,"7","C_mg/g",356.91
"14","Sheep",138.875,44.46,203.255,8.514,"7","N_mg/g",23.874
"15","Sheep",139.503,38.967,214.327,8.746,"8","C_mg/g",358.154
"16","Sheep",139.503,38.967,214.327,8.746,"8","N_mg/g",24.507
"17","Sheep",141.21,23.081,212.471,8.793,"9","C_mg/g",353.779
"18","Sheep",141.21,23.081,212.471,8.793,"9","N_mg/g",24.163
"19","Sheep",146.854,31.707,217.816,8.967,"10","C_mg/g",358.922
"20","Sheep",146.854,31.707,217.816,8.967,"10","N_mg/g",24.29
