Herbivores,Days,Remaining_mass_ratio,Water_Content_%
Cattle,0,1,76.4509
Cattle,0,1,78.3203
Cattle,0,1,74.9268
Cattle,0,1,73.1666
Cattle,0,1,80.686
Cattle,30,0.7755,15.1307
Cattle,30,0.76141,16.0799
Cattle,30,0.69852,17.2644
Cattle,30,0.71925,16.7136
Cattle,30,0.71854,16.2576
Cattle,60,0.67767,6.3059
Cattle,60,0.64692,6.3142
Cattle,60,0.62674,6.6621
Cattle,60,0.5847,6.5015
Cattle,60,0.60758,6.9044
Cattle,90,0.61237,5.4268
Cattle,90,0.62563,7.0632
Cattle,90,0.62412,5.816
Cattle,90,0.61574,4.8362
Cattle,90,0.60455,5.8488
Cattle,120,0.62617,6.8365
Cattle,120,0.6285,6.9965
Cattle,120,0.62253,7.1013
Cattle,120,0.6428,7.7856
Cattle,120,0.59872,7.4892
Sheep,0,1,10.8236
Sheep,0,1,10.2796
Sheep,0,1,10.7692
Sheep,0,1,11.7483
Sheep,0,1,9.5283
Sheep,30,0.84321,9.4857
Sheep,30,0.84714,9.6365
Sheep,30,0.81721,9.3711
Sheep,30,0.78658,9.5992
Sheep,30,0.81324,8.4365
Sheep,60,0.70903,5.8753
Sheep,60,0.73062,6.8341
Sheep,60,0.736,6.9759
Sheep,60,0.66355,6.737
Sheep,60,0.69479,7.1751
Sheep,90,0.7018,6.0588
Sheep,90,0.72033,6.3128
Sheep,90,0.67664,6.5527
Sheep,90,0.68246,6.3077
Sheep,90,0.64905,6.7233
Sheep,120,0.68748,7.6761
Sheep,120,0.66139,8.21
Sheep,120,0.65409,8.4531
Sheep,120,0.67284,8.1847
Sheep,120,0.63588,7.9867
