Herbivores,Days,Mineral_N_mg/g,Water_content_%
Sheep,0,0.033268,13.9768
Sheep,0,0.036518,9.9261
Sheep,0,0.031989,15.1938
Sheep,0,0.034989,16.04
Sheep,0,0.044717,15.7555
Cattle,0,0.02607,9.2824
Cattle,0,0.039459,13.7941
Cattle,0,0.047191,15.488
Cattle,0,0.043455,13.3717
Cattle,0,0.035566,11.4647
Control,0,0.027126,11.9809
Control,0,0.044569,14.5616
Control,0,0.037676,13.1553
Control,0,0.035875,12.2558
Control,0,0.035931,14.7749
Sheep,30,0.015159,2.2932
Sheep,30,0.015497,2.103
Sheep,30,0.019428,2.0315
Sheep,30,0.015377,2.2663
Sheep,30,0.022582,2.2595
Cattle,30,0.023416,2.3218
Cattle,30,0.038194,2.0548
Cattle,30,0.038357,2.1176
Cattle,30,0.028084,1.9537
Cattle,30,0.024812,2.1739
Control,30,0.019154,2.1722
Control,30,0.020348,2.2078
Control,30,0.024422,2.2941
Control,30,0.019817,2.104
Control,30,0.018015,2.1935
