Feces_N_mean,Food_N_mean,season,orgnanism,location
1.2526,1.4979,winter,roe_deer,karlova_studanka
1.2511,1.5636,winter,roe_deer,karlova_studanka
1.2526,1.6421,winter,roe_deer,karlova_studanka
1.4841,1.3963,winter,roe_deer,karlova_studanka
1.4799,1.457,winter,roe_deer,karlova_studanka
1.4729,1.5076,winter,roe_deer,karlova_studanka
1.6455,1.4998,winter,roe_deer,karlova_studanka
1.6427,1.4441,winter,roe_deer,karlova_studanka
1.6441,1.4062,winter,roe_deer,karlova_studanka
2.5351,2.0345,fall,roe_deer,karlova_studanka
2.5295,1.903,fall,roe_deer,karlova_studanka
2.5323,1.6854,fall,roe_deer,karlova_studanka
2.5968,2.2115,fall,roe_deer,karlova_studanka
2.5939,1.9636,fall,roe_deer,karlova_studanka
2.5981,1.8624,fall,roe_deer,karlova_studanka
2.6529,2.1279,fall,roe_deer,karlova_studanka
2.6543,2.0014,fall,roe_deer,karlova_studanka
2.6572,1.8041,fall,roe_deer,karlova_studanka
3.0458,2.1601,fall,roe_deer,karlova_studanka
3.0486,2.0286,fall,roe_deer,karlova_studanka
3.05,1.8212,fall,roe_deer,karlova_studanka
3.0416,2.5699,summer,roe_deer,karlova_studanka
3.043,2.3853,summer,roe_deer,karlova_studanka
3.0458,2.3144,summer,roe_deer,karlova_studanka
3.0921,2.585,summer,roe_deer,karlova_studanka
3.0893,2.4358,summer,roe_deer,karlova_studanka
3.0964,2.3624,summer,roe_deer,karlova_studanka
3.2395,2.6278,summer,roe_deer,karlova_studanka
3.2465,2.4607,summer,roe_deer,karlova_studanka
3.2423,2.3773,summer,roe_deer,karlova_studanka
3.3082,2.6226,summer,roe_deer,karlova_studanka
3.3068,2.4632,summer,roe_deer,karlova_studanka
3.3124,2.3797,summer,roe_deer,karlova_studanka
3.9325,3.2893,spring,roe_deer,karlova_studanka
3.9341,3.2033,spring,roe_deer,karlova_studanka
3.9369,3.1198,spring,roe_deer,karlova_studanka
3.9397,3.0414,spring,roe_deer,karlova_studanka
3.9355,2.7657,spring,roe_deer,karlova_studanka
3.9397,2.7227,spring,roe_deer,karlova_studanka
3.9747,3.269,spring,roe_deer,karlova_studanka
3.9846,3.1628,spring,roe_deer,karlova_studanka
3.979,3.0844,spring,roe_deer,karlova_studanka
3.9733,2.7555,spring,roe_deer,karlova_studanka
4.0519,3.2461,spring,roe_deer,karlova_studanka
4.0491,3.193,spring,roe_deer,karlova_studanka
4.0477,3.0514,spring,roe_deer,karlova_studanka
4.0477,2.7883,spring,roe_deer,karlova_studanka
