Fecal_N_mean,Food_N_mean,season,organism_raw,location
1.3907,1.3825,winter,red_deer,karlova_studanka
1.3885,1.3405,winter,red_deer,karlova_studanka
1.5492,1.4827,winter,red_deer,karlova_studanka
1.5503,1.4426,winter,red_deer,karlova_studanka
1.5503,1.3987,winter,red_deer,karlova_studanka
1.6229,1.3408,winter,red_deer,karlova_studanka
1.6218,1.3008,winter,red_deer,karlova_studanka
1.755,1.381,winter,red_deer,karlova_studanka
1.7561,1.329,winter,red_deer,karlova_studanka
2.3261,1.8578,fall,red_deer,karlova_studanka
2.325,1.8938,fall,red_deer,karlova_studanka
2.3514,1.9398,fall,red_deer,karlova_studanka
2.3822,1.9298,fall,red_deer,karlova_studanka
2.3822,1.8758,fall,red_deer,karlova_studanka
2.6277,1.9162,fall,red_deer,karlova_studanka
2.6277,1.8721,fall,red_deer,karlova_studanka
2.7652,2.0524,summer,red_deer,karlova_studanka
2.7641,2.3124,summer,red_deer,karlova_studanka
2.7663,2.4043,summer,red_deer,karlova_studanka
2.8125,2.3404,summer,red_deer,karlova_studanka
2.8136,2.2524,summer,red_deer,karlova_studanka
2.8081,2.1884,summer,red_deer,karlova_studanka
2.8103,2.1224,summer,red_deer,karlova_studanka
2.8103,1.9724,summer,red_deer,karlova_studanka
3.0084,2.6367,summer,red_deer,karlova_studanka
3.0084,2.5867,summer,red_deer,karlova_studanka
3.0073,2.4567,summer,red_deer,karlova_studanka
3.0679,2.4308,summer,red_deer,karlova_studanka
3.0701,2.3308,summer,red_deer,karlova_studanka
3.0084,2.2227,summer,red_deer,karlova_studanka
3.0073,2.1207,summer,red_deer,karlova_studanka
3.0701,2.1488,summer,red_deer,karlova_studanka
3.0712,2.0468,summer,red_deer,karlova_studanka
3.4343,2.7631,spring,red_deer,karlova_studanka
3.4288,2.6972,spring,red_deer,karlova_studanka
3.4343,2.6452,spring,red_deer,karlova_studanka
3.4321,2.5812,spring,red_deer,karlova_studanka
3.4354,2.5252,spring,red_deer,karlova_studanka
3.4343,2.4292,spring,red_deer,karlova_studanka
3.4916,2.6433,spring,red_deer,karlova_studanka
3.4916,2.5853,spring,red_deer,karlova_studanka
3.4916,2.5093,spring,red_deer,karlova_studanka
3.4905,2.3913,spring,red_deer,karlova_studanka
3.5609,2.6054,spring,red_deer,karlova_studanka
3.562,2.5373,spring,red_deer,karlova_studanka
3.562,2.4354,spring,red_deer,karlova_studanka
3.562,2.3034,spring,red_deer,karlova_studanka
