Food_N_mean,Feces_n_mean,,organism,location
1.722,1.7851,winter,red_deer,praded
1.7174,1.7325,winter,red_deer,praded
1.7656,1.6157,winter,red_deer,praded
1.7631,1.5631,winter,red_deer,praded
1.8345,1.8023,winter,red_deer,praded
1.8365,1.7336,winter,red_deer,praded
1.9137,1.7748,winter,red_deer,praded
1.9158,1.7263,winter,red_deer,praded
2.1006,1.6108,fall,red_deer,praded
2.1025,1.5016,fall,red_deer,praded
2.0688,1.657,fall,red_deer,praded
2.0674,1.5518,fall,red_deer,praded
2.0953,1.6815,fall,red_deer,praded
2.0972,1.5643,fall,red_deer,praded
2.1526,1.6679,fall,red_deer,praded
2.1536,1.6275,fall,red_deer,praded
2.1555,1.5264,fall,red_deer,praded
2.5274,2.0778,summer,red_deer,praded
2.5293,1.9787,summer,red_deer,praded
2.5269,1.8938,summer,red_deer,praded
2.5615,2.072,summer,red_deer,praded
2.5646,1.971,summer,red_deer,praded
2.5644,1.9144,summer,red_deer,praded
2.5654,1.8658,summer,red_deer,praded
2.6348,2.6002,summer,red_deer,praded
2.6366,2.4811,summer,red_deer,praded
2.6354,2.0586,summer,red_deer,praded
2.635,1.9312,summer,red_deer,praded
2.6347,1.8463,summer,red_deer,praded
2.8991,2.1601,summer,red_deer,praded
2.9011,2.0853,summer,red_deer,praded
2.9028,1.9175,summer,red_deer,praded
2.8963,1.9923,fall,red_deer,praded
3.3161,3.0677,spring,red_deer,praded
3.3111,2.4854,spring,red_deer,praded
3.3176,2.4754,spring,red_deer,praded
3.3108,2.358,spring,red_deer,praded
3.7119,3.1139,spring,red_deer,praded
3.7126,2.5963,spring,red_deer,praded
3.9401,3.112,spring,red_deer,praded
3.9405,2.5034,spring,red_deer,praded
3.9393,2.4651,spring,red_deer,praded
3.9401,2.366,spring,red_deer,praded
4.0478,3.0099,spring,red_deer,praded
4.0452,2.5186,spring,red_deer,praded
4.0463,2.4944,spring,red_deer,praded
4.0471,2.3953,spring,red_deer,praded
