Tree species;Form;Replicate;C concentration (%);N concentration (%);C/N ratio
Acer pseudoplatanus;faeces;1;43.57950974;1.759551764;24.76739283
Acer pseudoplatanus;faeces;2;43.31437683;1.79599607;24.11718909
Acer pseudoplatanus;faeces;3;43.41782761;1.818193793;23.8796479
Acer pseudoplatanus;litter;1;44.76478958;1.335745454;33.5129642
Acer pseudoplatanus;litter;2;44.95053482;1.335275292;33.66387072
Acer pseudoplatanus;litter;3;44.06861496;1.141421676;38.60853171
Castanea sativa;faeces;1;46.56131363;1.327477098;35.07504101
Castanea sativa;faeces;2;46.91094971;1.534412742;30.5725757
Castanea sativa;faeces;3;46.79253387;1.349252582;34.68033674
Castanea sativa;litter;1;47.14677429;0.529190779;89.09220679
Castanea sativa;litter;2;47.24757004;0.583124101;81.02489666
Castanea sativa;litter;3;48.89949417;0.616334498;79.33921326
Ostrya carpinifolia;faeces;1;46.27936554;1.538045406;30.08972645
Ostrya carpinifolia;faeces;2;46.49937439;1.536023736;30.2725624
Ostrya carpinifolia;faeces;3;46.07913208;1.556810141;29.5984275
Ostrya carpinifolia;litter;1;46.93865585;1.139151454;41.20492994
Ostrya carpinifolia;litter;2;47.64838409;1.239147782;38.45254357
Ostrya carpinifolia;litter;3;47.73123169;1.249384403;38.20379986
Picea abies;faeces;1;41.56565857;1.612240195;25.78130646
Picea abies;faeces;2;40.99529266;1.614285231;25.39532165
Picea abies;faeces;3;41.44638824;1.636384964;25.32801826
Picea abies;litter;1;45.4540062;1.291154742;35.20415076
Picea abies;litter;2;46.25037003;1.341825366;34.4682484
Picea abies;litter;3;46.54149628;1.420120239;32.77292654
Quercus cerris;faeces;1;47.9858017;1.443429708;33.24429407
Quercus cerris;faeces;2;47.10684967;1.510326385;31.18984752
Quercus cerris;faeces;3;47.55383301;1.492689133;31.85782757
Quercus cerris;litter;1;49.92573547;1.138272047;43.86098701
Quercus cerris;litter;2;49.99236298;1.173282743;42.60896472
Quercus cerris;litter;3;49.43141556;1.043336391;47.3782147
Quercus ilex ilex;faeces;1;44.3928833;1.282425523;34.61634419
Quercus ilex ilex;faeces;2;43.3163147;1.317510843;32.87738763
Quercus ilex ilex;faeces;3;44.23002243;1.247195721;35.46357777
Quercus ilex ilex;litter;1;47.96846771;0.826569259;58.03321038
Quercus ilex ilex;litter;2;48.57684708;0.747812152;64.95862223
Quercus ilex ilex;litter;3;48.96977615;0.788206577;62.12809886
Quercus ilex rotundifolia;faeces;1;45.32766724;1.217141271;37.2410897
Quercus ilex rotundifolia;faeces;2;44.51843643;1.38986516;32.03075932
Quercus ilex rotundifolia;faeces;3;44.56733322;1.225282431;36.37311048
Quercus ilex rotundifolia;litter;1;47.12386703;1.157490969;40.71208183
Quercus ilex rotundifolia;litter;2;46.79834366;1.148289204;40.75484078
Quercus ilex rotundifolia;litter;3;47.14844131;1.111241221;42.42862882
