"","tree_species","form","component_name","component_mean","error","min","max"
"1","Acer pseudoplatanus","faeces","C",43.43723806,0.133627987967224,43.31437683,43.57950974
"2","Acer pseudoplatanus","faeces","CN_ratio",24.2547432733333,0.459579840941214,23.8796479,24.76739283
"3","Acer pseudoplatanus","faeces","N",1.791247209,0.0296080335704214,1.759551764,1.818193793
"4","Acer pseudoplatanus","litter","C",44.5946464533333,0.464927061515608,44.06861496,44.95053482
"5","Acer pseudoplatanus","litter","CN_ratio",35.2617888766667,2.89934628645763,33.5129642,38.60853171
"6","Acer pseudoplatanus","litter","N",1.27081414066667,0.112057408043656,1.141421676,1.335745454
"7","Castanea sativa","faeces","C",46.7549324033333,0.177825054002675,46.56131363,46.91094971
"8","Castanea sativa","faeces","CN_ratio",33.44265115,2.49338077350985,30.5725757,35.07504101
"9","Castanea sativa","faeces","N",1.40371414066667,0.113710756829448,1.327477098,1.534412742
"10","Castanea sativa","litter","C",47.7646128333333,0.98412737084193,47.14677429,48.89949417
"11","Castanea sativa","litter","CN_ratio",83.15210557,5.21286715820987,79.33921326,89.09220679
"12","Castanea sativa","litter","N",0.576216459333333,0.0439806045357956,0.529190779,0.616334498
"13","Ostrya carpinifolia","faeces","C",46.2859573366667,0.210198688425986,46.07913208,46.49937439
"14","Ostrya carpinifolia","faeces","CN_ratio",29.98690545,0.34863101465626,29.5984275,30.2725624
"15","Ostrya carpinifolia","faeces","N",1.54362642766667,0.011462090138315,1.536023736,1.556810141
"16","Ostrya carpinifolia","litter","C",47.4394238766667,0.435651688399298,46.93865585,47.73123169
"17","Ostrya carpinifolia","litter","CN_ratio",39.2870911233333,1.66554725341288,38.20379986,41.20492994
"18","Ostrya carpinifolia","litter","N",1.20922787966667,0.0609034168009998,1.139151454,1.249384403
"19","Picea abies","faeces","C",41.3357798233333,0.300840463037574,40.99529266,41.56565857
"20","Picea abies","faeces","CN_ratio",25.50154879,0.244603152104065,25.32801826,25.78130646
"21","Picea abies","faeces","N",1.62097013,0.0133887405492822,1.612240195,1.636384964
"22","Picea abies","litter","C",46.0819575033333,0.562966031726859,45.4540062,46.54149628
"23","Picea abies","litter","CN_ratio",34.1484419,1.24676379080415,32.77292654,35.20415076
"24","Picea abies","litter","N",1.351033449,0.0649739674678669,1.291154742,1.420120239
"25","Quercus cerris","faeces","C",47.5488281266667,0.439497388391747,47.10684967,47.9858017
"26","Quercus cerris","faeces","CN_ratio",32.0973230533333,1.04795334896384,31.18984752,33.24429407
"27","Quercus cerris","faeces","N",1.48214840866667,0.0346716238517044,1.443429708,1.510326385
"28","Quercus cerris","litter","C",49.7831713366667,0.30644559237486,49.43141556,49.99236298
"29","Quercus cerris","litter","CN_ratio",44.6160554766667,2.47265699904946,42.60896472,47.3782147
"30","Quercus cerris","litter","N",1.11829706033333,0.0672366244600151,1.043336391,1.173282743
"31","Quercus ilex ilex","faeces","C",43.9797401433333,0.580285192720624,43.3163147,44.3928833
"32","Quercus ilex ilex","faeces","CN_ratio",34.3191031966667,1.31846843577942,32.87738763,35.46357777
"33","Quercus ilex ilex","faeces","N",1.28237736233333,0.0351575857398667,1.247195721,1.317510843
"34","Quercus ilex ilex","litter","C",48.5050303133333,0.504502610483485,47.96846771,48.96977615
"35","Quercus ilex ilex","litter","CN_ratio",61.7066438233333,3.48188893906438,58.03321038,64.95862223
"36","Quercus ilex ilex","litter","N",0.787529329333333,0.0393829210960014,0.747812152,0.826569259
"37","Quercus ilex rotundifolia","faeces","C",44.8044789633333,0.453753461308177,44.51843643,45.32766724
"38","Quercus ilex rotundifolia","faeces","CN_ratio",35.2149865,2.7915630087777,32.03075932,37.2410897
"39","Quercus ilex rotundifolia","faeces","N",1.27742962066667,0.097457080299071,1.217141271,1.38986516
"40","Quercus ilex rotundifolia","litter","C",47.0235506666667,0.195421648489106,46.79834366,47.14844131
"41","Quercus ilex rotundifolia","litter","CN_ratio",41.2985171433333,0.978938906804215,40.71208183,42.42862882
"42","Quercus ilex rotundifolia","litter","N",1.13900713133333,0.0244821864272339,1.111241221,1.157490969
