intake N g/indiv/day	fecal N g/indiv/day
0.6061	0.1289
0.7471	0.1436
0.8639	0.1469
0.8625	0.1432
0.7194	0.1261
0.748	0.1231
0.7485	0.1182
0.6067	0.1039
0.6053	0.1009
0.6058	0.0961
0.8611	0.1314
0.8607	0.1259
1.0334	0.1179
1.0459	0.1314
1.032	0.1345
1.0066	0.1484
1.0352	0.1512
1.05	0.1479
1.0066	0.1672
1.0066	0.1739
1.0325	0.1787
1.05	0.1835
1.2061	0.1459
1.2269	0.1464
1.2468	0.146
1.2472	0.1408
1.2458	0.1329
1.2061	0.1316
1.2038	0.1238
1.2046	0.1204
1.0491	0.207
1.2731	0.1771
1.2726	0.1739
1.2722	0.1661
1.3682	0.1392
1.4098	0.1388
1.4089	0.1458
1.4093	0.149
1.4089	0.1562
1.3692	0.1722
1.4574	0.1533
1.4472	0.1461
1.4698	0.138
1.4698	0.1416
1.4726	0.1458
1.4726	0.1489
1.4703	0.1514
1.4744	0.1538
1.4703	0.1562
1.4703	0.1663
1.4586	0.1757
1.4458	0.1791
1.3705	0.169
1.4721	0.1855
1.4748	0.1891
1.4444	0.1919
1.4481	0.2045
1.3692	0.2049
1.5567	0.2168
1.5299	0.1939
1.5474	0.194
1.5483	0.1897
1.5382	0.1864
1.5446	0.1837
1.6268	0.196
1.6712	0.2037
1.6813	0.1968
1.6808	0.1944
1.6818	0.1912
1.6712	0.1783
1.6698	0.1707
1.6832	0.1635
1.6232	0.1606
1.6236	0.1535
1.6218	0.1479
1.5433	0.151
1.5446	0.1583
1.5423	0.1612
1.5474	0.164
1.5442	0.1692
1.674	0.1335
1.7976	0.1656
1.8	0.1824
1.8	0.188
1.7991	0.1911
1.8245	0.1935
1.825	0.1996
1.8239	0.202
1.8258	0.2064
1.9358	0.212
1.933	0.2045
1.9607	0.206
1.9367	0.2012
1.9344	0.1984
1.9353	0.1948
1.9358	0.1883
1.9348	0.1831
1.958	0.2333
1.9372	0.2239
1.0071	0.1535
