"reference_ID","first_author","reference_year","data_source","data_digitizer","data_checker","sample_type","body_part","food_ref","egestion_age","egestion_age_unit","bodymass_mean","bodymass_min","bodymass_max","bodymass_value_error","bodymass_error_type","bodymass_n_samples","bodymass_unit","bodymass_weight_type","age_mean","age_min","age_max","age_value_error","age_error_type","age_n_samples","age_unit","male_prop","sampling_year","sampling_month","sampling_day","sampling_season","sampling_location","sampling_latitude","sampling_longitude","location_in_reference","organism_name_ref","species_latin_name_ref","species_latin_name_gbif","gbif_id","gbif_id2","organism_stage","environment","temperature","food_ID","body_ID","feces_ID","urine_ID","nb_items_per_sample","nb_individuals_per_sample","individual_known","observation_resolution","observation_ID","animal_group_ID","times_series_ID","time_point","time_unit","repetition_ID","component_name","component_mean","component_min","component_max","component_value_error","component_error_type","component_n_samples","component_unit","component_weight_type","component_data_type","component_detail","component_extraction_method","component_measure_method","freezing","autoclaving","drying","oven","drying_time","drying_time_unit","drying_temp","drying_temp_unit","grinding","grinding_fineness","grinding_fineness_unit","comments"
"1030_999","charberet",2020,568,"preval",NA,"feces",NA,NA,"<24","hour",7,NA,NA,NA,NA,1,"kg","ww",10,NA,NA,NA,NA,1,"year",1,2021,1,30,NA,"menagerie",NA,NA,NA,NA,"felis_manul","felis_manul",2435023,2435023,"adult","zoo","11",NA,NA,1,NA,NA,1,1,"individual",1,1,NA,NA,NA,NA,"N",7.4,NA,NA,NA,NA,NA,"percent","dw","stock",NA,NA,"elemental_analyzer",1,1,1,1,3,"day",60,"c",1,80,"µm","F-2435023-568-i1-1"
"1030_999","charberet",2020,568,"preval",NA,"feces",NA,NA,"<24","hour",7,NA,NA,NA,NA,1,"kg","ww",10,NA,NA,NA,NA,1,"year",1,2021,1,30,NA,"menagerie",NA,NA,NA,NA,"felis_manul","felis_manul",2435023,2435023,"adult","zoo","11",NA,NA,1,NA,NA,1,1,"individual",2,1,NA,NA,NA,NA,"C",33.15,NA,NA,NA,NA,NA,"percent","dw","stock",NA,NA,"elemental_analyzer",1,1,1,1,3,"day",60,"c",1,80,"µm","F-2435023-568-i1-1"
"1030_999","charberet",2020,568,"preval",NA,"feces",NA,NA,"<24","hour",3.5,NA,NA,NA,NA,2,"kg","ww",6,NA,NA,NA,NA,2,"year",0.5,2021,1,30,NA,"menagerie",NA,NA,NA,NA,"martes_flavigula","martes_flavigula",5218844,5218844,"adult","zoo","11",NA,NA,2,NA,NA,2,0,"population",3,2,NA,NA,NA,NA,"N",7.56,NA,NA,NA,NA,NA,"percent","dw","stock",NA,NA,"elemental_analyzer",1,1,1,1,3,"day",60,"c",1,80,"µm","F-5218844-568-g1-1"
"1030_999","charberet",2020,568,"preval",NA,"feces",NA,NA,"<24","hour",3.5,NA,NA,NA,NA,2,"kg","ww",6,NA,NA,NA,NA,2,"year",0.5,2021,1,30,NA,"menagerie",NA,NA,NA,NA,"martes_flavigula","martes_flavigula",5218844,5218844,"adult","zoo","11",NA,NA,2,NA,NA,2,0,"population",4,2,NA,NA,NA,NA,"C",37.2,NA,NA,NA,NA,NA,"percent","dw","stock",NA,NA,"elemental_analyzer",1,1,1,1,3,"day",60,"c",1,80,"µm","F-5218844-568-g1-1"
"1030_999","charberet",2020,568,"preval",NA,"feces",NA,NA,"<24","hour",2,NA,NA,NA,NA,2,"kg","ww",4.5,2,7,3.535534,"standard_deviation",2,"year",1,2021,1,27,NA,"menagerie",NA,NA,NA,NA,"phloeomys_pallidus","phloeomys_pallidus",2438569,2438569,"adult","zoo","12",NA,NA,3,NA,NA,2,0,"population",5,3,NA,NA,NA,NA,"N",3.08,NA,NA,NA,NA,NA,"percent","dw","stock",NA,NA,"elemental_analyzer",1,1,1,1,3,"day",60,"c",1,80,"µm","F-2438569-568-g1-1"
"1030_999","charberet",2020,568,"preval",NA,"feces",NA,NA,"<24","hour",2,NA,NA,NA,NA,2,"kg","ww",4.5,2,7,3.535534,"standard_deviation",2,"year",1,2021,1,27,NA,"menagerie",NA,NA,NA,NA,"phloeomys_pallidus","phloeomys_pallidus",2438569,2438569,"adult","zoo","12",NA,NA,3,NA,NA,2,0,"population",6,3,NA,NA,NA,NA,"C",45.9,NA,NA,NA,NA,NA,"percent","dw","stock",NA,NA,"elemental_analyzer",1,1,1,1,3,"day",60,"c",1,80,"µm","F-2438569-568-g1-1"
"1030_999","charberet",2020,568,"preval",NA,"feces",NA,NA,"<24","hour",2.25,NA,NA,NA,NA,1,"kg","ww",9,NA,NA,NA,NA,1,"year",1,2021,1,27,NA,"menagerie",NA,NA,NA,NA,"vulpes_corsac","vulpes_corsac",5219293,5219293,"adult","zoo","5",NA,NA,4,NA,NA,1,1,"individual",7,4,NA,NA,NA,NA,"N",2.66,NA,NA,NA,NA,NA,"percent","dw","stock",NA,NA,"elemental_analyzer",1,1,1,1,3,"day",60,"c",1,80,"µm","F-5219293-568-i1-1"
"1030_999","charberet",2020,568,"preval",NA,"feces",NA,NA,"<24","hour",2.25,NA,NA,NA,NA,1,"kg","ww",9,NA,NA,NA,NA,1,"year",1,2021,1,27,NA,"menagerie",NA,NA,NA,NA,"vulpes_corsac","vulpes_corsac",5219293,5219293,"adult","zoo","5",NA,NA,4,NA,NA,1,1,"individual",8,4,NA,NA,NA,NA,"C",33.86,NA,NA,NA,NA,NA,"percent","dw","stock",NA,NA,"elemental_analyzer",1,1,1,1,3,"day",60,"c",1,80,"µm","F-5219293-568-i1-1"
"1030_999","charberet",2020,568,"preval",NA,"feces",NA,NA,"<24","hour",60,NA,NA,NA,NA,1,"kg","ww",9,NA,NA,NA,NA,1,"year",1,2021,1,27,NA,"menagerie",NA,NA,NA,NA,"panthera_panthera_pardus","panthera_pardus",5219436,5219436,"adult","zoo","12",NA,NA,5,NA,NA,1,1,"individual",9,5,NA,NA,NA,NA,"N",6.92,NA,NA,NA,NA,NA,"percent","dw","stock",NA,NA,"elemental_analyzer",1,1,1,1,3,"day",60,"c",1,80,"µm","F-5219439-568-i1-1"
"1030_999","charberet",2020,568,"preval",NA,"feces",NA,NA,"<24","hour",60,NA,NA,NA,NA,1,"kg","ww",9,NA,NA,NA,NA,1,"year",1,2021,1,27,NA,"menagerie",NA,NA,NA,NA,"panthera_panthera_pardus","panthera_pardus",5219436,5219436,"adult","zoo","12",NA,NA,5,NA,NA,1,1,"individual",10,5,NA,NA,NA,NA,"C",40.08,NA,NA,NA,NA,NA,"percent","dw","stock",NA,NA,"elemental_analyzer",1,1,1,1,3,"day",60,"c",1,80,"µm","F-5219439-568-i1-1"
"1030_999","charberet",2020,568,"preval",NA,"feces",NA,NA,"<24","hour",35,NA,NA,NA,NA,2,"kg","ww",8,NA,NA,NA,NA,2,"year",0.5,2021,1,27,NA,"menagerie",NA,NA,NA,NA,"uncia_uncia","uncia_uncia",2435238,2435238,"adult","zoo","12",NA,NA,6,NA,NA,2,0,"population",11,6,NA,NA,NA,NA,"N",6.9,NA,NA,NA,NA,NA,"percent","dw","stock",NA,NA,"elemental_analyzer",1,1,1,1,3,"day",60,"c",1,80,"µm","F-2435238-568-g1-1"
"1030_999","charberet",2020,568,"preval",NA,"feces",NA,NA,"<24","hour",35,NA,NA,NA,NA,2,"kg","ww",8,NA,NA,NA,NA,2,"year",0.5,2021,1,27,NA,"menagerie",NA,NA,NA,NA,"uncia_uncia","uncia_uncia",2435238,2435238,"adult","zoo","12",NA,NA,6,NA,NA,2,0,"population",12,6,NA,NA,NA,NA,"C",42.18,NA,NA,NA,NA,NA,"percent","dw","stock",NA,NA,"elemental_analyzer",1,1,1,1,3,"day",60,"c",1,80,"µm","F-2435238-568-g1-1"
"1030_999","charberet",2020,568,"preval",NA,"feces",NA,NA,"<24","hour",4,NA,NA,NA,NA,2,"kg","ww",10.5,5,16,7.778175,"standard_deviation",2,"year",0.5,2021,1,27,NA,"menagerie",NA,NA,NA,NA,"ailurus_fulgens","ailurus_fulgens",5219446,5219446,"adult","zoo","5",NA,NA,7,NA,NA,2,0,"population",13,7,NA,NA,NA,NA,"N",1.99,NA,NA,NA,NA,NA,"percent","dw","stock",NA,NA,"elemental_analyzer",1,1,1,1,3,"day",60,"c",1,80,"µm","F-5219446-568-g1-1"
"1030_999","charberet",2020,568,"preval",NA,"feces",NA,NA,"<24","hour",4,NA,NA,NA,NA,2,"kg","ww",10.5,5,16,7.778175,"standard_deviation",2,"year",0.5,2021,1,27,NA,"menagerie",NA,NA,NA,NA,"ailurus_fulgens","ailurus_fulgens",5219446,5219446,"adult","zoo","5",NA,NA,7,NA,NA,2,0,"population",14,7,NA,NA,NA,NA,"C",45.93,NA,NA,NA,NA,NA,"percent","dw","stock",NA,NA,"elemental_analyzer",1,1,1,1,3,"day",60,"c",1,80,"µm","F-5219446-568-g1-1"
"1030_999","charberet",2020,103,"preval",NA,"feces",NA,NA,"<24","hour",5,NA,NA,NA,NA,2,"kg","ww",4,NA,NA,NA,NA,2,"year",0,2021,1,25,NA,"zoo_african_safari",NA,NA,NA,NA,"ailurus_fulgens","ailurus_fulgens",5219446,5219446,"adult","zoo","19",NA,NA,8,NA,NA,2,0,"population",15,8,NA,NA,NA,NA,"N",1.39,NA,NA,NA,NA,NA,"percent","dw","stock",NA,NA,"elemental_analyzer",1,1,1,1,3,"day",60,"c",1,80,"µm","F-5219446-103-g1-1"
"1030_999","charberet",2020,103,"preval",NA,"feces",NA,NA,"<24","hour",5,NA,NA,NA,NA,2,"kg","ww",4,NA,NA,NA,NA,2,"year",0,2021,1,25,NA,"zoo_african_safari",NA,NA,NA,NA,"ailurus_fulgens","ailurus_fulgens",5219446,5219446,"adult","zoo","19",NA,NA,8,NA,NA,2,0,"population",16,8,NA,NA,NA,NA,"C",40.41,NA,NA,NA,NA,NA,"percent","dw","stock",NA,NA,"elemental_analyzer",1,1,1,1,3,"day",60,"c",1,80,"µm","F-5219446-103-g1-1"
