Feed,Classification,Infraclass,Overorder,Without_Rang,Order,Underorder,Overfamily,Family,Extra,PanTheria,Source,DOI,Species,Species_lat,Difference,Food/Nutrition,Body_mass,Food_intake_in_dry_matter_per_day_in_gm,DM_dry_matter_diet,OM_organic_material_diet,CP_Crude_Protein_diet,EE_Ether_Extract_diet,NDF_diet,CF_Crude_Fibre_diet,CA_Crude_Ash_diet,N_Nitrogen_diet,Ca_diet,P_diet,Na_diet,K_diet,Mg_diet,dDM,dOM,dCP,dEE,dNDF,dCF,dCA,DM_ad,OM_ad,CP_ad,EE_ad,NDF_ad,CF_ad,CA_ad,Ca_ad,P_ad,Na_ad,K_ad,Mg_ad,Source
Carnivore,2_2_1_2_1,2,2,,1,,2,1,,,Mundt (1986),,Lion,Panthera leo,,Carnivore,,,,,38.75,49.1,,,,,,,,,,,,37.28,48.31,,,,,,96.2,98.4,,,,,,,,,Mundt (1986)
Carnivore,2_2_1_2_1,2,2,,1,,2,1,,,Mundt (1986),,Tiger,Panthera tigris,,Carnivore,,,,,33.9,49.1,,,,,,,,,,,,32.61,48.31,,,,,,96.2,98.4,,,,,,,,,Mundt (1986)
Carnivore,2_2_1_2_1,2,2,,1,,2,1,,,Wittmeyer Mills ?,,Tiger,Panthera tigris,,Carnivore,,,,,43.8,35.3,,,,,,,,,,,,39.68,34.91,,,,,,90.6,98.9,,,,,,,,,Wittmeyer Mills ?
Carnivore,2_2_1_2_1,2,2,,1,,2,1,,,Wittmeyer Mills ?,,Lion,Panthera leo,,Carnivore,,,,,47.1,34.1,,,,,,,,,,,,42.96,33.52,,,,,,91.2,98.3,,,,,,,,,Wittmeyer Mills ?
Carnivore,2_2_1_2_1,2,2,,1,,2,1,,,Wittmeyer Mills ?,,Lion,Panthera leo,,Carnivore,,,,,39.9,33.5,,,,,,,,,,,,35.87,31.96,,,,,,89.9,95.4,,,,,,,,,Wittmeyer Mills ?
Carnivore,2_2_1_2_1,2,2,,1,,2,1,,,Wittmeyer Mills ?,,Lion,Panthera leo,,Carnivore,,,,,33.4,8.2,,,,,,,,,,,,26.29,6.86,,,,,,78.7,83.7,,,,,,,,,Wittmeyer Mills ?
Carnivore,2_2_1_2_1,2,2,,1,,2,1,,,Morris et al. (1974),,Tiger,Panthera tigris,,Carnivore,,,,,38.75,,,,,,,,,,,,,34.41,,,,,,,88.8,,,,,,,,,,Morris et al. (1974)
Carnivore,2_2_1_2_1,2,2,,1,,2,1,,,Morris et al. (1974),,Lion,Panthera leo,,Carnivore,,,,,38.75,,,,,,,,,,,,,34.41,,,,,,,88.8,,,,,,,,,,Morris et al. (1974)
Carnivore,2_2_1_2_1,2,2,,1,,2,1,,,Morris et al. (1974),,Black leopard,Panthera pardus,,Carnivore,,,,,38.75,,,,,,,,,,,,,34.45,,,,,,,88.9,,,,,,,,,,Morris et al. (1974)
Carnivore,2_2_1_2_1,2,2,,1,,2,1,,,Morris et al. (1974),,Jaguar,Panthera onca,,Carnivore,,,,,38.75,,,,,,,,,,,,,34.76,,,,,,,89.7,,,,,,,,,,Morris et al. (1974)
Carnivore,2_2_1_2_1,2,2,,1,,2,1,,,Morris et al. (1974),,Puma,Felis concolor,,Carnivore,,,,,38.75,,,,,,,,,,,,,35.69,,,,,,,92.1,,,,,,,,,,Morris et al. (1974)
Carnivore,2_2_1_2_1,2,2,,1,,2,1,,,Morris et al. (1974),,Ocelot,Leopardus pardalis,,Carnivore,,,,,38.75,,,,,,,,,,,,,34.53,,,,,,,89.1,,,,,,,,,,Morris et al. (1974)
Carnivore,2_2_1_2_1,2,2,,1,,2,1,,,Morris et al. (1974),,Caracal,Caracal caracal,,Carnivore,,,,,38.75,,,,,,,,,,,,,33.91,,,,,,,87.5,,,,,,,,,,Morris et al. (1974)
Carnivore,2_2_1_2_1,2,2,,1,,2,1,,,Morris et al. (1974),,Bobcat / Lynx,Felis rufa / Felis lynx,,Carnivore,,,,,38.75,,,,,,,,,,,,,35.03,,,,,,,90.4,,,,,,,,,,Morris et al. (1974)
Carnivore,2_2_1_2_1,2,2,,1,,2,1,,,Morris et al. (1974),,Fishing cat,Felis viverrina,,Carnivore,,,,,38.75,,,,,,,,,,,,,34.68,,,,,,,89.5,,,,,,,,,,Morris et al. (1974)
Carnivore,2_2_1_2_1,2,2,,1,,2,1,,,Morris et al. (1974),,Golden cat,Felis temminckii,,Carnivore,,,,,38.75,,,,,,,,,,,,,33.98,,,,,,,87.7,,,,,,,,,,Morris et al. (1974)
Carnivore,2_2_1_2_1,2,2,,1,,2,1,,,Morris et al. (1974),,Leopard cat,Felis bangalensis,,Carnivore,,,,,38.75,,,,,,,,,,,,,34.26,,,,,,,88.4,,,,,,,,,,Morris et al. (1974)
Carnivore,2_2_1_2_1,2,2,,1,,2,1,,,Morris et al. (1974),,Serval,Felis serval,,Carnivore,,,,,38.75,,,,,,,,,,,,,35.61,,,,,,,91.9,,,,,,,,,,Morris et al. (1974)
Carnivore,2_2_1_2_1,2,2,,1,,2,1,,,Crissey et al. (1997),,Sand Cat,Felis margarita,,Carnivore,,,,,57.2,,,,,,,,,,,,,52.85,,,,,,,92.4,,,,,,,,,,Crissey et al. (1997)
Carnivore,2_2_1_2_1,2,2,,1,,2,1,,,Crissey et al. (1997),,Sand Cat,Felis margarita,,Carnivore,,,,,40.2,,,,,,,,,,,,,31.32,,,,,,,77.9,,,,,,,,,,Crissey et al. (1997)
Carnivore,2_2_1_1_7,2,2,,1,,1,7,,,Goodman-Lowe et al. (1999),,Hawaiian monk seal,Monachus schauinslandi,,Carnivore,,,,,,30.71,,,,,,,,,,,,,28.44,,,,,,,92.6,,,,,,,,,Goodman-Lowe et al. (1999)
Carnivore,2_2_1_1_7,2,2,,1,,1,7,,,Goodman-Lowe et al. (1999),,Hawaiian monk seal,Monachus schauinslandi,,Carnivore,,,,,,20.01,,,,,,,,,,,,,19.33,,,,,,,96.59,,,,,,,,,Goodman-Lowe et al. (1999)
Carnivore,2_2_1_1_7,2,2,,1,,1,7,,,Ronald et al. (1984),,Grey seal,Halichoerus grypus,,Carnivore,,,,,40.63,49.5,,,,,,,,,,,,37.62,45.64,,,,,,92.6,92.2,,,,,,,,,Ronald et al. (1984)
Carnivore,2_2_1_1_7,2,2,,1,,1,7,,,Ronald et al. (1984),,Grey seal,Halichoerus grypus,,Carnivore,,,,,40.63,49.5,,,,,,,,,,,,34.82,44.4,,,,,,85.7,89.7,,,,,,,,,Ronald et al. (1984)
Carnivore,2_2_1_1_7,2,2,,1,,1,7,,,Ronald et al. (1984),,Grey seal,Halichoerus grypus,,Carnivore,,,,,40.63,49.5,,,,,,,,,,,,37.22,45.05,,,,,,91.6,91,,,,,,,,,Ronald et al. (1984)
Carnivore,2_2_1_1_7,2,2,,1,,1,7,,,Ronald et al. (1984),,Grey seal,Halichoerus grypus,,Carnivore,,,,,40.63,49.5,,,,,,,,,,,,37.79,47.12,,,,,,93,95.2,,,,,,,,,Ronald et al. (1984)
Carnivore,2_2_1_1_7,2,2,,1,,1,7,,,Ronald et al. (1984),,Grey seal,Halichoerus grypus,,Carnivore,,,,,40.63,49.5,,,,,,,,,,,,37.54,45.94,,,,,,92.4,92.8,,,,,,,,,Ronald et al. (1984)
Carnivore,2_2_1_1_7,2,2,,1,,1,7,,,Ronald et al. (1984),,Grey seal,Halichoerus grypus,,Carnivore,,,,,55.63,32.6,,,,,,,,,,,,52.18,29.41,,,,,,93.8,90.2,,,,,,,,,Ronald et al. (1984)
Carnivore,2_2_1_1_7,2,2,,1,,1,7,,,Ronald et al. (1984),,Grey seal,Halichoerus grypus,,Carnivore,,,,,55.63,32.6,,,,,,,,,,,,53.32,31.12,,,,,,95.85,95.45,,,,,,,,,Ronald et al. (1984)
Carnivore,2_2_1_1_7,2,2,,1,,1,7,,,Ronald et al. (1984),,Grey seal,Halichoerus grypus,,Carnivore,,,,,55.63,32.6,,,,,,,,,,,,53.02,31.26,,,,,,95.3,95.9,,,,,,,,,Ronald et al. (1984)
Carnivore,2_2_1_1_7,2,2,,1,,1,7,,,Ronald et al. (1984),,Grey seal,Halichoerus grypus,,Carnivore,,,,,67.5,24.5,,,,,,,,,,,,62.24,21.32,,,,,,92.2,87,,,,,,,,,Ronald et al. (1984)
Carnivore,2_2_1_1_7,2,2,,1,,1,7,,,Ronald et al. (1984),,Grey seal,Halichoerus grypus,,Carnivore,,,,,67.5,24.5,,,,,,,,,,,,63.32,22.69,,,,,,93.8,92.6,,,,,,,,,Ronald et al. (1984)
Carnivore,2_2_1_1_7,2,2,,1,,1,7,,,Ronald et al. (1984),,Grey seal,Halichoerus grypus,,Carnivore,,,,,67.5,24.5,,,,,,,,,,,,64.26,23.15,,,,,,95.2,94.5,,,,,,,,,Ronald et al. (1984)
Carnivore,2_2_1_1_7,2,2,,1,,1,7,,,Keiver et al. (1984),,Harp seal,Phoca groenlandica,,Carnivore,,,,,48.13,41.05,,,,,,,,,,,,45.72,39.45,,,,,,95,96.1,,,,,,,,,Keiver et al. (1984)
Carnivore,2_2_1_1_7,2,2,,1,,1,7,,,Keiver et al. (1984),,Harp seal,Phoca groenlandica,,Carnivore,,,,,76.88,18.2,,,,,,,,,,,,71.65,17.16,,,,,,93.2,94.3,,,,,,,,,Keiver et al. (1984)
