"species_latin_name_gbif","component_name","avg_component_mean","n_obs","body_mass","diet"
"acinonyx_jubatus","C",-0.842090133773655,2,46700,"Carnivore"
"acinonyx_jubatus","N",-1.59431221332722,2,46700,"Carnivore"
"acinonyx_jubatus","P",-1.19314197048118,2,46700,"Carnivore"
"acrocodia_indica","P",-2.5704091977767,1,296250,"Herbivore"
"ailurus_fulgens","C",-0.37068679053911,7,4900,"Omnivore"
"ailurus_fulgens","N",-1.73614027021668,7,4900,"Omnivore"
"ailurus_fulgens","P",-2.29296541893614,7,4900,"Omnivore"
"alces_alces","C",-0.355376222488818,2,356998.16,"Herbivore"
"alces_alces","N",-1.49916085467864,2,356998.16,"Herbivore"
"alces_alces","P",-2.02177381832547,1,356998.16,"Herbivore"
"antidorcas_marsupialis","C",-0.46193477440251,1,31500,"Herbivore"
"antidorcas_marsupialis","N",-1.69844659503185,1,31500,"Herbivore"
"antidorcas_marsupialis","P",-2.11277666863748,1,31500,"Herbivore"
"arctictis_binturong","C",-0.354637398557873,1,9875,"Omnivore"
"arctictis_binturong","N",-1.9065540962407,1,9875,"Omnivore"
"arctictis_binturong","P",-1.88724422794424,2,9875,"Omnivore"
"arctocephalus_australis","C",-0.646083769079637,1,45000,"Carnivore"
"arctocephalus_australis","N",-1.39254497678533,1,45000,"Carnivore"
"arctocephalus_australis","P",-0.97469413473523,1,45000,"Carnivore"
"bison_bonasus","C",-0.376155296556296,14,5e+05,"Herbivore"
"bison_bonasus","N",-1.80003310319928,14,5e+05,"Herbivore"
"bos_grunniens","P",-2.34765694493729,1,416500,"Herbivore"
"bos_taurus","C",-0.380697954794333,38,9e+05,"Herbivore"
"bos_taurus","N",-1.74696126554984,59,9e+05,"Herbivore"
"bos_taurus","P",-2.28262078828191,2,9e+05,"Herbivore"
"camelus_dromedarius","C",-0.364776295175035,3,601000,"Herbivore"
"camelus_dromedarius","N",-1.81616385249043,4,601000,"Herbivore"
"camelus_dromedarius","P",-2.25926897445977,3,601000,"Herbivore"
"canis_lupus","C",-0.607351249440838,9,32183.33,"Carnivore"
"canis_lupus","N",-1.56640854995092,9,32183.33,"Carnivore"
