"species_latin_name_gbif","component_name","avg_component_mean","body_mass","diet","n_obs"
"anacanthotermes_ubachi","C",-1.1157712303674,0.003,"Herbivore",NA
"anacanthotermes_ubachi","N",-2.50863830616573,0.003,"Herbivore",NA
"anser_anser","N",-1.61439372640169,3302.41,"Herbivore",NA
"antheraea_polyphemus","C",-0.353785066638697,7,"Herbivore",NA
"antheraea_polyphemus","N",-1.72599912088267,7,"Herbivore",NA
"antheraea_polyphemus","P",-2.94884747755262,7,"Herbivore",NA
"apis_mellifera","P",-2.14096683511735,0.15,"Herbivore",NA
"aptenodytes_patagonicus","N",-0.964770443649788,11731.07,"Carnivore",NA
"armadillidium_vulgare","C",-0.35378824579962,1.2,"Detritivore",NA
"armadillidium_vulgare","N",-1.73535570838075,1.2,"Detritivore",NA
"arthrosphaera_dalyi","N",-1.43889861635094,8,"Detritivore",NA
"arthrosphaera_davisoni","N",-1.65234479224412,13,"Detritivore",NA
"arthrosphaera_disticta","N",-2.2839966563652,3,"Detritivore",NA
"arthrosphaera_fumosa","N",-2.32790214206428,13,"Detritivore",NA
"aspidites_ramsayi","C",-0.505011026316832,6107,"Carnivore",NA
"aspidites_ramsayi","N",-0.544546031221372,6107,"Carnivore",NA
"aspidites_ramsayi","P",-3.27984069659404,6107,"Carnivore",NA
"boa_constrictor","C",-0.482276405166265,5000,"Carnivore",NA
"boa_constrictor","N",-1.09420411963213,5000,"Carnivore",NA
"boa_constrictor","P",-1.22694530663574,5000,"Carnivore",NA
"branta_leucopsis","N",-1.68507994400758,885.22,"Herbivore",NA
"bucorvus_leadbeateri","C",-0.512723864822829,5000,"Carnivore",NA
"bucorvus_leadbeateri","N",-1.70528877410871,5000,"Carnivore",NA
"bucorvus_leadbeateri","P",-1.6903698325741,5000,"Carnivore",NA
"bufotes_viridis","C",-0.337147766735204,75,"Carnivore",NA
"bufotes_viridis","N",-1.05354773498693,75,"Carnivore",NA
"bufotes_viridis","P",-2.07998108397109,75,"Carnivore",NA
"calidris_alpina","C",-1.014573525917,51.89,"Omnivore",NA
"calidris_alpina","N",-2.10790539730952,51.89,"Omnivore",NA
"centrochelys_sulcata","C",-0.419271629361828,15000,"Herbivore",NA
"centrochelys_sulcata","N",-1.09553464545642,15000,"Herbivore",NA
"centrochelys_sulcata","P",-2.23500240071512,15000,"Herbivore",NA
"cepaea_nemoralis","C",-0.376778920034163,1.3,"Detritivore",NA
"cepaea_nemoralis","N",-1.72196451652666,1.3,"Detritivore",NA
"chionis_minor","N",-1.11633856484638,493.96,"Omnivore",NA
"chloephaga_poliocephala","C",-0.418368872799105,2007.14,"Herbivore",NA
"chloephaga_poliocephala","N",-1.50814213367535,2007.14,"Herbivore",NA
"dendrolimus_pini","C",-0.21759904750347,2,"Herbivore",NA
"dendrolimus_pini","N",-2.07572071393812,2,"Herbivore",NA
"dendrolimus_pini","P",-3.30102999566398,2,"Herbivore",NA
"dendrolimus_spectabilis","N",-2.19382002601611,2.25,"Herbivore",NA
"diomedea_exulans","N",-0.818442226137214,6961.29,"Carnivore",NA
"dromaius_novaehollandiae","C",-0.491017556821998,34093.25,"Omnivore",NA
"dromaius_novaehollandiae","N",-1.8712893311762,34093.25,"Omnivore",NA
"dromaius_novaehollandiae","P",-2.51137878687057,34093.25,"Omnivore",NA
"eudyptes_chrysocome","N",-0.698839735530792,2327.85,"Carnivore",NA
"furcifer_pardalis","C",-0.376130731649698,68,"Omnivore",NA
"furcifer_pardalis","N",-0.767512133647014,68,"Omnivore",NA
"furcifer_pardalis","P",-2.06218131530164,68,"Omnivore",NA
"glomeris_hexasticha","C",-0.357535479757879,0.555,"Detritivore",NA
"glomeris_hexasticha","N",-1.73048705578208,0.555,"Detritivore",NA
"glomeris_marginata","C",-0.347642148812521,1.6,"Detritivore",NA
"glomeris_marginata","N",-1.80532117171767,1.6,"Detritivore",NA
"gonimbrasia_belina","N",-1.82944494147879,6,"Herbivore",NA
"gonimbrasia_belina","P",-2.45593195564972,6,"Herbivore",NA
"goura_sclaterii","C",-0.466302733234422,2000,"Herbivore",NA
"goura_sclaterii","N",-1.71935724683323,2000,"Herbivore",NA
"heloderma_horridum","C",-0.316052869248488,800,"Carnivore",NA
"heloderma_horridum","N",-0.988429556402722,800,"Carnivore",NA
"heloderma_horridum","P",-1.61439372640169,800,"Carnivore",NA
"hermetia_illucens","C",-0.327902142064283,0.15,"Detritivore",NA
"hermetia_illucens","N",-1.64079713901291,0.15,"Detritivore",NA
"hogna_carolinensis","C",-0.352092114849413,0.0028,"Carnivore",NA
"hogna_carolinensis","N",-0.848583579841719,0.0028,"Carnivore",NA
"incisitermes_snyderi","C",-0.28179854190981,0.003,"Herbivore",NA
"incisitermes_snyderi","N",-2.66097468577459,0.003,"Herbivore",NA
"incisitermes_snyderi","P",-3.85113304181914,0.003,"Herbivore",NA
"larus_dominicanus","N",-1.13489602535887,952.43,"Carnivore",NA
"larus_michahellis","C",-0.578396073130169,1111.89,"Carnivore",NA
"larus_michahellis","N",-1.13906337929991,1111.89,"Carnivore",NA
"luscinia_luscinia","N",-0.693574972449313,23.8,"Omnivore",NA
"lymantria_dispar","C",-0.307593765166369,0.6,"Herbivore",NA
