"species_latin_name_gbif","component_name","avg_component_mean","n_obs","body_mass","diet"
"anacanthotermes_ubachi","C",-1.1157712303674,1,0.003,"Herbivore"
"anacanthotermes_ubachi","N",-2.50863830616573,1,0.003,"Herbivore"
"antheraea_polyphemus","C",-0.353785066638697,1,7,"Herbivore"
"antheraea_polyphemus","N",-1.72599912088267,1,7,"Herbivore"
"antheraea_polyphemus","P",-2.94119451332409,1,7,"Herbivore"
"armadillidium_vulgare","C",-0.361128826956677,18,1.2,"Detritivore"
"armadillidium_vulgare","N",-1.72475823454832,18,1.2,"Detritivore"
"arthrosphaera_dalyi","N",-1.43889861635094,3,8,"Detritivore"
"arthrosphaera_davisoni","N",-1.65234479224412,3,13,"Detritivore"
"arthrosphaera_disticta","N",-2.3767507096021,1,3,"Detritivore"
"arthrosphaera_fumosa","N",-2.49485002168009,1,13,"Detritivore"
"glomeris_hexasticha","C",-0.357535479757879,1,0.555,"Detritivore"
"glomeris_hexasticha","N",-1.73048705578208,1,0.555,"Detritivore"
"glomeris_marginata","C",-0.35419408225664,25,1.6,"Detritivore"
"glomeris_marginata","N",-1.76805309444193,25,1.6,"Detritivore"
"hermetia_illucens","C",-0.327902142064283,3,0.15,"Detritivore"
"hermetia_illucens","N",-1.64079713901291,3,0.15,"Detritivore"
"hogna_carolinensis","C",-0.354349375840142,77,0.0028,"Carnivore"
"hogna_carolinensis","N",-0.845327092041921,77,0.0028,"Carnivore"
"incisitermes_snyderi","C",-0.28179854190981,7,0.003,"Herbivore"
"incisitermes_snyderi","N",-2.66097468577459,7,0.003,"Herbivore"
"incisitermes_snyderi","P",-3.85113304181914,7,0.003,"Herbivore"
"lymantria_dispar","C",-0.301029995663981,1,0.6,"Herbivore"
"lymantria_dispar","N",-1.60205999132796,1,0.6,"Herbivore"
"mamestra_brassicae","C",-0.434742656579786,2,0.75,"Herbivore"
"mamestra_brassicae","N",-1.14478380526664,2,0.75,"Herbivore"
"monochamus_scutellatus","N",-2.22184874961636,1,0.4,"Herbivore"
"oedaleus_asiaticus","N",-1.5861222287133,54,0.52,"Herbivore"
"ommatoiulus_sabulosus","C",-0.372522307566141,18,0.24,"Detritivore"
"ommatoiulus_sabulosus","N",-1.76953550740756,18,0.24,"Detritivore"
"orgyia_leucostigma","C",-0.299209778625653,1,0.03,"Herbivore"
"orgyia_leucostigma","N",-1.92811799269387,1,0.03,"Herbivore"
"philoscia_muscorum","C",-0.293054976437136,1,0.002,"Detritivore"
"philoscia_muscorum","N",-1.82427109366432,1,0.002,"Detritivore"
"porcellio_scaber","C",-0.371862446898173,18,0.045,"Detritivore"
"porcellio_scaber","N",-1.70025260194944,18,0.045,"Detritivore"
"reticulitermes_flavipes","C",-0.321615936142981,4,0.0022,"Herbivore"
"reticulitermes_flavipes","N",-2.1478250955797,4,0.0022,"Herbivore"
"reticulitermes_flavipes","P",-3.60410598725856,4,0.0022,"Herbivore"
"reticulitermes_virginicus","C",-0.308670915625888,1,0.021,"Herbivore"
"reticulitermes_virginicus","N",-2.35951856302958,1,0.021,"Herbivore"
"reticulitermes_virginicus","P",-3.75995022788735,1,0.021,"Herbivore"
"tachypodoiulus_niger","C",-0.384167883702367,18,0.02,"Detritivore"
"tachypodoiulus_niger","N",-1.75817222388015,18,0.02,"Detritivore"
"tomocerus_minor","C",-0.395376025993024,1,0.0015,"Detritivore"
"tomocerus_minor","N",-1.65225774702908,1,0.0015,"Detritivore"
"zootermopsis_nevadensis","C",-0.301966910160832,8,0.003,"Herbivore"
"zootermopsis_nevadensis","N",-2.5335030962556,8,0.003,"Herbivore"
