"species_latin_name_gbif","component_name","avg_component_mean","n_obs","body_mass","diet"
"anser_anser","N",-1.61439372640169,6,3302.41,"Herbivore"
"aptenodytes_patagonicus","N",-0.964770443649788,2,11731.07,"Carnivore"
"aspidites_ramsayi","C",-0.505011026316832,1,6107,"Carnivore"
"aspidites_ramsayi","N",-0.544546031221372,1,6107,"Carnivore"
"aspidites_ramsayi","P",-3.27984069659404,1,6107,"Carnivore"
"boa_constrictor","C",-0.482276405166265,1,5000,"Carnivore"
"boa_constrictor","N",-1.09420411963213,1,5000,"Carnivore"
"boa_constrictor","P",-1.22694530663574,1,5000,"Carnivore"
"branta_leucopsis","N",-1.68507994400758,2,885.22,"Herbivore"
"bucorvus_leadbeateri","C",-0.512723864822829,1,5000,"Carnivore"
"bucorvus_leadbeateri","N",-1.70528877410871,1,5000,"Carnivore"
"bucorvus_leadbeateri","P",-1.6903698325741,1,5000,"Carnivore"
"calidris_alpina","C",-1.014573525917,1,51.89,"Omnivore"
"calidris_alpina","N",-2.10790539730952,1,51.89,"Omnivore"
"centrochelys_sulcata","C",-0.419271629361828,1,15000,"Herbivore"
"centrochelys_sulcata","N",-1.09553464545642,1,15000,"Herbivore"
"centrochelys_sulcata","P",-2.23500240071512,1,15000,"Herbivore"
"chionis_minor","N",-1.11633856484638,1,493.96,"Omnivore"
"chloephaga_poliocephala","C",-0.418368872799105,1,2007.14,"Herbivore"
"chloephaga_poliocephala","N",-1.50814213367535,1,2007.14,"Herbivore"
"diomedea_exulans","N",-0.818442226137214,1,6961.29,"Carnivore"
"dromaius_novaehollandiae","C",-0.491017556821998,2,34093.25,"Omnivore"
"dromaius_novaehollandiae","N",-1.8712893311762,2,34093.25,"Omnivore"
"dromaius_novaehollandiae","P",-2.39351114955735,1,34093.25,"Omnivore"
"eudyptes_chrysocome","N",-0.698839735530792,5,2327.85,"Carnivore"
"furcifer_pardalis","C",-0.376130731649698,1,68,"Omnivore"
"furcifer_pardalis","N",-0.767512133647014,1,68,"Omnivore"
"furcifer_pardalis","P",-2.06218131530164,1,68,"Omnivore"
"goura_sclaterii","C",-0.466302733234422,1,2000,"Herbivore"
"goura_sclaterii","N",-1.71935724683323,1,2000,"Herbivore"
"heloderma_horridum","C",-0.316052869248488,1,800,"Carnivore"
"heloderma_horridum","N",-0.988429556402722,1,800,"Carnivore"
"heloderma_horridum","P",-1.61439372640169,1,800,"Carnivore"
"larus_dominicanus","N",-1.13489602535887,1,952.43,"Carnivore"
"luscinia_luscinia","N",-0.693574972449313,1,23.8,"Omnivore"
"macronectes_giganteus","N",-0.688246138944246,1,3591.69,"Carnivore"
"natrix_maura","C",-0.380697924124392,1,39.5,"Carnivore"
"natrix_maura","N",-1.73754891026957,1,39.5,"Carnivore"
"natrix_maura","P",-2.25515960321462,1,39.5,"Carnivore"
"pygoscelis_adeliae","P",-1.63995595467774,1,4847.67,"Carnivore"
"pygoscelis_papua","N",-0.916139199133427,1,5932.95,"Carnivore"
"pygoscelis_papua","P",-1.14430522377922,2,5932.95,"Carnivore"
"python_regius","C",-0.501000636419847,4,1100,"Carnivore"
"python_regius","N",-1.03846026244643,4,1100,"Carnivore"
"python_regius","P",-1.19162020511762,4,1100,"Carnivore"
"rhea_americana","N",-1.814013538525,1,23000,"Omnivore"
"rhea_americana","P",-2.02036058777709,1,23000,"Omnivore"
"salvator_rufescens","C",-0.55085354466663,1,2300,"Omnivore"
"salvator_rufescens","N",-0.590436136430655,1,2300,"Omnivore"
"salvator_rufescens","P",-3.18508681872493,1,2300,"Omnivore"
"sanzinia_madagascariensis","C",-0.400116927926312,1,300,"Carnivore"
"sanzinia_madagascariensis","N",-1.1266793981846,1,300,"Carnivore"
"sanzinia_madagascariensis","P",-1.64206515299955,1,300,"Carnivore"
