"term","estimate","std.error","statistic","p.value"
"(Intercept)",-0.377,0.0106,-35.5,2.59e-50
"body_mass",0.00112,0.00436,0.258,0.797
"dietCarnivore",-0.228,0.0274,-8.33,1.98e-12
"dietOmnivore",0.0117,0.0338,0.345,0.731
"body_mass:dietCarnivore",-0.026,0.00743,-3.49,0.000784
"body_mass:dietOmnivore",0.0137,0.0104,1.31,0.193
"(Intercept)",-1.75,0.0304,-57.6,1.05e-65
"body_mass",-0.0375,0.0128,-2.92,0.00453
"dietCarnivore",0.199,0.0787,2.53,0.0136
"dietOmnivore",0.0693,0.095,0.729,0.468
"body_mass:dietCarnivore",-0.018,0.0216,-0.833,0.408
"body_mass:dietOmnivore",0.0124,0.0297,0.418,0.677
"(Intercept)",-2.23,0.0491,-45.3,4.35e-53
"body_mass",-0.0446,0.0239,-1.86,0.0665
"dietCarnivore",0.897,0.144,6.25,3.01e-08
"dietOmnivore",0.39,0.162,2.4,0.0191
"body_mass:dietCarnivore",0.0711,0.0571,1.24,0.218
"body_mass:dietOmnivore",0.0768,0.0464,1.66,0.102
"(Intercept)",1.37,0.0309,44.3,1.73e-54
"body_mass",0.0364,0.0127,2.87,0.00542
"dietCarnivore",-0.422,0.0779,-5.41,7.56e-07
"dietOmnivore",-0.0664,0.0979,-0.679,0.499
"body_mass:dietCarnivore",-0.0058,0.0213,-0.272,0.786
"body_mass:dietOmnivore",0.00118,0.0298,0.0395,0.969
"(Intercept)",1.82,0.0594,30.6,4.53e-37
"body_mass",0.0466,0.0274,1.7,0.0947
"dietCarnivore",-1.06,0.161,-6.58,1.59e-08
"dietOmnivore",-0.346,0.21,-1.65,0.104
"body_mass:dietCarnivore",-0.0781,0.0638,-1.22,0.226
"body_mass:dietOmnivore",-0.0762,0.0598,-1.27,0.208
"(Intercept)",0.458,0.0431,10.6,4.66e-15
"body_mass",-0.000409,0.0196,-0.0208,0.983
"dietCarnivore",-0.607,0.115,-5.26,2.36e-06
"dietOmnivore",-0.264,0.15,-1.76,0.0841
"body_mass:dietCarnivore",-0.0365,0.0456,-0.8,0.427
"body_mass:dietOmnivore",-0.0618,0.0427,-1.45,0.154
