"term","estimate","std.error","statistic","p.value"
"(Intercept)",34,4.12,8.26,1.24e-10
"body_mass",-0.756,0.432,-1.75,0.0866
"dietCarnivore",-0.61,5.99,-0.102,0.919
"dietDetritivore",-24.8,12.1,-2.06,0.0454
"dietOmnivore",-8.12,7.04,-1.15,0.255
"body_mass:dietCarnivore",-0.353,0.978,-0.361,0.72
"body_mass:dietDetritivore",-2.07,1.19,-1.73,0.0897
"body_mass:dietOmnivore",0.177,1.61,0.11,0.913
"(Intercept)",5.12,1.49,3.43,0.001
"body_mass",0.31,0.164,1.88,0.0636
"dietCarnivore",6.86,1.96,3.49,0.000818
"dietDetritivore",-5.7,5.03,-1.13,0.261
"dietOmnivore",-1.65,2.64,-0.624,0.534
"body_mass:dietCarnivore",-0.052,0.371,-0.14,0.889
"body_mass:dietDetritivore",-0.598,0.498,-1.2,0.234
"body_mass:dietOmnivore",-1.57,0.59,-2.66,0.00965
"(Intercept)",2.12,1.02,2.07,0.0432
"body_mass",0.124,0.122,1.02,0.313
"dietCarnivore",1.8,1.32,1.36,0.179
"dietDetritivore",-1.54,18.3,-0.0843,0.933
"dietOmnivore",0.309,1.99,0.155,0.877
"body_mass:dietCarnivore",0.186,0.364,0.512,0.611
"body_mass:dietDetritivore",-0.0686,2.73,-0.0252,0.98
"body_mass:dietOmnivore",-0.161,0.486,-0.331,0.742
"(Intercept)",1.01,0.135,7.43,2.09e-09
"body_mass",-0.0571,0.0142,-4.02,0.000215
"dietCarnivore",-0.404,0.197,-2.05,0.0462
"dietDetritivore",0.416,0.397,1.05,0.3
"dietOmnivore",-0.0424,0.231,-0.183,0.856
"body_mass:dietCarnivore",0.0494,0.0322,1.54,0.131
"body_mass:dietDetritivore",0.073,0.0392,1.86,0.0691
"body_mass:dietOmnivore",0.111,0.0529,2.1,0.0414
"(Intercept)",1.67,0.25,6.67,4.44e-07
"body_mass",-0.104,0.0288,-3.61,0.00128
"dietCarnivore",-0.148,0.413,-0.358,0.724
"dietDetritivore",-0.673,4.03,-0.167,0.869
"dietOmnivore",-0.508,0.498,-1.02,0.317
"body_mass:dietCarnivore",0.124,0.106,1.17,0.254
"body_mass:dietDetritivore",-0.0449,0.599,-0.075,0.941
"body_mass:dietOmnivore",0.102,0.119,0.858,0.399
"(Intercept)",0.49,0.203,2.42,0.0197
"body_mass",-0.0442,0.0242,-1.83,0.074
"dietCarnivore",0.309,0.279,1.11,0.274
"dietDetritivore",0.726,3.63,0.2,0.842
"dietOmnivore",-0.162,0.395,-0.41,0.684
"body_mass:dietCarnivore",0.0839,0.0779,1.08,0.287
"body_mass:dietDetritivore",0.107,0.54,0.198,0.844
"body_mass:dietOmnivore",-0.0259,0.0964,-0.269,0.789
