"term","estimate","std.error","statistic","p.value"
"(Intercept)",28.2,10.4,2.7,0.00837
"log(body_mass)",-0.844,1.07,-0.79,0.432
"dietcarnivore",-24.3,12.6,-1.93,0.0576
"dietherbivore",-16.1,11.7,-1.37,0.173
"log(body_mass):dietcarnivore",1.27,1.29,0.982,0.329
"log(body_mass):dietherbivore",1.78,1.16,1.53,0.13
"(Intercept)",236,73.5,3.21,0.00193
"log(body_mass)",-15.3,7.46,-2.06,0.0431
"dietcarnivore",-188,94.8,-1.98,0.0507
"dietherbivore",-177,81.5,-2.17,0.0327
"log(body_mass):dietcarnivore",12,9.5,1.26,0.211
"log(body_mass):dietherbivore",17.5,8.07,2.17,0.0332
"(Intercept)",10.7,3.14,3.39,0.00107
"log(body_mass)",-0.633,0.322,-1.96,0.053
"dietcarnivore",-1.21,4.11,-0.295,0.769
"dietherbivore",-6.32,3.52,-1.8,0.0762
"log(body_mass):dietcarnivore",-0.139,0.414,-0.336,0.738
"log(body_mass):dietherbivore",0.576,0.351,1.64,0.104
