"term","estimate","std.error","statistic","p.value"
"(Intercept)",41.8,0.835,50,6.75e-66
"dietCarnivore",-9.75,1.73,-5.62,2.24e-07
"dietOmnivore",-4.44,1.57,-2.83,0.00577
"(Intercept)",2.4,0.349,6.86,3.38e-10
"dietCarnivore",4.19,0.746,5.62,1.33e-07
"dietOmnivore",1.91,0.568,3.37,0.00102
"(Intercept)",0.846,0.215,3.94,0.000145
"dietCarnivore",3.92,0.442,8.86,1.96e-14
"dietOmnivore",0.395,0.407,0.971,0.334
"(Intercept)",3.05,0.0641,47.6,1.44e-63
"dietCarnivore",-1.16,0.132,-8.76,1.54e-13
"dietOmnivore",-0.21,0.119,-1.76,0.0827
"(Intercept)",4.22,0.114,36.9,8.01e-53
"dietCarnivore",-2.27,0.25,-9.08,4.97e-14
"dietOmnivore",-0.206,0.227,-0.905,0.368
"(Intercept)",1.12,0.0932,12.1,2.32e-20
"dietCarnivore",-1.14,0.208,-5.49,3.81e-07
"dietOmnivore",0.0857,0.178,0.48,0.632
