"term","estimate","std.error","statistic","p.value"
"(Intercept)",41.7,0.816,51.1,4.72e-65
"body_mass",-0.0861,0.312,-0.276,0.783
"dietCarnivore",-15.2,2.07,-7.34,1.26e-10
"dietOmnivore",-3.54,2.22,-1.59,0.115
"body_mass:dietCarnivore",-2.03,0.585,-3.47,0.000812
"body_mass:dietOmnivore",0.427,0.762,0.561,0.576
"(Intercept)",2.01,0.279,7.19,6.96e-11
"body_mass",-0.277,0.0825,-3.36,0.00105
"dietCarnivore",1.3,0.719,1.8,0.0742
"dietOmnivore",-0.748,0.62,-1.21,0.23
"body_mass:dietCarnivore",-0.679,0.157,-4.32,3.36e-05
"body_mass:dietOmnivore",-0.373,0.126,-2.95,0.0038
"(Intercept)",0.742,0.21,3.54,0.000599
"body_mass",-0.1,0.0794,-1.26,0.21
"dietCarnivore",5.98,0.564,10.6,3.14e-18
"dietOmnivore",-0.121,0.582,-0.207,0.836
"body_mass:dietCarnivore",0.581,0.125,4.66,9.59e-06
"body_mass:dietOmnivore",-0.11,0.171,-0.647,0.519
"(Intercept)",23.5,1.18,19.9,2.19e-33
"body_mass",0.933,0.455,2.05,0.0434
"dietCarnivore",-14.6,2.98,-4.91,4.53e-06
"dietOmnivore",-6.14,3.2,-1.92,0.0585
"body_mass:dietCarnivore",-0.509,0.846,-0.602,0.549
"body_mass:dietOmnivore",-1.68,1.1,-1.53,0.129
"(Intercept)",84,8.03,10.5,1.46e-16
"body_mass",1.99,3.07,0.648,0.519
"dietCarnivore",-77.4,21.1,-3.68,0.000431
"dietOmnivore",-36.6,23.4,-1.57,0.121
"body_mass:dietCarnivore",-5.4,6.61,-0.817,0.417
"body_mass:dietOmnivore",-18.1,8.06,-2.25,0.0273
"(Intercept)",3.54,0.345,10.3,1.54e-16
"body_mass",-0.0359,0.133,-0.271,0.787
"dietCarnivore",-3.47,0.928,-3.74,0.000332
"dietOmnivore",-0.853,0.992,-0.859,0.393
"body_mass:dietCarnivore",-0.741,0.291,-2.55,0.0126
"body_mass:dietOmnivore",-0.675,0.344,-1.96,0.0528
