"term","estimate","std.error","statistic","p.value"
"(Intercept)",39.5,2.86,13.8,1.16e-18
"dietCarnivore",-2.36,4.46,-0.529,0.599
"dietDetritivore",-2.66,4.46,-0.595,0.554
"dietOmnivore",-12.5,5.96,-2.1,0.0412
"(Intercept)",2.94,0.973,3.02,0.00346
"dietCarnivore",8.43,1.42,5.95,7.3e-08
"dietDetritivore",-0.681,1.71,-0.399,0.691
"dietOmnivore",4.11,1.8,2.28,0.0251
"(Intercept)",1.43,0.754,1.9,0.0625
"dietCarnivore",1.96,0.959,2.05,0.0454
"dietDetritivore",-1.23,1.77,-0.696,0.489
"dietOmnivore",1.1,1.31,0.842,0.403
"(Intercept)",54.3,9.24,5.87,3.48e-07
"dietCarnivore",-47.9,14.4,-3.32,0.00167
"dietDetritivore",-33.1,14.4,-2.29,0.026
"dietOmnivore",-45.1,19.2,-2.34,0.0232
"(Intercept)",1100,285,3.85,0.000582
"dietCarnivore",-992,420,-2.37,0.0247
"dietDetritivore",-991,605,-1.64,0.111
"dietOmnivore",-1070,605,-1.77,0.0865
"(Intercept)",31.1,21.3,1.46,0.152
"dietCarnivore",-2.19,28.2,-0.0775,0.939
"dietDetritivore",-23.8,50,-0.475,0.637
"dietOmnivore",-25.7,37,-0.696,0.49
