"term","estimate","std.error","statistic","p.value"
"(Intercept)",46.2,8.37,5.53,9.6e-06
"body_mass",0.267,0.843,0.317,0.754
"dietCarnivore",-21.2,10.7,-1.98,0.0584
"dietDetritivore",-33.7,12.6,-2.67,0.013
"dietOmnivore",-34.7,14.9,-2.33,0.0281
"body_mass:dietCarnivore",1.48,7.46,0.198,0.844
"body_mass:dietDetritivore",-3.14,1.36,-2.3,0.03
"body_mass:dietOmnivore",0.286,5.29,0.054,0.957
"(Intercept)",3.03,1.8,1.68,0.0989
"body_mass",0.12,0.2,0.601,0.551
"dietCarnivore",8.92,2.05,4.36,6.32e-05
"dietDetritivore",-1.36,3.54,-0.384,0.702
"dietOmnivore",-0.191,3.04,-0.0627,0.95
"body_mass:dietCarnivore",1.19,0.843,1.42,0.163
"body_mass:dietDetritivore",-0.14,0.399,-0.352,0.727
"body_mass:dietOmnivore",-2.13,0.98,-2.17,0.0347
"(Intercept)",6.63,2.22,2.98,0.00553
"body_mass",0.595,0.24,2.48,0.0187
"dietCarnivore",-2.71,2.39,-1.13,0.266
"dietDetritivore",-6.16,16,-0.386,0.702
"dietOmnivore",-2.16,3.37,-0.64,0.527
"body_mass:dietCarnivore",-0.512,0.72,-0.71,0.483
"body_mass:dietDetritivore",-0.55,3.03,-0.182,0.857
"body_mass:dietOmnivore",0.258,1.28,0.201,0.842
"(Intercept)",-8.46,34.8,-0.243,0.81
"body_mass",-8.59,3.51,-2.45,0.0217
"dietCarnivore",10.9,44.5,0.246,0.808
"dietDetritivore",33.5,52.4,0.639,0.528
"dietOmnivore",11.1,62,0.179,0.859
"body_mass:dietCarnivore",8.8,31,0.284,0.779
"body_mass:dietDetritivore",8.68,5.67,1.53,0.139
"body_mass:dietOmnivore",5.67,22,0.258,0.799
"(Intercept)",-750,864,-0.869,0.41
"body_mass",-290,86.4,-3.36,0.01
"dietCarnivore",762,1260,0.603,0.563
"dietDetritivore",730,4900,0.149,0.885
"dietOmnivore",693,1390,0.499,0.632
"body_mass:dietCarnivore",292,1060,0.275,0.79
"body_mass:dietDetritivore",271,924,0.294,0.777
"body_mass:dietOmnivore",NA,NA,NA,NA
"(Intercept)",-1.76,3.87,-0.456,0.652
"body_mass",-1.83,0.417,-4.39,0.000158
"dietCarnivore",8.64,4.23,2.04,0.0511
"dietDetritivore",17.5,27.8,0.632,0.533
"dietOmnivore",3.49,5.85,0.596,0.556
"body_mass:dietCarnivore",2.31,1.49,1.56,0.131
"body_mass:dietDetritivore",3.64,5.26,0.691,0.495
"body_mass:dietOmnivore",0.494,2.23,0.221,0.827
