Herbivore species;Site;Season;Body weight (kg);C;N;P;C:N;C:P;N:P;feces_ID;unit
CO;ZW;S;900;467.7087228;25.38688258;7.128589984;18.42324363;65.61027129;3.561276864;1;mg/g
CO;ZW;S;900;492.5159517;25.95817776;6.976365717;18.9734409;70.59778281;3.720873993;2;mg/g
CO;ZW;S;900;416.5364938;24.45132207;7.636402385;17.03533628;54.54616883;3.201942595;3;mg/g
CO;ZW;S;900;418.8033662;23.59053954;9.778474131;17.75302195;42.82911225;2.412497004;4;mg/g
CO;ZW;S;900;460.9785554;28.02343317;12.20100085;16.44975306;37.78202797;2.296814295;5;mg/g
CO;ZW;S;900;484.3625191;28.47217862;8.239646501;17.01178282;58.78438099;3.455509726;6;mg/g
DH;K;S;56;475.3475162;36.09110162;3.101824034;13.17076772;153.2477378;11.63544457;7;mg/g
DH;K;S;56;445.1472515;30.67706321;2.298121316;14.51075184;193.7005015;13.34875709;8;mg/g
DH;K;S;56;410.6587086;28.69271861;2.229141128;14.31229694;184.2228397;12.8716474;9;mg/g
DH;K;S;56;482.1043154;37.70206666;2.323843409;12.7872119;207.4598975;16.22401342;10;mg/g
DH;K;S;56;467.6162337;39.74403205;3.865905846;11.76569687;120.9590332;10.28065184;11;mg/g
DH;K;S;56;459.8625959;37.69400435;2.646688809;12.19988706;173.7501569;14.24194798;12;mg/g
DH;K;W;56;451.0196662;21.41329789;3.076825067;21.06259711;146.5860608;6.959543498;13;mg/g
DH;K;W;56;453.9216831;21.75518908;5.826479707;20.8649845;77.90667881;3.733847911;14;mg/g
DH;K;W;56;449.5686448;22.06039101;2.018532353;20.37899712;222.7205544;10.92892614;15;mg/g
DH;K;W;56;458.5320267;23.11032906;1.584087384;19.84099948;289.461321;14.58904937;16;mg/g
DH;K;W;56;377.6534094;18.02705948;1.365503614;20.94925186;276.5671255;13.20176622;17;mg/g
DH;K;W;56;441.3691764;20.01383795;1.915938406;22.05320026;230.367101;10.44597148;18;mg/g
DH;K;W;56;365.4221716;19.7491745;1.322621798;18.50316182;276.2862159;14.93183806;19;mg/g
DH;K;W;56;432.5558612;20.55826745;2.694866684;21.04048224;160.5110426;7.628676984;20;mg/g
DH;K;W;56;444.5606997;20.03602569;3.218940387;22.18806796;138.1077765;6.224416511;21;mg/g
DH;K;W;56;384.0098003;21.83805645;4.679514991;17.58443116;82.06188056;4.666735011;22;mg/g
DH;K;W;56;451.0926172;14.25460658;3.012359916;31.64539229;149.7472512;4.732039656;23;mg/g
DH;K;W;56;474.6786692;13.99372791;2.454867717;33.92081597;193.362219;5.70039999;24;mg/g
EB;K;S;500;426.3487865;22.79677678;4.000852834;18.70215209;106.5644762;5.697979336;25;mg/g
EB;K;S;500;449.1790158;23.69210315;2.93903069;18.95901825;152.8323666;8.061196239;26;mg/g
EB;K;S;500;301.909322;14.11159766;2.817537312;21.39441113;107.1536198;5.008486523;27;mg/g
EB;K;S;500;459.6610118;26.66498011;3.504596181;17.2383782;131.1594797;7.608574207;28;mg/g
EB;K;S;500;433.2706776;14.19189863;4.114824214;30.52943718;105.2950637;3.448968385;29;mg/g
EB;K;W;500;435.0287508;10.62546106;2.292320881;40.9421058;189.7765511;4.635241577;30;mg/g
EB;K;W;500;457.8229878;10.80838419;1.695612638;42.35813418;270.0044677;6.374323915;31;mg/g
EB;K;W;500;491.6305482;13.51293496;1.944691854;36.38221819;252.8064007;6.948625272;32;mg/g
EB;K;W;500;396.3075344;10.15495831;3.357031676;39.02601293;118.0529624;3.02498138;33;mg/g
EB;K;W;500;434.4161548;10.31909917;1.855568728;42.09826338;234.1148287;5.561151693;34;mg/g
