"","Species","date","day","month","year","data","location","period","feces_ID","component_name","component_mean"
"1","Giraffe","jeudi 30 juin 2005",30,6,2005,"DDE1","SA","dry",1,"C",450
"2","Giraffe","jeudi 30 juin 2005",30,6,2005,"DDE1","SA","dry",1,"N",22.2
"3","Giraffe","jeudi 30 juin 2005",30,6,2005,"DDE1","SA","dry",2,"C",436
"4","Giraffe","jeudi 30 juin 2005",30,6,2005,"DDE1","SA","dry",2,"N",22.8
"5","Giraffe","jeudi 30 juin 2005",30,6,2005,"DDE1","SA","dry",3,"C",451
"6","Giraffe","jeudi 30 juin 2005",30,6,2005,"DDE1","SA","dry",3,"N",21.6
"7","Giraffe","jeudi 30 juin 2005",30,6,2005,"DDE1","SA","dry",4,"C",451
"8","Giraffe","jeudi 30 juin 2005",30,6,2005,"DDE1","SA","dry",4,"N",21.3
"9","Giraffe","jeudi 30 juin 2005",30,6,2005,"DDE1","SA","dry",5,"C",452
"10","Giraffe","jeudi 30 juin 2005",30,6,2005,"DDE1","SA","dry",5,"N",21.7
"11","Wildebeest","jeudi 30 juin 2005",30,6,2005,"DDE1","SA","dry",6,"C",362
"12","Wildebeest","jeudi 30 juin 2005",30,6,2005,"DDE1","SA","dry",6,"N",11.7
"13","Wildebeest","jeudi 30 juin 2005",30,6,2005,"DDE1","SA","dry",7,"C",360
"14","Wildebeest","jeudi 30 juin 2005",30,6,2005,"DDE1","SA","dry",7,"N",11.6
"15","Wildebeest","jeudi 30 juin 2005",30,6,2005,"DDE1","SA","dry",8,"C",362
"16","Wildebeest","jeudi 30 juin 2005",30,6,2005,"DDE1","SA","dry",8,"N",10.8
"17","Wildebeest","jeudi 30 juin 2005",30,6,2005,"DDE1","SA","dry",9,"C",361
"18","Wildebeest","jeudi 30 juin 2005",30,6,2005,"DDE1","SA","dry",9,"N",11.1
"19","Wildebeest","jeudi 30 juin 2005",30,6,2005,"DDE1","SA","dry",10,"C",360
"20","Wildebeest","jeudi 30 juin 2005",30,6,2005,"DDE1","SA","dry",10,"N",11.2
"21","Giraffe","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",11,"C",449.2
"22","Giraffe","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",11,"N",40.47
"23","Giraffe","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",11,"P",4.26
"24","Giraffe","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",12,"C",452.4
"25","Giraffe","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",12,"N",34.77
"26","Giraffe","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",12,"P",3.62
"27","Giraffe","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",13,"C",461.9
"28","Giraffe","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",13,"N",30.82
"29","Giraffe","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",13,"P",3.57
"30","Giraffe","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",14,"C",452.9
"31","Giraffe","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",14,"N",31.59
"32","Giraffe","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",14,"P",3.51
"33","Giraffe","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",15,"C",461.1
"34","Giraffe","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",15,"N",38.33
"35","Giraffe","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",15,"P",4.26
"36","Giraffe","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",16,"C",449.4
"37","Giraffe","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",16,"N",41.75
"38","Giraffe","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",16,"P",3.99
