Species;C (mg/g);N (mg/g);P (mg/g);date;day;month;year;data;location;period;feces_ID
Giraffe;450;22.20;;jeudi 30 juin 2005;30;6;2005;DDE1;SA;dry;1
Giraffe;436;22.80;;jeudi 30 juin 2005;30;6;2005;DDE1;SA;dry;2
Giraffe;451;21.60;;jeudi 30 juin 2005;30;6;2005;DDE1;SA;dry;3
Giraffe;451;21.30;;jeudi 30 juin 2005;30;6;2005;DDE1;SA;dry;4
Giraffe;452;21.70;;jeudi 30 juin 2005;30;6;2005;DDE1;SA;dry;5
Wildebeest;362;11.70;;jeudi 30 juin 2005;30;6;2005;DDE1;SA;dry;6
Wildebeest;360;11.60;;jeudi 30 juin 2005;30;6;2005;DDE1;SA;dry;7
Wildebeest;362;10.80;;jeudi 30 juin 2005;30;6;2005;DDE1;SA;dry;8
Wildebeest;361;11.10;;jeudi 30 juin 2005;30;6;2005;DDE1;SA;dry;9
Wildebeest;360;11.20;;jeudi 30 juin 2005;30;6;2005;DDE1;SA;dry;10
Giraffe;449.2;40.47;4.26;samedi 31 décembre 2005;31;12;2005;DDE2;SA;wet;11
Giraffe;452.4;34.77;3.62;samedi 31 décembre 2005;31;12;2005;DDE2;SA;wet;12
Giraffe;461.9;30.82;3.57;samedi 31 décembre 2005;31;12;2005;DDE2;SA;wet;13
Giraffe;452.9;31.59;3.51;samedi 31 décembre 2005;31;12;2005;DDE2;SA;wet;14
Giraffe;461.1;38.33;4.26;samedi 31 décembre 2005;31;12;2005;DDE2;SA;wet;15
Giraffe;449.4;41.75;3.99;samedi 31 décembre 2005;31;12;2005;DDE2;SA;wet;16
Giraffe;452.9;29.49;2.92;samedi 31 décembre 2005;31;12;2005;DDE2;SA;wet;17
Giraffe;451.3;21.57;2.18;samedi 31 décembre 2005;31;12;2005;DDE2;SA;wet;18
Giraffe;451.7;36.55;3.59;samedi 31 décembre 2005;31;12;2005;DDE2;SA;wet;19
Giraffe;454.4;42.08;3.94;samedi 31 décembre 2005;31;12;2005;DDE2;SA;wet;20
Reedbuck;382.4;20.15;4.98;samedi 31 décembre 2005;31;12;2005;DDE2;SA;wet;21
Reedbuck;380.3;19.73;4.24;samedi 31 décembre 2005;31;12;2005;DDE2;SA;wet;22
