REFCLIENT;day;month;year;Species;Season;Type;MS;MO;feces_ID;component_name;component_mean
131107-TS-B;7;11;2013;Buffalo;dry;Grazers;947;830.5;1;C;415.5
131107-TS-B;7;11;2013;Buffalo;dry;Grazers;947;830.5;1;N;15.14
131107-TS-B;7;11;2013;Buffalo;dry;Grazers;947;830.5;1;P;7.4
131108-KT-B;8;11;2013;Buffalo;dry;Grazers;952;808;2;C;404
131108-KT-B;8;11;2013;Buffalo;dry;Grazers;952;808;2;N;19.235
131108-KT-B;8;11;2013;Buffalo;dry;Grazers;952;808;2;P;7.82
131108-SI-B1;8;11;2013;Buffalo;dry;Grazers;967;674.5;3;C;337.5
131108-SI-B1;8;11;2013;Buffalo;dry;Grazers;967;674.5;3;N;11.045
131108-SI-B1;8;11;2013;Buffalo;dry;Grazers;967;674.5;3;P;3.755
131108-SI-B2;8;11;2013;Buffalo;dry;Grazers;946;819.5;4;C;409.5
131108-SI-B2;8;11;2013;Buffalo;dry;Grazers;946;819.5;4;N;14.37
131108-SI-B2;8;11;2013;Buffalo;dry;Grazers;946;819.5;4;P;6.41
131108-SI-B3;8;2;2013;Buffalo;dry;Grazers;960;664.5;5;C;332
131108-SI-B3;8;2;2013;Buffalo;dry;Grazers;960;664.5;5;N;12.17
131108-SI-B3;8;2;2013;Buffalo;dry;Grazers;960;664.5;5;P;4.3
140212-SD-B1;12;2;2014;Buffalo;wet;Grazers;964;720;6;C;360.5
140212-SD-B1;12;2;2014;Buffalo;wet;Grazers;964;720;6;N;16.26
140212-SD-B1;12;2;2014;Buffalo;wet;Grazers;964;720;6;P;8.31
140212-SD-B2;12;2;2014;Buffalo;wet;Grazers;959;875.5;7;C;438
140212-SD-B2;12;2;2014;Buffalo;wet;Grazers;959;875.5;7;N;8.835
140212-SD-B2;12;2;2014;Buffalo;wet;Grazers;959;875.5;7;P;7.56
140212-SD-B3;12;2;2014;Buffalo;wet;Grazers;957;802.5;8;C;401
140212-SD-B3;12;2;2014;Buffalo;wet;Grazers;957;802.5;8;N;19.16
140212-SD-B3;12;2;2014;Buffalo;wet;Grazers;957;802.5;8;P;10.4
140212-SD-B4;12;2;2014;Buffalo;wet;Grazers;974;489.5;9;C;245
140212-SD-B4;12;2;2014;Buffalo;wet;Grazers;974;489.5;9;N;12.98
140212-SD-B4;12;2;2014;Buffalo;wet;Grazers;974;489.5;9;P;7.125
141023-MK-B;23;10;2014;Buffalo;dry;Grazers;947;919;10;C;459.5
141023-MK-B;23;10;2014;Buffalo;dry;Grazers;947;919;10;N;8.695
141023-MK-B;23;10;2014;Buffalo;dry;Grazers;947;919;10;P;2.25
131107-NG-V1;7;11;2013;Cow;dry;Grazers;950;725.5;11;C;362.5
131107-NG-V1;7;11;2013;Cow;dry;Grazers;950;725.5;11;N;15.735
131107-NG-V1;7;11;2013;Cow;dry;Grazers;950;725.5;11;P;6.065
131107-NG-V2;7;11;2013;Cow;dry;Grazers;947;784.5;12;C;392.5
131107-NG-V2;7;11;2013;Cow;dry;Grazers;947;784.5;12;N;15.15
131107-NG-V2;7;11;2013;Cow;dry;Grazers;947;784.5;12;P;5.665
131107-NG-V3;7;11;2013;Cow;dry;Grazers;951;806.5;13;C;404
131107-NG-V3;7;11;2013;Cow;dry;Grazers;951;806.5;13;N;18.76
131107-NG-V3;7;11;2013;Cow;dry;Grazers;951;806.5;13;P;10.245
140304-MR-V1;4;3;2014;Cow;wet;Grazers;970;620.5;14;C;310.5
140304-MR-V1;4;3;2014;Cow;wet;Grazers;970;620.5;14;N;11.77
140304-MR-V1;4;3;2014;Cow;wet;Grazers;970;620.5;14;P;9.005
140304-MR-V2;4;3;2014;Cow;wet;Grazers;966;646;15;C;323.5
140304-MR-V2;4;3;2014;Cow;wet;Grazers;966;646;15;N;16.06
140304-MR-V2;4;3;2014;Cow;wet;Grazers;966;646;15;P;9.25
140304-MR-V3;4;3;2014;Cow;wet;Grazers;965;687;16;C;344
140304-MR-V3;4;3;2014;Cow;wet;Grazers;965;687;16;N;16.625
140304-MR-V3;4;3;2014;Cow;wet;Grazers;965;687;16;P;9.08
140304-MR-V4;4;3;2014;Cow;wet;Grazers;965;614;17;C;307.5
140304-MR-V4;4;3;2014;Cow;wet;Grazers;965;614;17;N;12.78
140304-MR-V4;4;3;2014;Cow;wet;Grazers;965;614;17;P;10.06
140304-MR-V5;4;3;2014;Cow;wet;Grazers;963;635;18;C;318
140304-MR-V5;4;3;2014;Cow;wet;Grazers;963;635;18;N;19.395
140304-MR-V5;4;3;2014;Cow;wet;Grazers;963;635;18;P;14.685
140304-MR-V6;4;3;2014;Cow;wet;Grazers;936;608;19;C;304
140304-MR-V6;4;3;2014;Cow;wet;Grazers;936;608;19;N;18.845
140304-MR-V6;4;3;2014;Cow;wet;Grazers;936;608;19;P;14.965
140811-MR-V1;11;8;2014;Cow;dry;Grazers;957;822;20;C;411
140811-MR-V1;11;8;2014;Cow;dry;Grazers;957;822;20;N;17.115
140811-MR-V1;11;8;2014;Cow;dry;Grazers;957;822;20;P;6.74
140811-MR-V2;11;8;2014;Cow;dry;Grazers;958;772.5;21;C;386.5
140811-MR-V2;11;8;2014;Cow;dry;Grazers;958;772.5;21;N;15.82
140811-MR-V2;11;8;2014;Cow;dry;Grazers;958;772.5;21;P;7.745
140811-MR-V3;11;8;2014;Cow;dry;Grazers;952;828.5;22;C;415
140811-MR-V3;11;8;2014;Cow;dry;Grazers;952;828.5;22;N;14.66
140811-MR-V3;11;8;2014;Cow;dry;Grazers;952;828.5;22;P;5.995
140811-NG-V1;11;8;2014;Cow;dry;Grazers;957;744.5;23;C;373
140811-NG-V1;11;8;2014;Cow;dry;Grazers;957;744.5;23;N;12.82
140811-NG-V1;11;8;2014;Cow;dry;Grazers;957;744.5;23;P;5.155
140811-NG-V2;11;8;2014;Cow;dry;Grazers;936;734.5;24;C;368
140811-NG-V2;11;8;2014;Cow;dry;Grazers;936;734.5;24;N;12.285
140811-NG-V2;11;8;2014;Cow;dry;Grazers;936;734.5;24;P;5.16
140811-NG-V3;11;8;2014;Cow;dry;Grazers;940;770;25;C;385
140811-NG-V3;11;8;2014;Cow;dry;Grazers;940;770;25;N;13.695
140811-NG-V3;11;8;2014;Cow;dry;Grazers;940;770;25;P;6.385
140811-NG-V4;11;8;2014;Cow;dry;Grazers;951;771.5;26;C;386.5
140811-NG-V4;11;8;2014;Cow;dry;Grazers;951;771.5;26;N;13.98
140811-NG-V4;11;8;2014;Cow;dry;Grazers;951;771.5;26;P;5.705
140305-MR-A;5;3;2014;Donkey;wet;Grazers;977;520;27;C;260
140305-MR-A;5;3;2014;Donkey;wet;Grazers;977;520;27;N;7.81
140305-MR-A;5;3;2014;Donkey;wet;Grazers;977;520;27;P;10.15
140811-MR-A;11;8;2014;Donkey;dry;Grazers;958;767.5;28;C;384
140811-MR-A;11;8;2014;Donkey;dry;Grazers;958;767.5;28;N;11.16
140811-MR-A;11;8;2014;Donkey;dry;Grazers;958;767.5;28;P;8.075
131105-DM-E1;5;11;2013;Elephant;dry;Browsers;958;909.5;29;C;455
131105-DM-E1;5;11;2013;Elephant;dry;Browsers;958;909.5;29;N;7.775
131105-DM-E1;5;11;2013;Elephant;dry;Browsers;958;909.5;29;P;1.33
131105-DM-E2;5;11;2013;Elephant;dry;Browsers;957;807.5;30;C;404
131105-DM-E2;5;11;2013;Elephant;dry;Browsers;957;807.5;30;N;17.145
131105-DM-E2;5;11;2013;Elephant;dry;Browsers;957;807.5;30;P;3.755
131105-DP-E1;5;11;2013;Elephant;dry;Browsers;961;854;31;C;427.5
131105-DP-E1;5;11;2013;Elephant;dry;Browsers;961;854;31;N;11.195
131105-DP-E1;5;11;2013;Elephant;dry;Browsers;961;854;31;P;2.875
131105-DP-E2;5;11;2013;Elephant;dry;Browsers;950;923.5;32;C;462
131105-DP-E2;5;11;2013;Elephant;dry;Browsers;950;923.5;32;N;9.605
131105-DP-E2;5;11;2013;Elephant;dry;Browsers;950;923.5;32;P;2.585
131107-LI-E;7;11;2013;Elephant;dry;Browsers;959;813;33;C;406.5
131107-LI-E;7;11;2013;Elephant;dry;Browsers;959;813;33;N;8.17
131107-LI-E;7;11;2013;Elephant;dry;Browsers;959;813;33;P;1.675
131108-KT-E;8;11;2013;Elephant;dry;Browsers;960;791;34;C;396
131108-KT-E;8;11;2013;Elephant;dry;Browsers;960;791;34;N;9.74
131108-KT-E;8;11;2013;Elephant;dry;Browsers;960;791;34;P;3.165
140228-MP-E;28;2;2014;Elephant;wet;Browsers;956;838;35;C;419.5
140228-MP-E;28;2;2014;Elephant;wet;Browsers;956;838;35;N;11.93
140228-MP-E;28;2;2014;Elephant;wet;Browsers;956;838;35;P;4.34
140304-FO-E1;4;3;2014;Elephant;wet;Browsers;960;791;36;C;396
140304-FO-E1;4;3;2014;Elephant;wet;Browsers;960;791;36;N;12.63
140304-FO-E1;4;3;2014;Elephant;wet;Browsers;960;791;36;P;6.715
140304-FO-E2;4;3;2014;Elephant;wet;Browsers;965;697.5;37;C;349
140304-FO-E2;4;3;2014;Elephant;wet;Browsers;965;697.5;37;N;12.28
