Plant,C_mg/g,N_mg/g,C/N;
L.;chinensis,445.632,13.775,32.351
L.;chinensis,448.5,13.254,33.839
L.;chinensis,445.212,14.35,31.025
L.;chinensis,444.258,14.311,31.043
L.;chinensis,443.673,14.737,30.106
S.;grandis,455.478,10.779,42.256
S.;grandis,456.719,10.984,41.58
S.;grandis,462.563,13.481,34.312
S.;grandis,458.488,12.455,36.812
S.;grandis,454.305,10.97,41.413
A.;asphodeloides,428.876,19.681,21.791
A.;asphodeloides,426.296,18.116,23.531
A.;asphodeloides,428.415,17.088,25.071
A.;asphodeloides,423.724,17.166,24.684
A.;asphodeloides,425.611,18.58,22.907
