Herbivore species;latin_species_names;Feeding strategy;TN (%);TC (%);TP (%);d13C;feces_ID
Dikdik;madoqua_kirkii;Browser;1.867080492;37.00113519;0.351931385;-27.6342565;1
Dikdik;madoqua_kirkii;Browser;2.231027512;40.0143928;0.509843551;-26.65926341;2
Dikdik;madoqua_kirkii;Browser;2.10430173;38.73239447;0.43804955;-26.46908325;3
Dikdik;madoqua_kirkii;Browser;4.738185523;74.84330127;1.006551249;-26.45147973;4
Dikdik;madoqua_kirkii;Browser;2.288730966;39.54014613;0.594959935;-26.12729468;5
Dikdik;madoqua_kirkii;Browser;1.760498062;35.37851056;0.609062548;-26.05656268;6
Eland;taurotragus_orys;Browser;2.084704024;42.26907006;0.501475487;-28.27544726;7
Eland;taurotragus_orys;Browser;1.806781714;41.80679035;0.391259669;-27.82840065;8
Eland;taurotragus_orys;Browser;1.994610729;37.94379985;0.441737774;-27.44760398;9
Giraffe;giraffa_camelopardalis;Browser;2.935057639;46.60817962;0.553773131;-28.7182676;10
Giraffe;giraffa_camelopardalis;Browser;2.929357205;45.92771919;0.419737656;-28.49784981;11
Giraffe;giraffa_camelopardalis;Browser;2.382422975;43.90985142;0.393877524;-28.45366898;12
Giraffe;giraffa_camelopardalis;Browser;2.068083994;36.45141439;0.482079696;-28.44692815;13
Giraffe;giraffa_camelopardalis;Browser;2.307154992;44.26711664;0.392288407;-26.97622177;14
Kudu;tragelaphus_strepsiceros;Browser;2.143731245;39.57804952;0.574882167;-27.50715777;15
Kudu;tragelaphus_strepsiceros;Browser;2.585140303;44.72956511;0.514309208;-27.44343139;16
Kudu;tragelaphus_strepsiceros;Browser;2.675112007;45.86679816;0.533391858;-27.1917146;17
Thomson's gazelle;gazella_rufifrons;Browser;1.799187151;35.34489351;0.44865434;-25.46721252;18
Thomson's gazelle;gazella_rufifrons;Browser;1.853505143;31.47019982;0.367199371;-25.17893708;19
Thomson's gazelle;gazella_rufifrons;Browser;2.353021491;36.40537364;0.274175253;-25.05369107;20
Thomson's gazelle;gazella_rufifrons;Browser;2.22923345;36.02670339;0.317585922;-24.62278371;21
Thomson's gazelle;gazella_rufifrons;Browser;2.065122165;34.99515835;0.540754158;-24.28007411;22
Thomson's gazelle;gazella_rufifrons;Browser;2.324157523;33.53497647;0.289887122;-23.55304679;23
Buffalo;syncerus_caffer;Grazer;1.437861852;32.11982514;0.562853792;-14.99698089;24
Buffalo;syncerus_caffer;Grazer;1.486231778;38.23298885;0.413971195;-14.91307081;25
Buffalo;syncerus_caffer;Grazer;1.937222655;34.73841069;0.547468556;-14.78185249;26
Buffalo;syncerus_caffer;Grazer;1.684063523;36.31831712;0.615689517;-14.58856421;27
Buffalo;syncerus_caffer;Grazer;1.523797737;32.28986336;0.584609777;-13.67903362;28
Grevy's zebra;equus_grevyi;Grazer;1.38;36.51;0.52;-14.58;29
Grevy's zebra;equus_grevyi;Grazer;1.398677138;38.09665562;0.526848073;-14.02467416;30
Warthog;phacochoerus_africanus;Grazer;1.457027345;36.33686412;0.272018078;-15.5056528;31
Warthog;phacochoerus_africanus;Grazer;1.416085803;34.31177492;0.444686755;-14.68016618;32
Warthog;phacochoerus_africanus;Grazer;1.497409378;33.41189933;0.447342216;-14.43746354;33
Burchell's zebra;equus_quagga;Grazer;1.628575844;30.22195357;0.351700769;-15.37756384;34
Burchell's zebra;equus_quagga;Grazer;1.474818702;28.41354834;0.412376287;-15.29263178;35
Burchell's zebra;equus_quagga;Grazer;0.716769844;35.85325284;0.318056021;-14.76710333;36
Burchell's zebra;equus_quagga;Grazer;1.043421149;33.80886496;0.283160395;-14.75504834;37
Burchell's zebra;equus_quagga;Grazer;0.863986582;36.36294094;0.339360657;-14.6731161;38
Burchell's zebra;equus_quagga;Grazer;1.029573189;36.45427226;0.276540898;-14.39490795;39
