feces_ID;component_name;component_value
1;P;0.466762547
1;N;7.451933506
2;P;0.670972825
2;N;10.65060692
3;P;0.580032651
3;N;15.89173477
4;P;0.596168747
4;N;18.77553193
5;P;0.99671894
5;N;16.41562088
6;P;1.137862728
6;N;13.38976088
7;P;1.319469356
7;N;13.03646422
8;P;1.238313674
8;N;16.20247673
9;P;1.215576968
9;N;17.57430618
10;P;0.797041177
10;N;25.49123352
11;P;0.881393095
11;N;24.04852234
12;P;1.184641057
12;N;22.35769659
13;P;0.884189207
13;N;40.57839224
14;P;1.259136251
14;N;25.66302049
15;P;1.379159983
15;N;24.18482567
16;P;1.421311706
16;N;24.360305
17;P;1.351646506
17;N;22.32105821
18;P;1.449028572
18;N;18.69769318
19;P;1.533367184
19;N;17.74736195
20;P;1.619278728
20;N;18.59068629
21;P;1.612805471
21;N;18.13353336
22;P;1.560840744
22;N;21.08826928
23;P;1.504059329
23;N;22.28454813
24;P;1.701862879
24;N;22.56416885
25;P;1.807368117
25;N;18.3428426
26;P;1.870572417
26;N;19.4677265
27;P;1.886637231
27;N;24.98927341
28;P;1.870331962
28;N;28.36573565
29;P;1.800610687
29;N;28.40151866
30;P;1.696789579
30;N;30.30161088
31;P;1.706482832
31;N;31.60281522
32;P;1.560484339
32;N;34.27701802
33;P;1.809970345
33;N;42.04739182
34;P;2.074489967
34;N;33.49875888
35;P;2.327704439
35;N;23.29723589
36;P;2.43630897
36;N;24.38655062
37;P;2.619563614
37;N;23.0484798
38;P;2.324243038
38;N;31.38636363
39;P;2.395581915
39;N;31.49124635
40;P;2.475081029
40;N;29.62653797
41;P;2.548016597
41;N;30.64582635
42;P;2.611154368
42;N;34.23261001
43;P;2.456979481
43;N;39.47429385
44;P;2.671120614
44;N;35.18167244
45;P;2.705139662
45;N;36.30681296
46;P;2.757171868
46;N;30.85500728
47;P;2.660432281
47;N;10.70345458
48;P;2.762539796
48;N;12.2148663
49;P;2.609098627
49;N;50.30531273
50;P;2.901203008
50;N;40.98269751
51;P;3.19956205
51;N;40.20633445
52;P;3.243351333
52;N;39.78390957
53;P;3.326138873
53;N;36.23101285
54;P;3.238716174
54;N;31.30798315
