Series 1: ;
0.009664139;0.122624463
0.970398357;0.113735475
1.963847345;0.05228732
2.967196395;0.040959482
3.993753359;0.074397363
4.95439146;0.06502177
5.98171736;0.102352491
6.947502096;0.191759657
7.992504807;0.173126918
8.990235375;0.206082077
9.982006683;0.208867726
10.97819938;0.234037205
11.98956984;0.190591494
12.97068088;0.284862769
13.97839889;0.222926067
14.97252944;0.31038293
15.95301135;0.32874188
16.95338951;0.447828069
17.96558134;0.481267891
18.96284006;0.657288808
19.96564736;0.425036469
20.98345766;0.414193293
21.96441143;0.289486487
22.97986249;0.193972098
;
;0.242992925
