species;food_habit;M;F;male_prop;Ca_mean;Ca_error;Mg_mean;Mg_error;K_mean;K_error;Na_mean;Na_error;Fe_mean;Fe_error;N_mean;N_error
saccopteryx_bilineata;I;4;5;0.444444444;4.59;0.97;5.09;0.41;16.97;2.32;1.15;0.29;1.63;0.19;133.1;2.2
mimon_crenulatum;I;5;6;0.454545455;1.42;0.21;10.24;0.96;33.24;7.32;1.44;0.31;1.82;0.18;139;3.5
phyllostomus_elongatus;O;8;8;0.5;7.25;2.19;8.65;0.7;34.24;4.22;1.04;0.24;1.3;0.1;123.9;5.6
phyllostomus_hastatus;O;8;10;0.444444444;24.95;4.98;9.1;0.64;26.6;2.9;1.38;0.24;1.72;0.32;86.7;8.9
tonatia_bidens;O;0;2;0;9.84;5.54;8.94;2.28;46.95;11.63;3.19;0.49;1.63;0.25;105.6;24.7
trachops_cirrhosus;O;0;2;0;70.07;40.9;16.55;1.02;17.25;1.85;2.1;0.93;1.3;0.49;109.7;5.7
glossophaga_soricina;H;4;5;0.444444444;28.84;6.94;10.23;1.69;40.48;7.33;0.82;0.23;1.8;0.43;77.4;6.5
carollia_castanea;H;11;12;0.47826087;61.71;6.06;9.67;0.41;27.28;2.4;1.22;0.2;0.51;0.05;52.9;1.3
carollia_brevicauda;H;12;12;0.5;35.08;6.94;8.37;0.51;31.16;3.24;0.8;0.18;0.39;0.03;627;3.4
carollia_perspicillata;H;14;13;0.518518519;27.86;3.36;7.6;0.65;66.48;8.83;0.6;0.09;1.36;0.32;69.6;3.5
Rhinophylla_pumilia;H;4;7;0.363636364;24.57;5.81;9.52;1.08;36.4;3.6;0.96;0.17;0.92;0.09;57.9;4.2
artibeus_glaucus;H;2;3;0.4;35.97;14.7;12.38;1.09;30.75;5.09;0.77;0.17;0.71;0.13;60.9;7.3
artibeus_jamaicensis;H;8;6;0.571428571;31.47;6.24;9.07;0.88;35.76;5.5;0.67;0.09;0.74;0.07;55.7;5.4
artibeus_lituratus;H;2;1;0.666666667;24.75;7.89;8.02;0.5;46.89;13.73;0.39;0.24;0.49;0.06;66.4;11.2
artibeus_obscurus;H;1;1;0.5;16.07;7.16;7.72;0.04;40.47;15.01;0.45;0.1;0.62;0.18;49.8;10.7
platyrrhinus_helleri;H;0;2;0;50.29;3.28;13.95;0.06;33.57;1.27;1.12;0.58;1.29;0.04;45.1;1.7
platyrrhinus_infuscus;H;0;2;0;17.52;1.35;10.99;0.88;65.3;0.64;0.37;0.01;0.56;0.06;26.4;2.1
uroderma_bilobatum;H;0;2;0;21.97;4.35;13.08;3.86;66.23;4.75;1.32;0.73;0.98;0.24;53.6;9.4
sturnira_lilium;H;1;3;0.25;38.25;18.56;11.8;0.73;63.73;23.54;1.47;0.26;1.05;0.25;60.4;7.8
myotis_riparius;I;2;3;0.4;4.91;1.74;9.51;0.36;27.33;4.16;1.73;0.39;1.94;0.19;137.4;3.7
