species;male_prop;component_name;component_value;error;n_indiv
saccopteryx_bilineata;0.444444444;Ca;4.59;0.97;9
saccopteryx_bilineata;0.444444444;Mg;5.09;0.41;9
saccopteryx_bilineata;0.444444444;K;16.97;2.32;9
saccopteryx_bilineata;0.444444444;Na;1.15;0.29;9
saccopteryx_bilineata;0.444444444;Fe;1.63;0.19;9
saccopteryx_bilineata;0.444444444;N;133.1;2.2;9
mimon_crenulatum;0.454545455;Ca;1.42;0.21;11
mimon_crenulatum;0.454545455;Mg;10.24;0.96;11
mimon_crenulatum;0.454545455;K;33.24;7.32;11
mimon_crenulatum;0.454545455;Na;1.44;0.31;11
mimon_crenulatum;0.454545455;Fe;1.82;0.18;11
mimon_crenulatum;0.454545455;N;139;3.5;11
phyllostomus_elongatus;0.5;Ca;7.25;2.19;16
phyllostomus_elongatus;0.5;Mg;8.65;0.7;16
phyllostomus_elongatus;0.5;K;34.24;4.22;16
phyllostomus_elongatus;0.5;Na;1.04;0.24;16
phyllostomus_elongatus;0.5;Fe;1.3;0.1;16
phyllostomus_elongatus;0.5;N;123.9;5.6;16
phyllostomus_hastatus;0.444444444;Ca;24.95;4.98;18
phyllostomus_hastatus;0.444444444;Mg;9.1;0.64;18
phyllostomus_hastatus;0.444444444;K;26.6;2.9;18
phyllostomus_hastatus;0.444444444;Na;1.38;0.24;18
phyllostomus_hastatus;0.444444444;Fe;1.72;0.32;18
phyllostomus_hastatus;0.444444444;N;86.7;8.9;18
tonatia_bidens;0;Ca;9.84;5.54;2
tonatia_bidens;0;Mg;8.94;2.28;2
tonatia_bidens;0;K;46.95;11.63;2
tonatia_bidens;0;Na;3.19;0.49;2
tonatia_bidens;0;Fe;1.63;0.25;2
tonatia_bidens;0;N;105.6;24.7;2
trachops_cirrhosus;0;Ca;70.07;40.9;2
trachops_cirrhosus;0;Mg;16.55;1.02;2
trachops_cirrhosus;0;K;17.25;1.85;2
trachops_cirrhosus;0;Na;2.1;0.93;2
trachops_cirrhosus;0;Fe;1.3;0.49;2
trachops_cirrhosus;0;N;109.7;5.7;2
glossophaga_soricina;0.444444444;Ca;28.84;6.94;9
glossophaga_soricina;0.444444444;Mg;10.23;1.69;9
glossophaga_soricina;0.444444444;K;40.48;7.33;9
glossophaga_soricina;0.444444444;Na;0.82;0.23;9
glossophaga_soricina;0.444444444;Fe;1.8;0.43;9
glossophaga_soricina;0.444444444;N;77.4;6.5;9
carollia_castanea;0.47826087;Ca;61.71;6.06;23
carollia_castanea;0.47826087;Mg;9.67;0.41;23
carollia_castanea;0.47826087;K;27.28;2.4;23
carollia_castanea;0.47826087;Na;1.22;0.2;23
carollia_castanea;0.47826087;Fe;0.51;0.05;23
carollia_castanea;0.47826087;N;52.9;1.3;23
carollia_brevicauda;0.5;Ca;35.08;6.94;24
carollia_brevicauda;0.5;Mg;8.37;0.51;24
carollia_brevicauda;0.5;K;31.16;3.24;24
carollia_brevicauda;0.5;Na;0.8;0.18;24
carollia_brevicauda;0.5;Fe;0.39;0.03;24
carollia_brevicauda;0.5;N;627;3.4;24
carollia_perspicillata;0.518518519;Ca;27.86;3.36;27
carollia_perspicillata;0.518518519;Mg;7.6;0.65;27
carollia_perspicillata;0.518518519;K;66.48;8.83;27
carollia_perspicillata;0.518518519;Na;0.6;0.09;27
carollia_perspicillata;0.518518519;Fe;1.36;0.32;27
carollia_perspicillata;0.518518519;N;69.6;3.5;27
Rhinophylla_pumilia;0.363636364;Ca;24.57;5.81;11
