Spider;Treatment;Weight (mg);Method;N Area;C Area;N%;C%;C/N ;N Factor;C Factor;obs_ID
WF16;100:00:00;4.0599;2mgChem80s;20 109;41 546;14.52;43.86;3.0212;0.967;1.0032;1
WF10;100:00:00;2.2078;2mgChem80s;11 910;21 716;15.88;42.35;2.6667;0.967;1.0032;2
WF7;100:00:00;3.0699;2mgChem80s;14 733;31 405;14.1;43.94;3.1157;0.967;1.0032;3
W17;100:00:00;1.8952;2mgChem80s;8 937;18 392;13.91;41.83;3.0061;0.967;1.0032;4
WF4;100:00:00;2.1108;2mgChem80s;12 149;20 243;16.94;41.31;2.4384;0.967;1.0032;5
WF28;100:00:00;2.0475;2mgChem80s;7 786;19 604;11.23;41.25;3.6729;0.967;1.0032;6
WF7;100:00:00;2.538;2mgChem80s;10 795;32 681;12.53;55.29;4.4121;0.967;1.0032;7
WF4;100:00:00;2.713;2mgChem80s;13 704;21 323;14.85;33.84;2.2787;0.967;1.0032;8
WF28;100:00:00;2.7637;2mgChem80s;12 696;27 649;13.52;43.01;3.1818;0.967;1.0032;9
W27;100:00:00;2.1724;2mgChem80s;11 096;21 295;15.05;42.21;2.8056;0.967;1.0032;10
W18;100:00:00;4.0744;2mgChem80s;31 714;35 485;22.8;37.37;1.6392;0.967;1.0032;11
WL1;100:00:00;2.753;2mgChem80s;14 571;27 969;15.55;43.67;2.8076;0.967;1.0032;12
SP2;100:00:00;3.2533;2mgChem80s;16 622;30 761;15;40.62;2.7081;0.967;1.0032;13
SP9;100:00:00;3.359;2mgChem80s;18 675;32 002;16.31;40.91;2.5093;0.967;1.0032;14
SP9;100:00:00;2.5747;2mgChem80s;10 899;29 107;12.47;48.58;3.8955;0.967;1.0032;15
WF22;80:10:10;4.6579;2mgChem80s;27 642;44 210;17.37;40.67;2.3406;0.967;1.0032;16
WF22;80:10:10;1.1021;2mgChem80s;6 331;10 491;16.99;41.15;2.4223;0.967;1.0032;17
WF17;80:10:10;1.9761;2mgChem80s;8 858;21 529;13.23;46.91;3.5466;0.967;1.0032;18
W6;80:10:10;2.2825;2mgChem80s;14 984;20 515;19.29;38.71;2.0071;0.967;1.0032;19
WF19;80:10:10;2.3745;2mgChem80s;14 953;22 892;18.5;41.5;2.2427;0.967;1.0032;20
WF17;80:10:10;1.7269;2mgChem80s;12 506;15 795;21.31;39.45;1.8514;0.967;1.0032;21
WF5;80:10:10;2.4819;2mgChem80s;13 227;25 315;15.68;43.87;2.7989;0.967;1.0032;22
WF14;80:10:10;2.1636;2mgChem80s;11 920;20 492;16.22;40.79;2.5152;0.967;1.0032;23
WF5;80:10:10;1.8852;2mgChem80s;8 709;18 663;13.63;42.66;3.1294;0.967;1.0032;24
W30;80:10:10;2.7043;2mgChem80s;15 192;26 522;16.5;42.17;2.5554;0.967;1.0032;25
W10;80:10:10;2.8004;2mgChem80s;9 007;30 583;9.49;46.91;4.9438;0.967;1.0032;26
W4;80:10:10;2.9226;2mgChem80s;16 115;28 792;16.19;42.34;2.6151;0.967;1.0032;27
W4;80:10:10;1.9918;2mgChem80s;9 217;20 297;13.65;43.89;3.2155;0.967;1.0032;28
W30;80:10:10;3.2542;2mgChem80s;17 854;32 834;16.1;43.32;2.6915;0.967;1.0032;29
WL3;80:10:10;3.4902;2mgChem80s;20 842;33 987;17.5;41.8;2.3887;0.967;1.0032;30
SP1;80:10:10;4.7444;2mgChem80s;27 901;45 381;17.22;40.97;2.3798;0.967;1.0032;31
WF8;80:10:10;3.4952;2mgChem80s;20 288;35 746;17.01;43.89;2.5795;0.967;1.0032;32
WF8;80:10:10;3.292;2mgChem80s;17 132;34 220;15.27;44.62;2.9215;0.967;1.0032;33
SP4;80:10:10;3.5715;2mgChem80s;22 971;34 227;18.84;41.14;2.1837;0.967;1.0032;34
WF18;60:20:20;1.2952;2mgChem80s;5 461;12 867;12.48;42.9;3.4382;0.967;1.0032;35
W11;60:20:20;2.6897;2mgChem80s;16 323;26 184;17.82;41.86;2.3497;0.967;1.0032;36
WF18;60:20:20;1.791;2mgChem80s;7 507;18 729;12.38;45.07;3.6395;0.967;1.0032;37
