intake N g/indiv/day	fecal N g/indiv/day
0.4707	0.5274
0.5817	0.4764
0.6117	0.4116
0.6042	0.394
0.6217	0.3997
0.6167	0.3814
0.7088	0.4412
0.697	0.4865
0.6732	0.5569
0.734	0.5192
0.7471	0.4928
0.8455	0.472
0.8462	0.4544
0.8455	0.4393
0.8826	0.7336
0.7715	0.5934
0.8475	0.5387
1.0461	0.4456
1.0474	0.494
1.0493	0.5292
1.033	0.5311
1.0474	0.5455
1.0368	0.5682
1.0073	0.5821
1.0067	0.5664
1.0368	0.5977
1.0324	0.633
1.0073	0.6475
1.0124	0.6739
1.008	0.6953
0.9842	0.7198
1.1947	0.6538
1.201	0.6953
1.2405	0.7437
1.2812	0.7984
1.2669	0.7991
1.2393	0.8035
1.2387	0.8192
1.2036	0.8072
1.2023	0.8563
1.3045	0.8197
1.2738	0.8601
1.2688	0.9104
1.4173	0.8267
1.4086	0.833
1.3992	0.8437
1.4148	0.8531
1.3052	0.8896
1.3039	0.9343
1.3641	0.9028
1.3628	0.9203
1.361	0.9367
1.4675	0.884
1.4668	0.9575
1.4663	0.9921
1.4682	1.0079
1.3642	1.0708
1.4506	1.0318
1.4513	1.0469
1.4513	1.0619
1.4506	1.0619
1.4657	1.0475
1.4438	1.1965
1.4582	1.084
1.445	1.1028
1.4714	1.1475
1.4475	1.1582
1.445	1.1192
1.5371	1.0695
1.5391	1.2701
1.5379	1.306
1.5385	1.3235
1.5373	1.3481
1.5434	1.3726
1.5272	1.3733
1.5411	1.4506
1.5373	1.4934
1.5373	1.5123
1.6695	1.294
1.6181	1.2318
1.6168	1.1072
1.6838	1.1374
1.6825	1.1701
1.613	1.1381
1.6143	1.1594
1.672	1.1865
1.6644	1.2223
1.6651	1.2374
1.6833	1.2387
1.6825	1.2217
1.5392	1.5474
1.5424	1.6116
1.9289	1.0827
1.9283	1.0984
1.7942	1.145
1.7942	1.1714
1.7917	1.2557
1.7911	1.2739
1.8168	1.2594
1.8174	1.3519
1.8199	1.3953
1.8212	1.4494
1.9283	1.1714
1.9289	1.1852
1.9584	1.2179
1.9284	1.4601
1.9554	1.4852
1.9272	1.5349
1.9291	1.611
1.9285	1.65
