Treatment;P %;K %;Ca %;Mg %;Organic C %;N %;Na mg/kg;Fe mg/kg;Cu mg/kg;Zn mg/kg;Mn mg/kg;B mg/kg;Al mg/kg;obs_ID
New;0.34;2.45;0.38;0.19;54.4;2.27;26.00;36.60;12.32;29.04;18.99;18.72;7.60;1
New;0.41;2.23;0.36;0.19;54.9;2.68;42.00;37.62;11.19;35.29;14.63;19.78;7.90;2
New;0.35;1.93;0.61;0.21;54.9;2.56;38.00;55.31;11.93;40.62;38.68;26.17;25.00;3
New;0.34;2.26;0.19;0.21;54.7;2.46;59.00;32.47;11.26;35.53;14.27;11.99;11.00;4
New;0.37;1.92;0.96;0.19;54.9;2.14;48.00;86.28;9.85;27.01;42.68;22.00;13.00;5
New;0.37;2.19;0.45;0.21;54.9;2.27;47.00;32.38;9.44;33.41;30.68;30.27;10.00;6
New;0.43;2.51;0.22;0.21;54.7;2.86;31.00;34.80;10.49;37.75;21.84;18.05;8.70;7
New;0.31;2.24;1.16;0.18;54.1;1.99;23.00;38.67;9.71;28.67;23.37;34.11;12.00;8
New;0.46;2.43;0.4;0.2;54.4;2.76;40.00;45.24;9.38;33.67;28.03;14.94;11.00;9
New;0.46;2.54;0.42;0.26;54.1;2.51;37.00;37.79;10.62;34.93;28.97;23.84;13.00;10
Frass;0.23;1.13;1.98;0.18;54.7;1.54;23.00;62.15;5.21;21.22;18.32;124.30;34.00;11
Frass;0.18;0.73;1.74;0.16;55.5;1.35;23.00;58.98;4.88;17.68;16.17;142.70;26.00;12
Frass;0.09;0.69;1.85;0.14;52.3;0.76;47.00;754.70;8.27;17.57;48.76;29.29;560.00;13
Frass;0.41;1.28;2.4;0.24;54.4;1.6;15.00;56.88;8.04;49.68;26.29;104.30;20.00;14
Frass;0.37;1.38;2.76;0.19;54.1;1.66;25.00;52.35;10.76;62.62;29.30;131.40;16.00;15
Frass;0.45;1.63;1.35;0.23;54.7;1.64;20.00;45.34;9.79;59.33;19.43;80.70;19.00;16
Frass;0.42;1.44;1.32;0.2;54.9;1.53;29.00;46.28;9.91;42.38;17.74;87.64;18.00;17
Frass;0.28;1.28;1.78;0.22;54.9;1.82;23.00;65.00;4.85;28.55;37.11;109.20;41.00;18
Frass;0.61;1.37;1.67;0.19;54.7;1.35;25.00;53.28;5.88;41.94;66.29;92.89;22.00;19
Frass;0.46;1.48;1.67;0.22;54.7;1.56;33.00;69.94;8.63;47.81;38.50;74.97;29.00;20
Worm;0.68;2.62;0.34;0.27;54.1;8.98;56.00;55.24;7.66;111.10;30.97;42.32;23.00;21
Worm;0.69;2.51;0.32;0.27;54.4;8.59;65.00;65.82;8.65;126.62;29.73;31.95;23.94;22
