"","Treatment","component_name","component_mean","error","min","max","unit","method"
"1","Frass","Al",78.5,169.363678383399,16,560,"mg/kg",NA
"2","Frass","B",97.739,32.7515317538313,29.29,142.7,"mg/kg",NA
"3","Frass","Ca",1.852,0.442236739013544,1.32,2.76,"pourcentage",NA
"4","Frass","Cu",7.622,2.24716512769113,4.85,10.76,"mg/kg",NA
"5","Frass","Fe",126.49,220.868217320243,45.34,754.7,"mg/kg",NA
"6","Frass","K",1.241,0.309854804706979,0.69,1.63,"pourcentage","dry_ashing"
"7","Frass","Mg",0.197,0.0316403399335581,0.14,0.24,"pourcentage",NA
"8","Frass","Mn",31.791,16.2056399304549,16.17,66.29,"mg/kg",NA
"9","Frass","N",1.481,0.289192361970752,0.76,1.82,"pourcentage","elemental_analyzer"
"10","Frass","Na",26.3,8.71843512971858,15,47,"mg/kg",NA
"11","Frass","C",54.49,0.849117188614152,52.3,55.5,"pourcentage",NA
"12","Frass","P",0.35,0.154344492037203,0.09,0.61,"pourcentage","dry_ashing"
"13","Frass","Zn",38.878,16.7396042698479,17.57,62.62,"mg/kg",NA
"14","New","Al",11.92,4.98883197195941,7.6,25,"mg/kg",NA
"15","New","B",21.987,6.80809004053266,11.99,34.11,"mg/kg",NA
"16","New","Ca",0.515,0.313484006326036,0.19,1.16,"pourcentage",NA
"17","New","Cu",10.619,1.0386149965753,9.38,12.32,"mg/kg",NA
"18","New","Fe",43.716,16.4360316919194,32.38,86.28,"mg/kg",NA
"19","New","K",2.27,0.22,1.92,2.54,"pourcentage","dry_ashing"
"20","New","Mg",0.205,0.0222361067735439,0.18,0.26,"pourcentage",NA
"21","New","Mn",26.214,9.50802842046891,14.27,42.68,"mg/kg",NA
"22","New","N",2.45,0.279960314647947,1.99,2.86,"pourcentage","elemental_analyzer"
"23","New","Na",39.1,10.7955752252691,23,59,"mg/kg",NA
"24","New","C",54.6,0.32659863237109,54.1,54.9,"pourcentage",NA
"25","New","P",0.384,0.0529570056219613,0.31,0.46,"pourcentage","dry_ashing"
"26","New","Zn",33.592,4.26119127839987,27.01,40.62,"mg/kg",NA
"27","Worm","Al",23.47,0.664680374315356,23,23.94,"mg/kg",NA
"28","Worm","B",37.135,7.3326973209045,31.95,42.32,"mg/kg",NA
"29","Worm","Ca",0.33,0.014142135623731,0.32,0.34,"pourcentage",NA
"30","Worm","Cu",8.155,0.700035713374682,7.66,8.65,"mg/kg",NA
"31","Worm","Fe",60.53,7.48118974495367,55.24,65.82,"mg/kg",NA
"32","Worm","K",2.565,0.0777817459305205,2.51,2.62,"pourcentage","dry_ashing"
"33","Worm","Mg",0.27,0,0.27,0.27,"pourcentage",NA
"34","Worm","Mn",30.35,0.876812408671318,29.73,30.97,"mg/kg",NA
"35","Worm","N",8.785,0.275771644662754,8.59,8.98,"pourcentage","elemental_analyzer"
"36","Worm","Na",60.5,6.36396103067893,56,65,"mg/kg",NA
"37","Worm","C",54.25,0.212132034355962,54.1,54.4,"pourcentage",NA
"38","Worm","P",0.685,0.0070710678118654,0.68,0.69,"pourcentage","dry_ashing"
"39","Worm","Zn",118.86,10.9742972440152,111.1,126.62,"mg/kg",NA
