"Ref	Cite_in	DOI	Classe	Sous classe	Super ordre	Ordre	Sous ordre	Famille	Genus	Species	Functional_group	Diet_type	Diet_type_ajout	Ref_ajout_diet	C_mean	C_sd	N_mean	N_sd	P_mean	P_sd	P_MinMax	C/N_mean	C/N_sd	C/P_mean	C/P_sd	N/P	DryMass (g)	DryMass_sd (g)	DryMass_ajout	DryMass_sd_ajout	Ref_ajout_DryMass	WetMass (g)	WetMass_ajout	Ref_ajout_WetMass	Body_length(m)	Body_length_sd(m)	C_mean_sample_size	N_mean_sample-size	P_mean_sample_size	Mass_sample_size	Age_Stage(???)	Biome	Biome ajout	Ref biome ajout	Stoichio data source	Body_mass data source	Observation	Agent	Organism_source	Stoichio_analysis	Nitrogen_calc_from_prot	Ratio_method";
"Robbins_2012		livre							Odocoileus	virginianus	Mammal		H	Swihart_1990					2.26	0.16									20172.607966		From wet mass		70000	Smith_1991								Temperate forest						JS				0";
"Robbins_2012		livre							Blarina	brevicauda	Mammal		C	Deavers_1979					1.72	0.051									2.881801138		From wet mass		10	William_1929								Temperate forest						JS	Field	Whole body	No	0";
"Robbins_2012		livre							Peromyscus	gossypinus	Mammal		O	Barbour_1982					1.67	0.132									8.645403414		From wet mass		30	Wolfe_1977								Temperate forest						JS	Field	Whole body	No	0";
"Robbins_2012		livre							Ochrotomys	nuttalli	Mammal		G	Gibbes_2011					1.92	0.077									6.6281426174		From wet mass		23	Springer_1981								Temperate forest						JS	Field	Whole body	No	0";
"Robbins_2012		livre							Peromyscus	polionotus	Mammal		G	Phelan_1992					1.8515		1,707-1,996								3.86161352492		From wet mass		13.4	Teska_1990								Temperate forest					P calculer ac moyenne range	JS				0";
"Robbins_2012		livre							Sciurus	niger	Mammal		O	Ditgen_2007					1.8		1,67-1,93								273.77110811		From wet mass		950	Ford_2007								Temperate forest					P calculer ac moyenne range	JS				0";
"Arbaciauskas_2013		10.1111/fwb.12108							Limnomysis	benedeni	Invert		D	Abmann_2009	44.5	0.8	11.6	0.1	1.26	0.07		4.46	0.07	91.8	5	20.7			0.000934596089552		Vanni (familly mean)											Marine					Classe de taille dispo mais donnee sur figure, pas claire	JS	Field	Whole body or part	No	molar";
"Arbaciauskas_2013		10.1111/fwb.12108							Paramysis	lacustris	Invert		C	Lesutiene_2007	45.1	1.4	12.4	0.4	1.27	0.12		4.25	0.12	92.9	10.4	21.9			0.000934596089552		Vanni (familly mean)											Marine					Classe de taille dispo mais donnee sur figure, pas claire	JS	Field	Whole body or part	No	molar";
"Arbaciauskas_2013		10.1111/fwb.12108							Pontogammarus	robustoides	Invert		O	Arbaciauskas_2007	36.1	1.5	7.76	0.59	0.88	0.14		5.46	0.36	108.1	15.5	20			0.014594515833333		Vanni (order mean)											Marine					Classe de taille dispo mais donnee sur figure, pas claire	JS	Field	Whole body or part	No	molar";
"Back_2013		10.1899/12-181.1							Ambrysus	circumcinctus	Invert	C			50	0.5	11.6	0.12				5.02873563218391					0.00758															Freshwater			moyenne	moyenne	P dispo en fonction pd pr certains des sp 	JS	Field	Whole body	No	molar";
