Credit;Reference;doi;Class;Subclass;Superorder;Order;Suborder;Family;Genus;Species;Species_binomial;Group;Diet_full;Functional_group;Habitat;Mass_dry_full;Mass_log10;C_mean;N_mean;P_mean;CN_ratio;CP_ratio;NP_ratio;Organism_source;Stoichio_analysis;Nitrogen_calc_from_prot;Staff
Robbins_2012;NA;NA;Mammalia;Theria;NA;Artiodactyla;Ruminantia;Cervidae;Odocoileus;virginianus;Odocoileus virginianus;Mammal;H;Mammal H;Terrestrial;20172,60797;4,304762049;NA;NA;2,26;NA;NA;NA;NA;NA;NA;JS
Robbins_2012;NA;NA;Mammalia;Theria;NA;Eulipotyphla;NA;Soricidae;Blarina;brevicauda;Blarina brevicauda;Mammal;C;Mammal C;Terrestrial;2,881801138;0,459664009;NA;NA;1,72;NA;NA;NA;Field;Whole body;No;JS
Robbins_2012;NA;NA;Mammalia;Theria;NA;Rodentia;Myomorpha;Cricetidae;Peromyscus;gossypinus;Peromyscus gossypinus;Mammal;O;Mammal O;Terrestrial;8,645403414;0,936785263;NA;NA;1,67;NA;NA;NA;Field;Whole body;No;JS
Robbins_2012;NA;NA;Mammalia;Theria;NA;Rodentia;Myomorpha;Cricetidae;Ochrotomys;nuttalli;Ochrotomys nuttalli;Mammal;H;Mammal G;Terrestrial;6,628142617;0,821391845;NA;NA;1,92;NA;NA;NA;Field;Whole body;No;JS
Robbins_2012;NA;NA;Mammalia;Theria;NA;Rodentia;Myomorpha;Cricetidae;Peromyscus;polionotus;Peromyscus polionotus;Mammal;H;Mammal G;Terrestrial;3,861613525;0,586768807;NA;NA;1,8515;NA;NA;NA;NA;NA;NA;JS
Robbins_2012;NA;NA;Mammalia;Theria;NA;Rodentia;Sciuromorpha;Sciuridae;Sciurus;niger;Sciurus niger;Mammal;O;Mammal O;Terrestrial;273,7711081;2,437387614;NA;NA;1,8;NA;NA;NA;NA;NA;NA;JS
Arbaciauskas_2013;NA;10.1111/fwb.12108;Malacostraca;Eumalacostraca;NA;Mysida;NA;Mysidae;Limnomysis;benedeni;Limnomysis benedeni;Invert;D;Invert D;Marine;0,000934596;-3,02937604;44,5;11,6;1,26;4,46;91,8;20,7;Field;Whole body or part;No;JS
Arbaciauskas_2013;NA;10.1111/fwb.12108;Malacostraca;Eumalacostraca;NA;Mysida;NA;Mysidae;Paramysis;lacustris;Paramysis lacustris;Invert;C;Invert C;Marine;0,000934596;-3,02937604;45,1;12,4;1,27;4,25;92,9;21,9;Field;Whole body or part;No;JS
Arbaciauskas_2013;NA;10.1111/fwb.12108;Malacostraca;Eumalacostraca;NA;Amphipoda;Senticaudata;Pontogammaridae;Pontogammarus;robustoides;Pontogammarus robustoides;Invert;O;Invert O;Marine;0,014594516;-1,835810308;36,1;7,76;0,88;5,46;108,1;20;Field;Whole body or part;No;JS
Back_2013;NA;10.1899/12-181.1;Insecta;Pterygota;NA;Hemiptera;Heteroptera;Naucoridae;Ambrysus;circumcinctus;Ambrysus circumcinctus;Invert;C;Invert C;Freshwater;0,00758;-2,120330794;50;11,6;NA;5,028735632;NA;NA;Field;Whole body;No;JS
