"accepted_species_gbif","accepted_gbif_id","gbif_id","order","family","genus","status","species_raw","adw_primary_diet","adw_carnivore","adw_carnivore.piscivore","adw_carnivore.sanguivore","adw_carnivore.insectivore","adw_carnivore.molluscivore","adw_carnivore.eats_other_marine_invertebrates","adw_herbivore","adw_herbivore.frugivore","adw_herbivore.lignivore","adw_herbivore.algivore","adw_omnivore","adw_planktivore","adw_mycophage","adw_detritivore","adw_coprophage","adw_animal_foods","adw_birds","adw_mammals","adw_amphibians","adw_reptiles","adw_fish","adw_eggs","adw_blood","adw_body_fluids","adw_carrion","adw_insects","adw_terrestrial_non_insect_arthropods","adw_mollusks","adw_terrestrial_worms","adw_aquatic_or_marine_worms","adw_aquatic_crustaceans","adw_echinoderms","adw_cnidarians","adw_other_marine_invertebrates","adw_zooplankton","adw_plant_foods","adw_leaves","adw_roots_and_tubers","adw_wood_bark_or_stems","adw_seeds_grains_and_nuts","adw_fruit","adw_nectar","adw_pollen","adw_flowers","adw_sap_or_other_plant_fluids","adw_bryophytes","adw_lichens","adw_algae","adw_macroalgae","adw_phytoplankton","adw_other_foods","adw_fungus","adw_detritus","adw_dung","adw_microbes","adw_endothermic","adw_ectothermic","adw_heterothermic","adw_homoiothermic","species","bodymass_kg"
"Abrocoma boliviensis","2439414","2439414","Rodentia","Abrocomidae","Abrocoma","ACCEPTED","Abrocoma boliviensis","Herbivore, Herbivore: Folivore, Herbivore: Lignivore","","",NA,"","","","YES","","YES","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","Leaves, Wood, bark, or stems","YES","","YES","","","","","","",NA,"","",NA,"","","","","","","YES","","","YES","abrocoma_boliviensis",NA
"Abrocoma cinerea","2439415","2439415","Rodentia","Abrocomidae","Abrocoma","ACCEPTED","Abrocoma cinerea","Herbivore, Herbivore: Granivore","","",NA,"","","","YES","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","YES","","","","abrocoma_cinerea",0.25
"Acanthaster planci","2271208","2271208","Valvatida","Acanthasteridae","Acanthaster","ACCEPTED","Acanthaster planci","Carnivore, Carnivore: Eats other marine invertebrates, Carnivore: Scavenger, Herbivore, Herbivore: Algivore, Detritivore","YES","",NA,"","","YES","YES","","","YES","","","","YES",NA,"Cnidarians, Other Marine Invertebrates","","","","","","","","","","","","","","","","","YES","YES","","Algae","","","","","","","","","",NA,"","YES",NA,"","","","","","","","YES","YES","","acanthaster_planci",NA
"Acanthorhynchus tenuirostris","5230466","5230466","Passeriformes","Meliphagidae","Acanthorhynchus","ACCEPTED","Acanthorhynchus tenuirostris","Herbivore, Herbivore: Nectarivore","","",NA,"","","","YES","","","","","","","",NA,"Insects","","","","","","","","","","YES","","","","","","","","","","Nectar","","","","","","YES","","","",NA,"","",NA,"","","","","","","YES","","","YES","acanthorhynchus_tenuirostris",0.011
"Acanthurus coeruleus","5209188","5209188","Perciformes","Acanthuridae","Acanthurus","ACCEPTED","Acanthurus coeruleus","Herbivore, Herbivore: Algivore","","",NA,"","","","YES","","","YES","","","","",NA,"Zooplankton","","","","","","","","","","","","","","","","","","","YES","Algae, Phytoplankton","","","","","","","","","",NA,"","YES",NA,"YES","","","","","","","YES","YES","","acanthurus_coeruleus",NA
"Acanthurus triostegus","5209217","5209217","Perciformes","Acanthuridae","Acanthurus","ACCEPTED","Acanthurus triostegus","Herbivore, Herbivore: Algivore","","",NA,"","","","YES","","","YES","","","","",NA,"","","","","","","","","","","","","","","","","","","","","Algae","","","","","","","","","",NA,"","YES",NA,"","","","","","","","YES","","","acanthurus_triostegus",NA
"Acartia tonsa","2114446","2114446","Calanoida","Acartiidae","Acartia","ACCEPTED","Acartia tonsa","Carnivore, Carnivore: Eats non-insect arthropods, Herbivore, Herbivore: Algivore, Omnivore, Planktivore","YES","",NA,"","","","YES","","","YES","YES","YES","","",NA,"Other Marine Invertebrates, Zooplankton","","","","","","","","","","","","","","","","","","YES","YES","Algae, Phytoplankton","","","","","","","","","",NA,"","YES",NA,"YES","Microbes","","","","YES","","YES","YES","","acartia_tonsa",NA
"Accipiter cooperii","2480621","2480621","Accipitriformes","Accipitridae","Accipiter","ACCEPTED","Accipiter cooperii","Carnivore, Carnivore: Eats terrestrial vertebrates","YES","",NA,"","","","","","","","","","","",NA,"Birds, Mammals, Amphibians, Reptiles","YES","YES","YES","YES","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","YES","","","YES","accipiter_cooperii",0.423
"Accipiter gentilis","2480589","2480589","Accipitriformes","Accipitridae","Accipiter","ACCEPTED","Accipiter gentilis","Carnivore, Carnivore: Eats terrestrial vertebrates","YES","",NA,"","","","","","","","","","","",NA,"Birds, Mammals, Reptiles, Insects","YES","YES","","YES","","","","","","YES","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","YES","","","YES","accipiter_gentilis",0.9975
"Accipiter nisus","2480637","2480637","Accipitriformes","Accipitridae","Accipiter","ACCEPTED","Accipiter nisus","Carnivore, Carnivore: Eats terrestrial vertebrates","YES","",NA,"","","","","","","","","","","",NA,"Birds, Mammals, Amphibians, Reptiles, Carrion, Insects","YES","YES","YES","YES","","","","","YES","YES","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","YES","","","YES","accipiter_nisus",0.226
