"species_raw","primary_diet","carnivore","carnivore:piscivore","carnivore:sanguivore","carnivore:insectivore","carnivore:molluscivore","carnivore:eats_other_marine_invertebrates","herbivore","herbivore:frugivore","herbivore:lignivore","herbivore:algivore","omnivore","planktivore","mycophage","detritivore","coprophage","animal_foods","birds","mammals","amphibians","reptiles","fish","eggs","blood","body_fluids","carrion","insects","terrestrial_non_insect_arthropods","mollusks","terrestrial_worms","aquatic_or_marine_worms","aquatic_crustaceans","echinoderms","cnidarians","other_marine_invertebrates","zooplankton","plant_foods","leaves","roots_and_tubers","wood_bark_or_stems","seeds_grains_and_nuts","fruit","nectar","pollen","flowers","sap_or_other_plant_fluids","bryophytes","lichens","algae","macroalgae","phytoplankton","other_foods","fungus","detritus","dung","microbes","endothermic","ectothermic","heterothermic","homoiothermic","mass_average_g","mass_adult_average_g","mass_adult_female_average_g","mass_adult_male_average_g","mass_embryo_average_g","mass_weanling_average_g","mass_female_average_g","mass_male_average_g","species"
"Abditomys latidens","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"abditomys_latidens"
"Abeomelomys sevia","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"abeomelomys_sevia"
"Abrawayaomys ruschii","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"abrawayaomys_ruschii"
"Abrocoma bennettii","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"abrocoma_bennettii"
"Abrocoma boliviensis","Herbivore, Herbivore: Folivore, Herbivore: Lignivore","","",NA,"","","","YES","","YES","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","Leaves, Wood, bark, or stems","YES","","YES","","","","","","",NA,"","",NA,"","","","","","","YES","","","YES",NA,NA,NA,NA,NA,NA,NA,NA,"abrocoma_boliviensis"
"Abrocoma cinerea","Herbivore, Herbivore: Granivore","","",NA,"","","","YES","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","YES","","","",250,NA,NA,NA,NA,NA,NA,NA,"abrocoma_cinerea"
"Abrothrix andinus","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"abrothrix_andinus"
"Abrothrix illuteus","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"abrothrix_illuteus"
"Abrothrix jelskii","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"abrothrix_jelskii"
"Abrothrix lanosus","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"abrothrix_lanosus"
