"species","carnivore","carnivore_::_piscivore","carnivore_::_sanguivore","carnivore_::_insectivore","carnivore_::_molluscivore","carnivore_::_eats_other_marine_invertebrates","herbivore","herbivore_::_frugivore","herbivore_::_lignivore","herbivore_::_algivore","omnivore","planktivore","mycophage","detritivore","coprophage","birds","mammals","amphibians","reptiles","fish","eggs","blood","body_fluids","carrion","insects","terrestrial_non-insect_arthropods","mollusks","terrestrial_worms","aquatic_or_marine_worms","aquatic_crustaceans","echinoderms","cnidarians","other_marine_invertebrates","zooplankton","leaves","roots_and_tubers","wood,_bark,_or_stems","seeds,_grains,_and_nuts","fruit","nectar","pollen","flowers","sap_or_other_plant_fluids","bryophytes","lichens","algae","macroalgae","phytoplankton","fungus","detritus","dung","microbes","iucn_red_list","endothermic","ectothermic","heterothermic","homoiothermic","mass_-_average_-_kg","mass_-_adult_-_average_-_kg","mass_-_adult_-_female_-_average_-_kg","mass_-_adult_-_male_-_average_-_kg","mass_-_embryo_-_average_-_kg","mass_-_weanling_-_average_-_kg","mass_-_female_-_average_-_kg","mass_-_male_-_average_-_kg"
"Abditomys latidens","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Abeomelomys sevia","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Abrawayaomys ruschii","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Abrocoma bennettii","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Abrocoma boliviensis","","",NA,"","","","YES","","YES","","","","","",NA,"","","","","","","","","","","","","","","","","","","","YES","","YES","","","","","","",NA,"","",NA,"","","","","","Critically Endangered","YES","","","YES",NA,NA,NA,NA,NA,NA,NA,NA
"Abrocoma cinerea","","",NA,"","","","YES","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","Least Concern","YES","","","",0.25,NA,NA,NA,NA,NA,NA,NA
"Abrothrix andinus","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Abrothrix illuteus","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Abrothrix jelskii","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Abrothrix lanosus","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Abrothrix longipilis","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Abrothrix olivaceus","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Abrothrix sanborni","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Acanthaster planci","YES","",NA,"","","YES","YES","","","YES","","","","YES",NA,"","","","","","","","","","","","","","","","","YES","YES","","","","","","","","","","",NA,"","YES",NA,"","","","","","Not Evaluated","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA
"Acanthorhynchus tenuirostris","","",NA,"","","","YES","","","","","","","",NA,"","","","","","","","","","YES","","","","","","","","","","","","","","","YES","","","",NA,"","",NA,"","","","","","Least Concern","YES","","","YES",0.011,NA,NA,NA,NA,NA,NA,NA
"Acanthurus coeruleus","","",NA,"","","","YES","","","YES","","","","",NA,"","","","","","","","","","","","","","","","","","","YES","","","","","","","","","",NA,"","YES",NA,"YES","","","","","Not Evaluated","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA
"Acanthurus triostegus","","",NA,"","","","YES","","","YES","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","YES",NA,"","","","","","No special status","","YES","","",NA,NA,NA,NA,NA,NA,NA,NA
"Acartia tonsa","YES","",NA,"","","","YES","","","YES","YES","YES","","",NA,"","","","","","","","","","","","","","","","","","YES","YES","","","","","","","","","",NA,"","YES",NA,"YES","","","","YES","Not Evaluated","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA
"Accipiter cooperii","YES","",NA,"","","","","","","","","","","",NA,"YES","YES","YES","YES","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","Least Concern","YES","","","YES",0.423,NA,NA,NA,NA,NA,NA,NA
"Accipiter gentilis","YES","",NA,"","","","","","","","","","","",NA,"YES","YES","","YES","","","","","","YES","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","Least Concern","YES","","","YES",0.9975,NA,NA,NA,NA,NA,NA,NA
"Accipiter nisus","YES","",NA,"","","","","","","","","","","",NA,"YES","YES","YES","YES","","","","","YES","YES","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","Least Concern","YES","","","YES",0.226,NA,NA,NA,NA,NA,NA,NA
"Accipiter striatus","YES","",NA,"","","","","","","","","","","",NA,"YES","YES","","","","","","","","YES","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","Least Concern","YES","","","",0.1525,NA,NA,NA,NA,NA,NA,NA
