"accepted_gbif_id","species","status","order","family","class","carnivore_vertebrate","carnivore_invertebrate","herbivore_plantseed","herbivore_fruitnect","diet_invertebrate","diet_vertebrate_endo","diet_vertebrate_ecto","diet_vertebrate_fish","diet_vertebrate_unk","diet_eggs","diet_scav","diet_plant","diet_seed","diet_fruit","diet_nect","diet_detritus","diet_dung","diet_microbes","omnivore","mycophage","detritivore","coprophage","stores_or_caches_food","filter_feeding","endothermic","ectothermic","heterothermic","homoiothermic","bilateral_symmetry","radial_symmetry","polymorphic","poisonous","venomous","bodymass_kg","mass_extreme_low_kg","mass_extreme_high_kg","mass_adult_average_kg","mass_adult_female_average_kg","mass_adult_male_average_kg","mass_embryo_average_kg","mass_weanling_average_kg","mass_female_average_kg","mass_male_average_kg","bodylength_m","length_extreme_low_m","length_extreme_high_m","length_adult_female_average_m","length_embryo_average_m","length_neonate_average_m","length_adult_average_m","length_adult_male_average_m","length_female_average_m","length_male_average_m","wingspan_average_m","wingspan_extreme_low_m","wingspan_extreme_high_m","basal_metabolic_rate"
2438327,"abditomys_latidens","ACCEPTED","Rodentia","Muridae","mammalia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4264979,"abeomelomys_sevia","ACCEPTED","Rodentia","Muridae","mammalia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2438820,"abrawayaomys_ruschii","ACCEPTED","Rodentia","Cricetidae","mammalia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2439416,"abrocoma_bennettii","ACCEPTED","Rodentia","Abrocomidae","mammalia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2439414,"abrocoma_boliviensis","ACCEPTED","Rodentia","Abrocomidae","mammalia",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2439415,"abrocoma_cinerea","ACCEPTED","Rodentia","Abrocomidae","mammalia",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.25,0.2,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4265099,"abrothrix_andinus","ACCEPTED","Rodentia","Cricetidae","mammalia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4265093,"abrothrix_illuteus","ACCEPTED","Rodentia","Cricetidae","mammalia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4265098,"abrothrix_jelskii","ACCEPTED","Rodentia","Cricetidae","mammalia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4265095,"abrothrix_lanosus","ACCEPTED","Rodentia","Cricetidae","mammalia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4265092,"abrothrix_longipilis","ACCEPTED","Rodentia","Cricetidae","mammalia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4265094,"abrothrix_olivaceus","ACCEPTED","Rodentia","Cricetidae","mammalia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4265091,"abrothrix_sanborni","ACCEPTED","Rodentia","Cricetidae","mammalia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5230466,"acanthorhynchus_tenuirostris","ACCEPTED","Passeriformes","Meliphagidae","aves",0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0.011,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.145,0.13,0.16,NA,NA,NA,NA,NA,NA,NA,0.205,0.18,0.23,NA
2114446,"acartia_tonsa","ACCEPTED","Calanoida","Acartiidae","maxillopoda",1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001,5e-04,0.0015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2480621,"accipiter_cooperii","ACCEPTED","Accipitriformes","Accipitridae","aves",1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0.423,0.28,0.566,NA,NA,NA,NA,NA,NA,NA,0.425,0.35,0.5,NA,NA,NA,NA,NA,NA,NA,0.845,0.75,0.94,NA
2480589,"accipiter_gentilis","ACCEPTED","Accipitriformes","Accipitridae","aves",1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0.9975,0.631,1.364,NA,NA,NA,NA,NA,NA,NA,0.58,0.55,0.61,NA,NA,NA,NA,NA,NA,NA,1.065,0.98,1.15,NA
2480637,"accipiter_nisus","ACCEPTED","Accipitriformes","Accipitridae","aves",1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0.226,0.11,0.342,NA,NA,NA,NA,NA,NA,NA,0.35,0.29,0.41,NA,NA,NA,NA,NA,NA,NA,0.695,0.59,0.8,NA
9740253,"accipiter_striatus","ACCEPTED","Accipitriformes","Accipitridae","aves",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.1525,0.087,0.218,NA,NA,NA,NA,NA,NA,NA,0.29,0.24,0.34,NA,NA,NA,NA,NA,NA,NA,0.59,0.53,0.65,NA
5218704,"acerodon_celebensis","ACCEPTED","Chiroptera","Pteropodidae","mammalia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5218706,"acerodon_humilis","ACCEPTED","Chiroptera","Pteropodidae","mammalia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5218703,"acerodon_jubatus","ACCEPTED","Chiroptera","Pteropodidae","mammalia",0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1.125,1.05,1.2,NA,NA,NA,NA,NA,NA,NA,0.234,0.178,0.29,NA,NA,NA,NA,NA,NA,NA,1.6,1.51,1.7,NA
5218707,"acerodon_leucotis","ACCEPTED","Chiroptera","Pteropodidae","mammalia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5218703,"acerodon_lucifer","SYNONYM","Chiroptera","Pteropodidae","mammalia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5218702,"acerodon_mackloti","ACCEPTED","Chiroptera","Pteropodidae","mammalia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2435270,"acinonyx_jubatus","ACCEPTED","Carnivora","Felidae","mammalia",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,46.5,21,72,NA,NA,NA,NA,NA,NA,NA,1.31,1.12,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9800308,"acomys_cahirinus","ACCEPTED","Rodentia","Muridae","mammalia",0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0.05,0.03,0.07,NA,NA,NA,NA,NA,NA,NA,0.12,0.07,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4264827,"acomys_cineraceus","ACCEPTED","Rodentia","Muridae","mammalia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2438255,"acomys_kempi","ACCEPTED","Rodentia","Muridae","mammalia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2438260,"acomys_louisae","ACCEPTED","Rodentia","Muridae","mammalia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2438264,"acomys_minous","ACCEPTED","Rodentia","Muridae","mammalia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2438265,"acomys_percivali","ACCEPTED","Rodentia","Muridae","mammalia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2438257,"acomys_russatus","ACCEPTED","Rodentia","Muridae","mammalia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.045,0.015,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2438266,"acomys_spinosissimus","ACCEPTED","Rodentia","Muridae","mammalia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2438258,"acomys_subspinosus","ACCEPTED","Rodentia","Muridae","mammalia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2438262,"acomys_wilsoni","ACCEPTED","Rodentia","Muridae","mammalia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2439653,"aconaemys_fuscus","ACCEPTED","Rodentia","Octodontidae","mammalia",0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0.05,0.03,0.067,NA,NA,NA,NA,NA,NA,NA,0.12,0.1,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2439654,"aconaemys_sagei","ACCEPTED","Rodentia","Octodontidae","mammalia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2489005,"acridotheres_tristis","ACCEPTED","Passeriformes","Sturnidae","aves",0,0,0,0,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0.1125,0.082,0.143,NA,NA,NA,NA,NA,NA,NA,0.245,0.23,0.26,NA,NA,NA,NA,NA,NA,NA,0.131,0.12,0.142,NA
2427616,"acris_crepitans","ACCEPTED","Anura","Hylidae","amphibia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2427618,"acris_gryllus","ACCEPTED","Anura","Hylidae","amphibia",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.024,0.015,0.033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
