"species","omnivore","mycophage","detritivore","coprophage","iucn_red_list","endothermic","ectothermic","heterothermic","homoiothermic","bodymass_kg","carnivore_vertebrate","carnivore_invertebrate","herbivore_plantseed","herbivore_fruitnect","diet_invertebrate","diet_vertebrate_endo","diet_vertebrate_ecto","diet_vertebrate_fish","diet_vertebrate_unk","diet_eggs","diet_scav","diet_plant","diet_seed","diet_fruit","diet_nect","diet_detritus","diet_dung","diet_microbes"
"abrocoma_boliviensis",NA,NA,NA,NA,"Critically Endangered",1,NA,NA,1,NA,0,0,1,NA,0,0,0,NA,0,NA,0,1,NA,NA,0,NA,NA,NA
"abrocoma_cinerea",NA,NA,NA,NA,"Least Concern",1,NA,NA,NA,0.25,0,0,1,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"acanthaster_planci",NA,NA,1,NA,"Not Evaluated",NA,1,1,NA,NA,1,1,1,NA,1,0,0,NA,0,NA,0,1,NA,NA,0,NA,NA,NA
"acanthorhynchus_tenuirostris",NA,NA,NA,NA,"Least Concern",1,NA,NA,1,0.011,0,0,1,NA,1,0,0,NA,0,NA,0,0,NA,NA,1,NA,NA,NA
"acanthurus_coeruleus",NA,NA,NA,NA,"Not Evaluated",NA,1,1,NA,NA,0,0,1,NA,1,0,0,NA,0,NA,0,1,NA,NA,0,NA,NA,NA
"acanthurus_triostegus",NA,NA,NA,NA,"No special status",NA,1,NA,NA,NA,0,0,1,NA,0,0,0,NA,0,NA,0,1,NA,NA,0,NA,NA,NA
"acartia_tonsa",1,NA,NA,NA,"Not Evaluated",NA,1,1,NA,NA,1,1,1,NA,1,0,0,NA,0,NA,0,1,NA,NA,0,NA,NA,1
"accipiter_cooperii",NA,NA,NA,NA,"Least Concern",1,NA,NA,1,0.423,1,0,0,NA,0,1,1,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"accipiter_gentilis",NA,NA,NA,NA,"Least Concern",1,NA,NA,1,0.9975,1,0,0,NA,1,1,1,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"accipiter_nisus",NA,NA,NA,NA,"Least Concern",1,NA,NA,1,0.226,1,0,0,NA,1,1,1,NA,0,NA,1,0,NA,NA,0,NA,NA,NA
"accipiter_striatus",NA,NA,NA,NA,"Least Concern",1,NA,NA,NA,0.1525,1,0,0,NA,1,1,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"acerodon_jubatus",NA,NA,NA,NA,"Endangered",1,NA,NA,1,1.125,0,0,1,1,0,0,0,NA,0,NA,0,1,NA,1,0,NA,NA,NA
"achatina_fulica",NA,NA,NA,NA,"Not Evaluated",NA,1,1,NA,0.032,0,0,1,1,1,0,0,NA,0,NA,0,1,1,1,1,1,NA,NA
"achatinella_mustelina",NA,1,NA,NA,"Critically Endangered",NA,1,1,NA,NA,0,0,0,NA,0,0,0,NA,0,NA,0,1,NA,NA,0,NA,NA,NA
"acinonyx_jubatus",NA,NA,NA,NA,"Vulnerable",1,NA,NA,NA,46.5,1,0,0,NA,0,1,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"acipenser_fulvescens",NA,NA,NA,NA,"Least Concern",NA,1,1,NA,90,0,0,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"acipenser_transmontanus",NA,NA,NA,NA,"Critically Endangered",NA,1,1,NA,630,0,0,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"acomys_cahirinus",1,NA,NA,NA,"Least Concern",1,NA,NA,1,0.05,0,0,0,NA,1,0,0,NA,0,NA,1,1,1,1,0,NA,NA,NA
"acomys_russatus",NA,NA,NA,NA,"Least Concern",1,NA,NA,NA,0.045,0,0,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"aconaemys_fuscus",NA,NA,NA,NA,"Least Concern",1,NA,NA,1,0.05,0,0,1,NA,0,0,0,NA,0,NA,0,1,1,NA,0,NA,1,NA
"acridotheres_tristis",1,NA,NA,NA,"Least Concern",1,NA,NA,1,0.1125,0,0,0,NA,1,1,1,1,0,1,1,0,1,1,1,NA,NA,NA
"acris_crepitans",NA,NA,NA,NA,"Least Concern",NA,1,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"acris_gryllus",NA,NA,NA,NA,"Least Concern",NA,1,1,NA,NA,1,1,0,NA,1,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"acrobates_pygmaeus",NA,NA,NA,NA,"Least Concern",1,NA,NA,NA,0.013,0,0,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"acrocephalus_arundinaceus",NA,NA,NA,NA,"Least Concern",1,NA,NA,1,0.036,1,1,0,NA,1,0,1,1,0,NA,0,0,NA,1,0,NA,NA,NA
"acrochordus_arafurae",NA,NA,NA,NA,"Least Concern",NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"acrochordus_granulatus",NA,NA,NA,NA,"Least Concern",NA,NA,1,NA,0.13,1,0,0,NA,1,0,0,1,0,NA,0,0,NA,NA,0,NA,NA,NA
"acrochordus_javanicus",NA,NA,NA,NA,"Least Concern",NA,NA,NA,NA,6.5,0,0,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"acropora_cervicornis",NA,NA,NA,NA,"Critically Endangered",NA,1,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"acropora_millepora",NA,NA,NA,NA,"Near Threatened",NA,1,1,NA,NA,0,1,1,NA,1,0,0,NA,0,NA,0,1,NA,NA,0,1,NA,1
"acropora_palmata",NA,NA,NA,NA,"Critically Endangered",NA,1,NA,NA,NA,0,1,1,NA,1,0,0,NA,0,NA,0,1,NA,NA,0,1,NA,1
"actias_luna",NA,NA,NA,NA,"Not Evaluated",NA,1,1,NA,NA,0,0,1,NA,0,0,0,NA,0,NA,0,1,NA,NA,0,NA,NA,NA
"actinia_equina",NA,NA,NA,NA,"No special status",NA,1,1,NA,0.0004,1,1,0,NA,1,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"actinonaias_ligamentina",NA,NA,1,NA,"No special status",NA,1,1,NA,NA,0,1,0,NA,1,0,0,NA,0,NA,0,1,NA,NA,0,1,NA,1
"actitis_hypoleucos",NA,NA,NA,NA,"Least Concern",1,NA,NA,1,0.04,1,0,0,NA,1,0,1,1,0,NA,0,0,1,NA,0,NA,NA,NA
"actitis_macularius",NA,NA,NA,NA,"No special status",1,NA,NA,NA,0.042,1,1,0,NA,1,0,1,1,0,NA,1,0,NA,NA,0,NA,NA,NA
"adalia_bipunctata",NA,NA,NA,NA,"No special status",NA,1,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"addax_nasomaculatus",NA,NA,NA,NA,"Critically Endangered",1,NA,NA,1,92.5,0,0,1,NA,0,0,0,NA,0,NA,0,1,NA,NA,1,NA,NA,NA
"aechmophorus_occidentalis",NA,NA,NA,NA,"Least Concern",1,NA,NA,NA,1.4,0,0,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"aedes_albopictus",NA,NA,NA,NA,"Not Evaluated",NA,1,NA,NA,NA,0,0,1,NA,0,0,0,NA,0,NA,1,0,NA,NA,1,NA,NA,NA
