"mentionned_species","canonical_name","gbif_id","status","match_type","accepted_species","accepted_gbif_id","order","family"
"abditomys_latidens","Abditomys latidens",2438327,"ACCEPTED","EXACT","Abditomys latidens",2438327,"Rodentia","Muridae"
"abeomelomys_sevia","Abeomelomys sevia",4264979,"ACCEPTED","EXACT","Abeomelomys sevia",4264979,"Rodentia","Muridae"
"abrawayaomys_ruschii","Abrawayaomys ruschii",2438820,"ACCEPTED","EXACT","Abrawayaomys ruschii",2438820,"Rodentia","Cricetidae"
"abrocoma_bennettii","Abrocoma bennettii",2439416,"ACCEPTED","EXACT","Abrocoma bennettii",2439416,"Rodentia","Abrocomidae"
"abrocoma_boliviensis","Abrocoma boliviensis",2439414,"ACCEPTED","EXACT","Abrocoma boliviensis",2439414,"Rodentia","Abrocomidae"
"abrocoma_cinerea","Abrocoma cinerea",2439415,"ACCEPTED","EXACT","Abrocoma cinerea",2439415,"Rodentia","Abrocomidae"
"abrothrix_andinus","Abrothrix andinus",4265099,"ACCEPTED","EXACT","Abrothrix andinus",4265099,"Rodentia","Cricetidae"
"abrothrix_illuteus","Abrothrix illuteus",4265093,"ACCEPTED","EXACT","Abrothrix illuteus",4265093,"Rodentia","Cricetidae"
"abrothrix_jelskii","Abrothrix jelskii",4265098,"ACCEPTED","EXACT","Abrothrix jelskii",4265098,"Rodentia","Cricetidae"
"abrothrix_lanosus","Abrothrix lanosus",4265095,"ACCEPTED","EXACT","Abrothrix lanosus",4265095,"Rodentia","Cricetidae"
"abrothrix_longipilis","Abrothrix longipilis",4265092,"ACCEPTED","EXACT","Abrothrix longipilis",4265092,"Rodentia","Cricetidae"
"abrothrix_olivaceus","Abrothrix olivaceus",4265094,"ACCEPTED","EXACT","Abrothrix olivaceus",4265094,"Rodentia","Cricetidae"
"abrothrix_sanborni","Abrothrix sanborni",4265091,"ACCEPTED","EXACT","Abrothrix sanborni",4265091,"Rodentia","Cricetidae"
"acanthorhynchus_tenuirostris","Acanthorhynchus tenuirostris",5230466,"ACCEPTED","EXACT","Acanthorhynchus tenuirostris",5230466,"Passeriformes","Meliphagidae"
"acartia_tonsa","Acartia tonsa",2114446,"ACCEPTED","EXACT","Acartia tonsa",2114446,"Calanoida","Acartiidae"
"accipiter_cooperii","Accipiter cooperii",2480621,"ACCEPTED","EXACT","Accipiter cooperii",2480621,"Accipitriformes","Accipitridae"
"accipiter_gentilis","Accipiter gentilis",2480589,"ACCEPTED","EXACT","Accipiter gentilis",2480589,"Accipitriformes","Accipitridae"
"accipiter_nisus","Accipiter nisus",2480637,"ACCEPTED","EXACT","Accipiter nisus",2480637,"Accipitriformes","Accipitridae"
"accipiter_striatus","Accipiter striatus",9740253,"ACCEPTED","EXACT","Accipiter striatus",9740253,"Accipitriformes","Accipitridae"
"acerodon_celebensis","Acerodon celebensis",5218704,"ACCEPTED","EXACT","Acerodon celebensis",5218704,"Chiroptera","Pteropodidae"
"acerodon_humilis","Acerodon humilis",5218706,"ACCEPTED","EXACT","Acerodon humilis",5218706,"Chiroptera","Pteropodidae"
"acerodon_jubatus","Acerodon jubatus",5218703,"ACCEPTED","EXACT","Acerodon jubatus",5218703,"Chiroptera","Pteropodidae"
"acerodon_leucotis","Acerodon leucotis",5218707,"ACCEPTED","EXACT","Acerodon leucotis",5218707,"Chiroptera","Pteropodidae"
