"user_supplied_name","submitted_name","data_source_title","score","matched_name2"
"abrocoma_boliviensis","Abrocoma_boliviensis","Catalogue of Life",0.988,"Abrocoma boliviensis"
"abrocoma_cinerea","Abrocoma_cinerea","Catalogue of Life",0.988,"Abrocoma cinerea"
"acanthaster_planci","Acanthaster_planci","Catalogue of Life",0.988,"Acanthaster planci"
"acanthorhynchus_tenuirostris","Acanthorhynchus_tenuirostris","Catalogue of Life",0.988,"Acanthorhynchus tenuirostris"
"acanthurus_coeruleus","Acanthurus_coeruleus","Catalogue of Life",0.988,"Acanthurus coeruleus"
"acanthurus_triostegus","Acanthurus_triostegus","Catalogue of Life",0.988,"Acanthurus triostegus"
"acartia_tonsa","Acartia_tonsa","Catalogue of Life",0.988,"Acartia tonsa"
"accipiter_cooperii","Accipiter_cooperii","Catalogue of Life",0.988,"Accipiter cooperii"
"accipiter_gentilis","Accipiter_gentilis","Catalogue of Life",0.988,"Accipiter gentilis"
"accipiter_nisus","Accipiter_nisus","Catalogue of Life",0.988,"Accipiter nisus"
"accipiter_striatus","Accipiter_striatus","Catalogue of Life",0.988,"Accipiter striatus"
"acerodon_jubatus","Acerodon_jubatus","Catalogue of Life",0.988,"Acerodon jubatus"
"achatina_fulica","Achatina_fulica","Catalogue of Life",0.988,"Achatina fulica"
"achatinella_mustelina","Achatinella_mustelina","NCBI",0.988,"Achatinella mustelina"
"acinonyx_jubatus","Acinonyx_jubatus","Catalogue of Life",0.988,"Acinonyx jubatus"
"acipenser_fulvescens","Acipenser_fulvescens","Catalogue of Life",0.988,"Acipenser fulvescens"
"acipenser_transmontanus","Acipenser_transmontanus","Catalogue of Life",0.988,"Acipenser transmontanus"
"acomys_cahirinus","Acomys_cahirinus","Catalogue of Life",0.988,"Acomys cahirinus"
"acomys_russatus","Acomys_russatus","Catalogue of Life",0.988,"Acomys russatus"
"aconaemys_fuscus","Aconaemys_fuscus","Catalogue of Life",0.988,"Aconaemys fuscus"
"acridotheres_tristis","Acridotheres_tristis","Catalogue of Life",0.988,"Acridotheres tristis"
"acris_crepitans","Acris_crepitans","Catalogue of Life",0.988,"Acris crepitans"
"acris_gryllus","Acris_gryllus","Catalogue of Life",0.988,"Acris gryllus"
"acrobates_pygmaeus","Acrobates_pygmaeus","Catalogue of Life",0.988,"Acrobates pygmaeus"
"acrocephalus_arundinaceus","Acrocephalus_arundinaceus","Catalogue of Life",0.988,"Acrocephalus arundinaceus"
"acrochordus_arafurae","Acrochordus_arafurae","Catalogue of Life",0.988,"Acrochordus arafurae"
"acrochordus_granulatus","Acrochordus_granulatus","Catalogue of Life",0.988,"Acrochordus granulatus"
"acrochordus_javanicus","Acrochordus_javanicus","Catalogue of Life",0.988,"Acrochordus javanicus"
"acropora_cervicornis","Acropora_cervicornis","Catalogue of Life",0.988,"Acropora cervicornis"
"acropora_millepora","Acropora_millepora","Catalogue of Life",0.988,"Acropora millepora"
"acropora_palmata","Acropora_palmata","Catalogue of Life",0.988,"Acropora palmata"
"actias_luna","Actias_luna","Catalogue of Life",0.988,"Actias luna"
"actinia_equina","Actinia_equina","Catalogue of Life",0.988,"Actinia equina"
"actinonaias_ligamentina","Actinonaias_ligamentina","Catalogue of Life",0.988,"Actinonaias ligamentina"
"actitis_hypoleucos","Actitis_hypoleucos","Catalogue of Life",0.988,"Actitis hypoleucos"
"actitis_macularius","Actitis_macularius","Catalogue of Life",0.988,"Actitis macularius"
"adalia_bipunctata","Adalia_bipunctata","ITIS",0.988,"Adalia bipunctata"
"addax_nasomaculatus","Addax_nasomaculatus","Catalogue of Life",0.988,"Addax nasomaculatus"
"aechmophorus_occidentalis","Aechmophorus_occidentalis","Catalogue of Life",0.988,"Aechmophorus occidentalis"
"aedes_albopictus","Aedes_albopictus","Catalogue of Life",0.988,"Aedes albopictus"
"aedes_triseriatus","Aedes_triseriatus","Catalogue of Life",0.988,"Aedes triseriatus"
"aegithalos_caudatus","Aegithalos_caudatus","Catalogue of Life",0.988,"Aegithalos caudatus"
"aegolius_acadicus","Aegolius_acadicus","Catalogue of Life",0.988,"Aegolius acadicus"
"aegolius_funereus","Aegolius_funereus","Catalogue of Life",0.988,"Aegolius funereus"
"aegypius_monachus","Aegypius_monachus","Catalogue of Life",0.988,"Aegypius monachus"
"aepyceros_melampus","Aepyceros_melampus","Catalogue of Life",0.988,"Aepyceros melampus"
"aepyprymnus_rufescens","Aepyprymnus_rufescens","Catalogue of Life",0.988,"Aepyprymnus rufescens"
"aeropedellus_clavatus","Aeropedellus_clavatus","Catalogue of Life",0.988,"Aeropedellus clavatus"
"aeshna_canadensis","Aeshna_canadensis","Catalogue of Life",0.988,"Aeshna canadensis"
"aeshna_umbrosa","Aeshna_umbrosa","Catalogue of Life",0.988,"Aeshna umbrosa"
"aethia_cristatella","Aethia_cristatella","Catalogue of Life",0.988,"Aethia cristatella"
"aethia_pusilla","Aethia_pusilla","Catalogue of Life",0.988,"Aethia pusilla"
"aetobatus_narinari","Aetobatus_narinari","Catalogue of Life",0.988,"Aetobatus narinari"
"agalychnis_callidryas","Agalychnis_callidryas","Catalogue of Life",0.988,"Agalychnis callidryas"
"agama_agama","Agama_agama","Catalogue of Life",0.988,"Agama agama"
"agamia_agami","Agamia_agami","Catalogue of Life",0.988,"Agamia agami"
"agapornis_fischeri","Agapornis_fischeri","Catalogue of Life",0.988,"Agapornis fischeri"
"agapornis_personatus","Agapornis_personatus","Catalogue of Life",0.988,"Agapornis personatus"
"agapornis_roseicollis","Agapornis_roseicollis","Catalogue of Life",0.988,"Agapornis roseicollis"
"agasicles_hygrophila","Agasicles_hygrophila","ITIS",0.988,"Agasicles hygrophila"
"agelaioides_badius","Agelaioides_badius","Catalogue of Life",0.988,"Agelaioides badius"
"agelaius_phoeniceus","Agelaius_phoeniceus","Catalogue of Life",0.988,"Agelaius phoeniceus"
"agelaius_tricolor","Agelaius_tricolor","Catalogue of Life",0.988,"Agelaius tricolor"
