"usagekey","scientificname","rank","status","matchtype","canonicalname","confidence","kingdom","phylum","order","family","genus","species","kingdomkey","phylumkey","classkey","orderkey","familykey","genuskey","specieskey","synonym","class","acceptedusagekey","note"
2439414,"Abrocoma boliviensis Glanz & Anderson, 1990","species","ACCEPTED","EXACT","Abrocoma boliviensis",98,"Animalia","Chordata","Rodentia","Abrocomidae","Abrocoma","Abrocoma boliviensis",1,44,359,1459,5488,2439413,2439414,FALSE,"Mammalia",NA,NA
2439415,"Abrocoma cinerea Thomas, 1919","species","ACCEPTED","EXACT","Abrocoma cinerea",98,"Animalia","Chordata","Rodentia","Abrocomidae","Abrocoma","Abrocoma cinerea",1,44,359,1459,5488,2439413,2439415,FALSE,"Mammalia",NA,NA
2271208,"Acanthaster planci (Linnaeus, 1758)","species","ACCEPTED","EXACT","Acanthaster planci",98,"Animalia","Echinodermata","Valvatida","Acanthasteridae","Acanthaster","Acanthaster planci",1,50,214,810,9477,2271207,2271208,FALSE,"Asteroidea",NA,NA
5230466,"Acanthorhynchus tenuirostris (Latham, 1802)","species","ACCEPTED","EXACT","Acanthorhynchus tenuirostris",98,"Animalia","Chordata","Passeriformes","Meliphagidae","Acanthorhynchus","Acanthorhynchus tenuirostris",1,44,212,729,9319,2486990,5230466,FALSE,"Aves",NA,NA
5209188,"Acanthurus coeruleus Bloch & Schneider, 1801","species","ACCEPTED","EXACT","Acanthurus coeruleus",98,"Animalia","Chordata","Perciformes","Acanthuridae","Acanthurus","Acanthurus coeruleus",1,44,204,587,4233,2379647,5209188,FALSE,"Actinopterygii",NA,NA
5209217,"Acanthurus triostegus (Linnaeus, 1758)","species","ACCEPTED","EXACT","Acanthurus triostegus",98,"Animalia","Chordata","Perciformes","Acanthuridae","Acanthurus","Acanthurus triostegus",1,44,204,587,4233,2379647,5209217,FALSE,"Actinopterygii",NA,NA
2114446,"Acartia tonsa Dana, 1849","species","ACCEPTED","EXACT","Acartia tonsa",97,"Animalia","Arthropoda","Calanoida","Acartiidae","Acartia","Acartia tonsa",1,54,9421786,679,8961,2114424,2114446,FALSE,"Hexanauplia",NA,NA
2480621,"Accipiter cooperii (Bonaparte, 1828)","species","ACCEPTED","EXACT","Accipiter cooperii",98,"Animalia","Chordata","Accipitriformes","Accipitridae","Accipiter","Accipiter cooperii",1,44,212,7191147,2877,9405810,2480621,FALSE,"Aves",NA,NA
2480589,"Accipiter gentilis (Linnaeus, 1758)","species","ACCEPTED","EXACT","Accipiter gentilis",98,"Animalia","Chordata","Accipitriformes","Accipitridae","Accipiter","Accipiter gentilis",1,44,212,7191147,2877,9405810,2480589,FALSE,"Aves",NA,NA
2480637,"Accipiter nisus (Linnaeus, 1758)","species","ACCEPTED","EXACT","Accipiter nisus",98,"Animalia","Chordata","Accipitriformes","Accipitridae","Accipiter","Accipiter nisus",1,44,212,7191147,2877,9405810,2480637,FALSE,"Aves",NA,NA
