"accepted_gbif_id","order","family","status","scientific","diet_inv","diet_vend","diet_vect","diet_vfish","diet_vunk","diet_scav","diet_fruit","diet_nect","diet_seed","diet_planto","diet_source","diet_certainty","bodymass_value","bodymass_source","bodymass_speclevel","msw3_id","mswfamilylatin","forstrat_value","forstrat_certainty","forstrat_comment","activity_nocturnal","activity_crepuscular","activity_diurnal","activity_source","activity_certainty","specid","passnonpass","iocorder","blfamilylatin","blfamilyenglish","blfamsequid","taxo","english","diet_5cat","diet_enteredby","forstrat_watbelowsurf","forstrat_wataroundsurf","forstrat_ground","forstrat_understory","forstrat_midhigh","forstrat_canopy","forstrat_aerial","pelagicspecialist","forstrat_source","forstrat_speclevel","forstrat_enteredby","nocturnal","bodymass_comment","record_comment"
2438327,"Rodentia","Muridae","ACCEPTED","Abditomys latidens",0,0,0,0,0,0,0,0,0,100,"Ref_1","ABC",269,"Ref_117","1",2216,"Muridae","Ar","A",NA,1,0,0,"Ref_3","D2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4264979,"Rodentia","Muridae","ACCEPTED","Abeomelomys sevia",10,0,0,0,0,0,10,0,20,60,"Ref_3","D2",54.88,"Ref_58","1",2217,"Muridae","G","A",NA,1,0,0,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2438820,"Rodentia","Cricetidae","ACCEPTED","Abrawayaomys ruschii",20,0,0,0,0,0,10,0,40,30,"Ref_3","D2",63,"Ref_117","1",1658,"Cricetidae","G","A",NA,1,0,0,"Ref_3","D2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2439416,"Rodentia","Abrocomidae","ACCEPTED","Abrocoma bennettii",0,0,0,0,0,0,0,0,0,100,"Ref_1","ABC",250.5,"Ref_58","1",3094,"Abrocomidae","G","A",NA,1,0,0,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2439414,"Rodentia","Abrocomidae","ACCEPTED","Abrocoma boliviensis",0,0,0,0,0,0,0,0,0,100,"Ref_1","ABC",158,"Ref_117","1",3087,"Abrocomidae","G","A",NA,1,0,0,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4264779,"Rodentia","Abrocomidae","ACCEPTED","Abrocoma budini",0,0,0,0,0,0,0,0,0,100,"Ref_2","D1",214.69,"Ref_2","Ref_3",3088,"Abrocomidae","G","A",NA,1,0,0,"Ref_2","D1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2439415,"Rodentia","Abrocomidae","ACCEPTED","Abrocoma cinerea",0,0,0,0,0,0,0,0,0,100,"Ref_1","ABC",250,"Ref_117","1",3089,"Abrocomidae","G","A",NA,1,0,0,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4264782,"Rodentia","Abrocomidae","ACCEPTED","Abrocoma famatina",0,0,0,0,0,0,0,0,0,100,"Ref_2","D1",214.69,"Ref_2","Ref_3",3090,"Abrocomidae","G","A",NA,1,0,0,"Ref_2","D1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4264778,"Rodentia","Abrocomidae","ACCEPTED","Abrocoma shistacea",0,0,0,0,0,0,0,0,0,100,"Ref_2","D1",214.69,"Ref_2","Ref_3",3091,"Abrocomidae","G","A",NA,1,0,0,"Ref_2","D1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4264783,"Rodentia","Abrocomidae","ACCEPTED","Abrocoma uspallata",0,0,0,0,0,0,0,0,0,100,"Ref_2","D1",214.69,"Ref_2","Ref_3",3092,"Abrocomidae","G","A",NA,1,0,0,"Ref_2","D1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
