"accepted_species_gbif","accepted_gbif_id","gbif_id","order","family","genus","status","species_raw","elton_diet_inv","elton_diet_vend","elton_diet_vect","elton_diet_vfish","elton_diet_vunk","elton_diet_scav","elton_diet_fruit","elton_diet_nect","elton_diet_seed","elton_diet_planto","elton_forstrat_value","elton_forstrat_certainty","elton_activity_nocturnal","elton_activity_crepuscular","elton_activity_diurnal","elton_passnonpass","elton_common_name","elton_diet_5cat","elton_forstrat_watbelowsurf","elton_forstrat_wataroundsurf","elton_forstrat_ground","elton_forstrat_understory","elton_forstrat_midhigh","elton_forstrat_canopy","elton_forstrat_aerial","elton_pelagicspecialist","elton_nocturnal","bodymass_kg"
"Tachyglossus aculeatus","2433378","2433378","Monotremata","Tachyglossidae","Tachyglossus","ACCEPTED","tachyglossus_aculeatus",100,0,0,0,0,0,0,0,0,0,"G","A",1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.025
"Zaglossus attenboroughi","2433390","2433390","Monotremata","Tachyglossidae","Zaglossus","ACCEPTED","zaglossus_attenboroughi",100,0,0,0,0,0,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.53239
"Zaglossus bartoni","2433385","2433385","Monotremata","Tachyglossidae","Zaglossus","ACCEPTED","zaglossus_bartoni",100,0,0,0,0,0,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.18
"Zaglossus bruijni","2433391","2433391","Monotremata","Tachyglossidae","Zaglossus","ACCEPTED","zaglossus_bruijni",100,0,0,0,0,0,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1395
"Ornithorhynchus anatinus","2433376","2433376","Monotremata","Ornithorhynchidae","Ornithorhynchus","ACCEPTED","ornithorhynchus_anatinus",80,0,0,20,0,0,0,0,0,0,"G","A",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.48425
"Caluromys philander","2439999","2439999","Didelphimorphia","Didelphidae","Caluromys","ACCEPTED","caluromys_philander",20,0,0,0,10,0,20,0,10,40,"Ar","A",1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22925
"Caluromys derbianus","2439992","2439992","Didelphimorphia","Didelphidae","Caluromys","ACCEPTED","caluromys_derbianus",20,0,0,0,10,0,20,0,10,40,"Ar","A",1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.297
"Caluromys lanatus","2440004","2440004","Didelphimorphia","Didelphidae","Caluromys","ACCEPTED","caluromys_lanatus",20,0,0,0,10,0,20,0,10,40,"Ar","A",1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.325
"Caluromysiops irrupta","2439937","2439937","Didelphimorphia","Didelphidae","Caluromysiops","ACCEPTED","caluromysiops_irrupta",20,0,0,0,0,0,20,40,0,20,"Ar","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25
"Glironia venusta","2439986","2439986","Didelphimorphia","Didelphidae","Glironia","ACCEPTED","glironia_venusta",40,0,0,0,20,0,20,0,20,0,"Ar","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.114
"Chironectes minimus","5219955","5219955","Didelphimorphia","Didelphidae","Chironectes","ACCEPTED","chironectes_minimus",50,0,0,30,0,0,0,0,0,20,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.946
"Didelphis aurita","2439928","2439928","Didelphimorphia","Didelphidae","Didelphis","ACCEPTED","didelphis_aurita",20,0,0,0,30,30,0,0,0,20,"S","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.16399
"Didelphis imperfecta","2439929","2439929","Didelphimorphia","Didelphidae","Didelphis","ACCEPTED","didelphis_imperfecta",50,0,0,0,0,0,50,0,0,0,"S","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.26004
"Didelphis marsupialis","2439920","2439920","Didelphimorphia","Didelphidae","Didelphis","ACCEPTED","didelphis_marsupialis",20,0,0,0,30,30,0,0,0,20,"S","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.09116
"Didelphis pernigra","2439919","2439919","Didelphimorphia","Didelphidae","Didelphis","ACCEPTED","didelphis_pernigra",20,0,0,0,30,30,0,0,0,20,"S","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.26004
"Didelphis virginiana","2439923","2439923","Didelphimorphia","Didelphidae","Didelphis","ACCEPTED","didelphis_virginiana",20,0,0,0,30,30,0,0,0,20,"S","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.19548
"Didelphis albiventris","2439930","2439930","Didelphimorphia","Didelphidae","Didelphis","ACCEPTED","didelphis_albiventris",20,0,0,0,30,30,0,0,0,20,"S","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.904
"Gracilinanus formosus","2439855","2439855","Didelphimorphia","Didelphidae","Gracilinanus","ACCEPTED","gracilinanus_formosus",50,0,0,0,0,0,30,20,0,0,"S","A",1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0189
"Gracilinanus emiliae","2439851","2439851","Didelphimorphia","Didelphidae","Gracilinanus","ACCEPTED","gracilinanus_emiliae",50,0,0,0,0,0,30,20,0,0,"S","A",1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0076
"Gracilinanus microtarsus","2439856","2439856","Didelphimorphia","Didelphidae","Gracilinanus","ACCEPTED","gracilinanus_microtarsus",50,0,0,0,0,0,30,20,0,0,"S","A",1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.031
"Gracilinanus marica","2439859","2439859","Didelphimorphia","Didelphidae","Gracilinanus","ACCEPTED","gracilinanus_marica",50,0,0,0,0,0,30,20,0,0,"S","A",1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0238
"Gracilinanus dryas","2439849","2439849","Didelphimorphia","Didelphidae","Gracilinanus","ACCEPTED","gracilinanus_dryas",50,0,0,0,0,0,30,20,0,0,"S","A",1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.018
"Gracilinanus aceramarcae","2439854","2439854","Didelphimorphia","Didelphidae","Gracilinanus","ACCEPTED","gracilinanus_aceramarcae",50,0,0,0,0,0,30,20,0,0,"S","A",1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0205
"Gracilinanus agricolai","2439853","2439853","Didelphimorphia","Didelphidae","Gracilinanus","ACCEPTED","gracilinanus_agricolai",50,0,0,0,0,0,30,20,0,0,"S","A",1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0189
"Gracilinanus agilis","2439852","2439852","Didelphimorphia","Didelphidae","Gracilinanus","ACCEPTED","gracilinanus_agilis",50,0,0,0,0,0,30,20,0,0,"S","A",1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.022
"Gracilinanus ignitus","2439850","2439850","Didelphimorphia","Didelphidae","Gracilinanus","ACCEPTED","gracilinanus_ignitus",50,0,0,0,0,0,30,20,0,0,"S","A",1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0189
"Hyladelphys kalinowskii","2439984","2439984","Didelphimorphia","Didelphidae","Hyladelphys","ACCEPTED","hyladelphys_kalinowskii",60,10,0,0,0,10,20,0,0,0,"Ar","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01675
"Lestodelphys halli","2439939","2439939","Didelphimorphia","Didelphidae","Lestodelphys","ACCEPTED","lestodelphys_halli",0,100,0,0,0,0,0,0,0,0,"S","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.076
"Lutreolina crassicaudata","2439988","2439988","Didelphimorphia","Didelphidae","Lutreolina","ACCEPTED","lutreolina_crassicaudata",20,40,20,20,0,0,0,0,0,0,"S","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5373
"Marmosa murina","2439873","2439873","Didelphimorphia","Didelphidae","Marmosa","ACCEPTED","marmosa_murina",40,10,10,0,10,0,30,0,0,0,"Ar","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.026
"Marmosa xerophila","2439874","2439874","Didelphimorphia","Didelphidae","Marmosa","ACCEPTED","marmosa_xerophila",40,10,10,0,10,0,30,0,0,0,"Ar","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0462
"Marmosa tyleriana","2439861","2439861","Didelphimorphia","Didelphidae","Marmosa","ACCEPTED","marmosa_tyleriana",40,10,10,0,10,0,30,0,0,0,"Ar","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0324
"Marmosa rubra","2439875","2439875","Didelphimorphia","Didelphidae","Marmosa","ACCEPTED","marmosa_rubra",40,10,10,0,10,0,30,0,0,0,"Ar","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.063
"Marmosa quichua","2439872","2439872","Didelphimorphia","Didelphidae","Marmosa","ACCEPTED","marmosa_quichua",40,10,10,0,10,0,30,0,0,0,"Ar","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03823
"Marmosa mexicana","2439876","2439876","Didelphimorphia","Didelphidae","Marmosa","ACCEPTED","marmosa_mexicana",40,10,10,0,10,0,30,0,0,0,"Ar","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04945
"Marmosa lepida","2439871","2439871","Didelphimorphia","Didelphidae","Marmosa","ACCEPTED","marmosa_lepida",40,10,10,0,10,0,30,0,0,0,"Ar","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014
"Marmosa andersoni","2439880","2439880","Didelphimorphia","Didelphidae","Marmosa","ACCEPTED","marmosa_andersoni",40,10,10,0,10,0,30,0,0,0,"Ar","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0474
"Marmosa robinsoni","2439862","2439862","Didelphimorphia","Didelphidae","Marmosa","ACCEPTED","marmosa_robinsoni",40,10,10,0,10,0,30,0,0,0,"Ar","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05667
"Marmosops handleyi","2439956","2439956","Didelphimorphia","Didelphidae","Marmosops","ACCEPTED","marmosops_handleyi",50,0,0,0,0,0,50,0,0,0,"Ar","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0307
"Marmosops juninensis","2439954","2439954","Didelphimorphia","Didelphidae","Marmosops","ACCEPTED","marmosops_juninensis",50,0,0,0,0,0,50,0,0,0,"Ar","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03157
"Marmosops pinheiroi","2439941","2439941","Didelphimorphia","Didelphidae","Marmosops","ACCEPTED","marmosops_pinheiroi",50,0,0,0,0,0,50,0,0,0,"Ar","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03157
"Marmosops paulensis","2439948","2439948","Didelphimorphia","Didelphidae","Marmosops","ACCEPTED","marmosops_paulensis",50,0,0,0,0,0,50,0,0,0,"Ar","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03889
"Marmosops parvidens","2439947","2439947","Didelphimorphia","Didelphidae","Marmosops","ACCEPTED","marmosops_parvidens",50,0,0,0,0,0,50,0,0,0,"Ar","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.015
"Marmosops noctivagus","2439957","2439957","Didelphimorphia","Didelphidae","Marmosops","ACCEPTED","marmosops_noctivagus",50,0,0,0,0,0,50,0,0,0,"Ar","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.021
"Marmosops neblina","2439943","2439943","Didelphimorphia","Didelphidae","Marmosops","ACCEPTED","marmosops_neblina",50,0,0,0,0,0,50,0,0,0,"Ar","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03157
"Marmosops bishopi","2439942","2439942","Didelphimorphia","Didelphidae","Marmosops","ACCEPTED","marmosops_bishopi",50,0,0,0,0,0,50,0,0,0,"Ar","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0195
