"accepted_gbif_id","species","status","order","family","carnivore_vertebrate","carnivore_invertebrate","herbivore_plantseed","herbivore_fruitnect","omnivore","diet_invertebrate","diet_vertebrate_endo","diet_vertebrate_ecto","diet_vertebrate_fish","diet_vertebrate_unk","diet_scav","diet_fruit","diet_nect","diet_seed","diet_plant","diet_source","diet_certainty","bodymass_kg","bodymass_source","bodymass_speclevel","msw3_id","mswfamilylatin","forstrat_value","forstrat_certainty","forstrat_comment","activity_nocturnal","activity_crepuscular","activity_diurnal","activity_source","activity_certainty","specid","passnonpass","iocorder","blfamilylatin","blfamilyenglish","blfamsequid","taxo","english","diet_enteredby","forstrat_watbelowsurf","forstrat_wataroundsurf","forstrat_ground","forstrat_understory","forstrat_midhigh","forstrat_canopy","forstrat_aerial","pelagicspecialist","forstrat_source","forstrat_speclevel","forstrat_enteredby","bodymass_comment","record_comment"
2438327,"abditomys_latidens","ACCEPTED","Rodentia","Muridae",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,"Ref_1","ABC",0.269,"Ref_117","1",2216,"Muridae","Ar","A",NA,1,0,0,"Ref_3","D2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4264979,"abeomelomys_sevia","ACCEPTED","Rodentia","Muridae",NA,NA,NA,NA,NA,1,0,0,0,0,0,1,0,1,1,"Ref_3","D2",0.05488,"Ref_58","1",2217,"Muridae","G","A",NA,1,0,0,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2438820,"abrawayaomys_ruschii","ACCEPTED","Rodentia","Cricetidae",NA,NA,NA,NA,NA,1,0,0,0,0,0,1,0,1,1,"Ref_3","D2",0.063,"Ref_117","1",1658,"Cricetidae","G","A",NA,1,0,0,"Ref_3","D2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2439416,"abrocoma_bennettii","ACCEPTED","Rodentia","Abrocomidae",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,"Ref_1","ABC",0.2505,"Ref_58","1",3094,"Abrocomidae","G","A",NA,1,0,0,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2439414,"abrocoma_boliviensis","ACCEPTED","Rodentia","Abrocomidae",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,"Ref_1","ABC",0.158,"Ref_117","1",3087,"Abrocomidae","G","A",NA,1,0,0,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4264779,"abrocoma_budini","ACCEPTED","Rodentia","Abrocomidae",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,"Ref_2","D1",0.21469,"Ref_2","Ref_3",3088,"Abrocomidae","G","A",NA,1,0,0,"Ref_2","D1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2439415,"abrocoma_cinerea","ACCEPTED","Rodentia","Abrocomidae",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,"Ref_1","ABC",0.25,"Ref_117","1",3089,"Abrocomidae","G","A",NA,1,0,0,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4264782,"abrocoma_famatina","ACCEPTED","Rodentia","Abrocomidae",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,"Ref_2","D1",0.21469,"Ref_2","Ref_3",3090,"Abrocomidae","G","A",NA,1,0,0,"Ref_2","D1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4264778,"abrocoma_shistacea","ACCEPTED","Rodentia","Abrocomidae",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,"Ref_2","D1",0.21469,"Ref_2","Ref_3",3091,"Abrocomidae","G","A",NA,1,0,0,"Ref_2","D1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4264783,"abrocoma_uspallata","ACCEPTED","Rodentia","Abrocomidae",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,"Ref_2","D1",0.21469,"Ref_2","Ref_3",3092,"Abrocomidae","G","A",NA,1,0,0,"Ref_2","D1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
