"mentionned_species","canonical_names","gbif_id","status","match_type","accepted_species","accepted_gbif_id","order","family"
"Abditomys latidens","Abditomys latidens",2438327,"ACCEPTED","EXACT","Abditomys latidens",2438327,"Rodentia","Muridae"
"Abeomelomys sevia","Abeomelomys sevia",4264979,"ACCEPTED","EXACT","Abeomelomys sevia",4264979,"Rodentia","Muridae"
"Abrawayaomys ruschii","Abrawayaomys ruschii",2438820,"ACCEPTED","EXACT","Abrawayaomys ruschii",2438820,"Rodentia","Cricetidae"
"Abrocoma bennettii","Abrocoma bennettii",2439416,"ACCEPTED","EXACT","Abrocoma bennettii",2439416,"Rodentia","Abrocomidae"
"Abrocoma boliviensis","Abrocoma boliviensis",2439414,"ACCEPTED","EXACT","Abrocoma boliviensis",2439414,"Rodentia","Abrocomidae"
"Abrocoma budini","Abrocoma budini",4264779,"ACCEPTED","EXACT","Abrocoma budini",4264779,"Rodentia","Abrocomidae"
"Abrocoma cinerea","Abrocoma cinerea",2439415,"ACCEPTED","EXACT","Abrocoma cinerea",2439415,"Rodentia","Abrocomidae"
"Abrocoma famatina","Abrocoma famatina",4264782,"ACCEPTED","EXACT","Abrocoma famatina",4264782,"Rodentia","Abrocomidae"
"Abrocoma shistacea","Abrocoma shistacea",4264778,"ACCEPTED","EXACT","Abrocoma shistacea",4264778,"Rodentia","Abrocomidae"
"Abrocoma uspallata","Abrocoma uspallata",4264783,"ACCEPTED","EXACT","Abrocoma uspallata",4264783,"Rodentia","Abrocomidae"
"Abrocoma vaccarum","Abrocoma vaccarum",4264781,"ACCEPTED","EXACT","Abrocoma vaccarum",4264781,"Rodentia","Abrocomidae"
"Abrothrix andinus","Abrothrix andinus",4265099,"ACCEPTED","EXACT","Abrothrix andinus",4265099,"Rodentia","Cricetidae"
"Abrothrix hershkovitzi","Abrothrix hershkovitzi",4265096,"ACCEPTED","EXACT","Abrothrix hershkovitzi",4265096,"Rodentia","Cricetidae"
"Abrothrix illuteus","Abrothrix illuteus",4265093,"ACCEPTED","EXACT","Abrothrix illuteus",4265093,"Rodentia","Cricetidae"
"Abrothrix jelskii","Abrothrix jelskii",4265098,"ACCEPTED","EXACT","Abrothrix jelskii",4265098,"Rodentia","Cricetidae"
"Abrothrix lanosus","Abrothrix lanosus",4265095,"ACCEPTED","EXACT","Abrothrix lanosus",4265095,"Rodentia","Cricetidae"
"Abrothrix longipilis","Abrothrix longipilis",4265092,"ACCEPTED","EXACT","Abrothrix longipilis",4265092,"Rodentia","Cricetidae"
"Abrothrix markhami","Abrothrix markhami",4265097,"ACCEPTED","EXACT","Abrothrix markhami",4265097,"Rodentia","Cricetidae"
"Abrothrix olivaceus","Abrothrix olivaceus",4265094,"ACCEPTED","EXACT","Abrothrix olivaceus",4265094,"Rodentia","Cricetidae"
"Abrothrix sanborni","Abrothrix sanborni",4265091,"ACCEPTED","EXACT","Abrothrix sanborni",4265091,"Rodentia","Cricetidae"
"Aburria aburri","Aburria aburri",2482313,"ACCEPTED","EXACT","Aburria aburri",2482313,"Galliformes","Cracidae"
"Acerodon celebensis","Acerodon celebensis",5218704,"ACCEPTED","EXACT","Acerodon celebensis",5218704,"Chiroptera","Pteropodidae"
"Acerodon humilis","Acerodon humilis",5218706,"ACCEPTED","EXACT","Acerodon humilis",5218706,"Chiroptera","Pteropodidae"
