"usagekey","scientificname","rank","status","matchtype","canonicalname","confidence","kingdom","phylum","order","family","genus","species","kingdomkey","phylumkey","classkey","orderkey","familykey","genuskey","specieskey","synonym","class","note","acceptedusagekey"
2433378,"Tachyglossus aculeatus (Shaw, 1792)","species","ACCEPTED","EXACT","Tachyglossus aculeatus",98,"Animalia","Chordata","Monotremata","Tachyglossidae","Tachyglossus","Tachyglossus aculeatus",1,44,359,791,5941,2433377,2433378,FALSE,"Mammalia",NA,NA
2433390,"Zaglossus attenboroughi Flannery & Groves, 1998","species","ACCEPTED","EXACT","Zaglossus attenboroughi",98,"Animalia","Chordata","Monotremata","Tachyglossidae","Zaglossus","Zaglossus attenboroughi",1,44,359,791,5941,2433384,2433390,FALSE,"Mammalia",NA,NA
2433385,"Zaglossus bartoni (Thomas, 1907)","species","ACCEPTED","EXACT","Zaglossus bartoni",98,"Animalia","Chordata","Monotremata","Tachyglossidae","Zaglossus","Zaglossus bartoni",1,44,359,791,5941,2433384,2433385,FALSE,"Mammalia",NA,NA
2433391,"Zaglossus bruijni (Peters & Doria, 1876)","species","ACCEPTED","EXACT","Zaglossus bruijni",98,"Animalia","Chordata","Monotremata","Tachyglossidae","Zaglossus","Zaglossus bruijni",1,44,359,791,5941,2433384,2433391,FALSE,"Mammalia",NA,NA
2433376,"Ornithorhynchus anatinus (Shaw, 1799)","species","ACCEPTED","EXACT","Ornithorhynchus anatinus",98,"Animalia","Chordata","Monotremata","Ornithorhynchidae","Ornithorhynchus","Ornithorhynchus anatinus",1,44,359,791,5940,2433375,2433376,FALSE,"Mammalia",NA,NA
2439999,"Caluromys philander (Linnaeus, 1758)","species","ACCEPTED","EXACT","Caluromys philander",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Caluromys","Caluromys philander",1,44,359,783,5455,2439991,2439999,FALSE,"Mammalia",NA,NA
2439992,"Caluromys derbianus (Waterhouse, 1841)","species","ACCEPTED","EXACT","Caluromys derbianus",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Caluromys","Caluromys derbianus",1,44,359,783,5455,2439991,2439992,FALSE,"Mammalia",NA,NA
2440004,"Caluromys lanatus (Olfers, 1818)","species","ACCEPTED","EXACT","Caluromys lanatus",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Caluromys","Caluromys lanatus",1,44,359,783,5455,2439991,2440004,FALSE,"Mammalia",NA,NA
2439937,"Caluromysiops irrupta Sanborn, 1951","species","ACCEPTED","EXACT","Caluromysiops irrupta",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Caluromysiops","Caluromysiops irrupta",1,44,359,783,5455,2439936,2439937,FALSE,"Mammalia",NA,NA
2439986,"Glironia venusta Thomas, 1912","species","ACCEPTED","EXACT","Glironia venusta",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Glironia","Glironia venusta",1,44,359,783,5455,2439985,2439986,FALSE,"Mammalia",NA,NA
5219955,"Chironectes minimus (Zimmermann, 1780)","species","ACCEPTED","EXACT","Chironectes minimus",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Chironectes","Chironectes minimus",1,44,359,783,5455,2439977,5219955,FALSE,"Mammalia",NA,NA
2439928,"Didelphis aurita (Wied-Neuwied, 1826)","species","ACCEPTED","EXACT","Didelphis aurita",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Didelphis","Didelphis aurita",1,44,359,783,5455,7932087,2439928,FALSE,"Mammalia",NA,NA
2439929,"Didelphis imperfecta Mondolfi & Pérez-Hernández, 1984","species","ACCEPTED","EXACT","Didelphis imperfecta",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Didelphis","Didelphis imperfecta",1,44,359,783,5455,7932087,2439929,FALSE,"Mammalia",NA,NA
2439920,"Didelphis marsupialis Linnaeus, 1758","species","ACCEPTED","EXACT","Didelphis marsupialis",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Didelphis","Didelphis marsupialis",1,44,359,783,5455,7932087,2439920,FALSE,"Mammalia",NA,NA
2439919,"Didelphis pernigra J.A.Allen, 1900","species","ACCEPTED","EXACT","Didelphis pernigra",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Didelphis","Didelphis pernigra",1,44,359,783,5455,7932087,2439919,FALSE,"Mammalia",NA,NA
2439923,"Didelphis virginiana Kerr, 1792","species","ACCEPTED","EXACT","Didelphis virginiana",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Didelphis","Didelphis virginiana",1,44,359,783,5455,7932087,2439923,FALSE,"Mammalia",NA,NA
2439930,"Didelphis albiventris Lund, 1840","species","ACCEPTED","EXACT","Didelphis albiventris",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Didelphis","Didelphis albiventris",1,44,359,783,5455,7932087,2439930,FALSE,"Mammalia",NA,NA
2439855,"Gracilinanus formosus (Shamel, 1930)","species","ACCEPTED","EXACT","Gracilinanus formosus",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Gracilinanus","Gracilinanus formosus",1,44,359,783,5455,2439848,2439855,FALSE,"Mammalia",NA,NA
2439851,"Gracilinanus emiliae (Thomas, 1909)","species","ACCEPTED","EXACT","Gracilinanus emiliae",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Gracilinanus","Gracilinanus emiliae",1,44,359,783,5455,2439848,2439851,FALSE,"Mammalia",NA,NA
2439856,"Gracilinanus microtarsus (Wagner, 1842)","species","ACCEPTED","EXACT","Gracilinanus microtarsus",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Gracilinanus","Gracilinanus microtarsus",1,44,359,783,5455,2439848,2439856,FALSE,"Mammalia",NA,NA
2439859,"Gracilinanus marica (Thomas, 1898)","species","ACCEPTED","EXACT","Gracilinanus marica",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Gracilinanus","Gracilinanus marica",1,44,359,783,5455,2439848,2439859,FALSE,"Mammalia",NA,NA
2439849,"Gracilinanus dryas (Thomas, 1898)","species","ACCEPTED","EXACT","Gracilinanus dryas",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Gracilinanus","Gracilinanus dryas",1,44,359,783,5455,2439848,2439849,FALSE,"Mammalia",NA,NA
2439854,"Gracilinanus aceramarcae (Tate, 1931)","species","ACCEPTED","EXACT","Gracilinanus aceramarcae",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Gracilinanus","Gracilinanus aceramarcae",1,44,359,783,5455,2439848,2439854,FALSE,"Mammalia",NA,NA
2439853,"Gracilinanus agricolai (Moojen, 1943)","species","ACCEPTED","EXACT","Gracilinanus agricolai",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Gracilinanus","Gracilinanus agricolai",1,44,359,783,5455,2439848,2439853,FALSE,"Mammalia",NA,NA
2439852,"Gracilinanus agilis (Burmeister, 1854)","species","ACCEPTED","EXACT","Gracilinanus agilis",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Gracilinanus","Gracilinanus agilis",1,44,359,783,5455,2439848,2439852,FALSE,"Mammalia",NA,NA
2439850,"Gracilinanus ignitus Díaz, Flores & Barquez, 2002","species","ACCEPTED","EXACT","Gracilinanus ignitus",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Gracilinanus","Gracilinanus ignitus",1,44,359,783,5455,2439848,2439850,FALSE,"Mammalia",NA,NA
2439984,"Hyladelphys kalinowskii (Hershkovitz, 1992)","species","ACCEPTED","EXACT","Hyladelphys kalinowskii",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Hyladelphys","Hyladelphys kalinowskii",1,44,359,783,5455,2439983,2439984,FALSE,"Mammalia",NA,NA
2439939,"Lestodelphys halli (Thomas, 1921)","species","ACCEPTED","EXACT","Lestodelphys halli",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Lestodelphys","Lestodelphys halli",1,44,359,783,5455,2439938,2439939,FALSE,"Mammalia",NA,NA
2439988,"Lutreolina crassicaudata (Desmarest, 1804)","species","ACCEPTED","EXACT","Lutreolina crassicaudata",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Lutreolina","Lutreolina crassicaudata",1,44,359,783,5455,2439987,2439988,FALSE,"Mammalia",NA,NA
