Family,Genus,CommonName,Species,Species (ITIS),BodyMass_kg,BodyMassMale_kg,BodyMassFemale_kg,Refs1
Cercopithecidae,Allenopithecus,Allen_s_Swamp_Monkey,Allenopithecus_nigroviridis,Allenopithecus_nigroviridis,4.65,6.13,3.18,210
Cercopithecidae,Allenopithecus,Allen_s_Swamp_Monkey,Allenopithecus_nigroviridis,Allenopithecus_nigroviridis,5.95,NA,NA,371
Cheirogaleidae,Allocebus,Hairy_eared_Dwarf_Lemur,Allocebus_trichotis,Allocebus_trichotis,0.08,0.092,0.084,315
Cheirogaleidae,Allocebus,Hairy_eared_Dwarf_Lemur,Allocebus_trichotis,Allocebus_trichotis,0.08,NA,NA,264
Cercopithecidae,Allochrocebus,L_Hoest_s_Monkey,Allochrocebus_lhoesti,Allochrocebus_lhoesti,5,7,3,155
Cercopithecidae,Allochrocebus,L_Hoest_s_Monkey,Allochrocebus_lhoesti,Allochrocebus_lhoesti,6,NA,NA,375
Cercopithecidae,Allochrocebus,Preuss_s_Monkey,Allochrocebus_preussi,Allochrocebus_preussi,3.8,4.7,2.9,333
Cercopithecidae,Allochrocebus,Preuss_s_Monkey,Allochrocebus_preussi,Allochrocebus_preussi,5.25,NA,NA,155
Cercopithecidae,Allochrocebus,Sun_tailed_Monkey,Allochrocebus_solatus,Allochrocebus_solatus,5.4,6.89,3.92,326
Cercopithecidae,Allochrocebus,Sun_tailed_Monkey,Allochrocebus_solatus,Allochrocebus_solatus,7.3,NA,NA,246
Atelidae,Alouatta,Ursine_Red_Howler,Alouatta_arctoidea,Alouatta_arctoidea,6.37,7,5.75,380
Atelidae,Alouatta,Red_handed_Howler,Alouatta_belzebul,Alouatta_belzebul,6.4,7.27,5.52,210
Atelidae,Alouatta,Paraguayan_Howler,Alouatta_caraya,Alouatta_caraya,5.38,6.42,4.33,210
Atelidae,Alouatta,Spix_s_Howler,Alouatta_discolor,Alouatta_discolor,6.37,7.25,5.5,388
Atelidae,Alouatta,Brown_Howler,Alouatta_guariba,Alouatta_guariba,5.54,6.73,4.35,210
Atelidae,Alouatta,Guianan_Red_Howler,Alouatta_macconnelli,Alouatta_macconnelli,6.37,7.2,5.55,393
Atelidae,Alouatta,Amazon_Black_Howler,Alouatta_nigerrima,Alouatta_nigerrima,6.45,NA,NA,396
Atelidae,Alouatta,Mantled_Howler,Alouatta_palliata,Alouatta_palliata,6.12,6.96,5.28,278
Atelidae,Alouatta,Central_American_Black_Howler,Alouatta_pigra,Alouatta_pigra,6.56,7.505,5.608,156
Atelidae,Alouatta,Bolivian_Red_Howler,Alouatta_sara,Alouatta_sara,6.5,NA,NA,401
Atelidae,Alouatta,Colombian_Red_Howler,Alouatta_seniculus,Alouatta_seniculus,5.92,6.66,5.18,278
Atelidae,Alouatta,Colombian_Red_Howler,Alouatta_seniculus,Alouatta_seniculus,6.1,NA,NA,212
Atelidae,Alouatta,Maranhão_Red_handed_Howler,Alouatta_ululata,Alouatta_ululata,4.7,NA,NA,78
Aotidae,Aotus,Azara_s_Night_Monkey,Aotus_azarae,Aotus_azarae,1.21,1.18,1.23,210
Aotidae,Aotus,Brumback_s_Night_Monkey,Aotus_brumbacki,Aotus_brumbacki,0.67,NA,NA,209
Aotidae,Aotus,Gray_legged_Night_Monkey,Aotus_griseimembra,Aotus_griseimembra,0.51,0.1,0.923,334
Aotidae,Aotus,Hernández_Camacho_s_Night_Monkey,Aotus_jorgehernandezi,Aotus_jorgehernandezi,NA,NA,NA,NA
Aotidae,Aotus,Lemurine_Night_Monkey,Aotus_lemurinus,Aotus_lemurinus,0.89,0.921,0.859,295
Aotidae,Aotus,Andean_Night_Monkey,Aotus_miconax,Aotus_miconax,0.8,NA,NA,63
Aotidae,Aotus,Ma_s_Night_Monkey,Aotus_nancymaae,Aotus_nancymaae,0.79,0.795,0.78,210
Aotidae,Aotus,Black_headed_Night_Monkey,Aotus_nigriceps,Aotus_nigriceps,0.96,0.875,1.04,226
Aotidae,Aotus,Humboldt_s_Night_Monkey,Aotus_trivirgatus,Aotus_trivirgatus,0.77,0.813,0.736,210
Aotidae,Aotus,Spix_s_Night_Monkey,Aotus_vociferans,Aotus_vociferans,0.7,0.708,0.698,210
Aotidae,Aotus,Panamanian_Night_Monkey,Aotus_zonalis,Aotus_zonalis,0.9,0.889,0.916,407
Lorisidae,Arctocebus,Golden_Angwantibo,Arctocebus_aureus,Arctocebus_aureus,0.21,NA,NA,422
Lorisidae,Arctocebus,Calabar_Angwantibo,Arctocebus_calabarensis,Arctocebus_calabarensis,0.31,0.312,0.306,210
Atelidae,Ateles,White_bellied_Spider_Monkey,Ateles_belzebuth,Ateles_belzebuth,8.07,8.26,7.88,210
Atelidae,Ateles,Black_Spider_Monkey,Ateles_chamek,Ateles_chamek,9.37,9.41,9.33,210
Atelidae,Ateles,Brown_headed_Spider_Monkey,Ateles_fusciceps,Ateles_fusciceps,9.03,8.89,9.16,210
Atelidae,Ateles,Central_American_Spider_Monkey,Ateles_geoffroyi,Ateles_geoffroyi,7.54,7.45,7.64,296
Atelidae,Ateles,Variegated_Spider_Monkey,Ateles_hybridus,Ateles_hybridus,8.6,8.25,9,438
Atelidae,Ateles,White_whiskered_Spider_Monkey,Ateles_marginatus,Ateles_marginatus,8.1,10.4,5.8,363
Atelidae,Ateles,White_whiskered_Spider_Monkey,Ateles_marginatus,Ateles_marginatus,5.82,NA,NA,228
Atelidae,Ateles,Red_faced_Black_Spider_Monkey,Ateles_paniscus,Ateles_paniscus,8.28,8.49,8.07,278
Indriidae,Avahi,Betsileo_Woolly_Lemur,Avahi_betsileo,Avahi_betsileo,0.92,0.8,1.05,335
Indriidae,Avahi,Betsileo_Woolly_Lemur,Avahi_betsileo,Avahi_betsileo,1.08,NA,NA,264
Indriidae,Avahi,Bemaraha_Woolly_Lemur,Avahi_cleesei,Avahi_cleesei,1.03,1,1.058,336
Indriidae,Avahi,Bemaraha_Woolly_Lemur,Avahi_cleesei,Avahi_cleesei,0.95,NA,NA,264
Indriidae,Avahi,Eastern_Woolly_Lemur,Avahi_laniger,Avahi_laniger,1.17,1.03,1.32,283
Indriidae,Avahi,Eastern_Woolly_Lemur,Avahi_laniger,Avahi_laniger,1.18,NA,NA,264
Indriidae,Avahi,Southern_Woolly_Lemur,Avahi_meridionalis,Avahi_meridionalis,1.15,1.1,1.2,337
Indriidae,Avahi,Southern_Woolly_Lemur,Avahi_meridionalis,Avahi_meridionalis,1.21,NA,NA,265
Indriidae,Avahi,Masoala_Woolly_Lemur,Avahi_mooreorum,Avahi_mooreorum,0.92,NA,NA,264
Indriidae,Avahi,Western_Woolly_Lemur,Avahi_occidentalis,Avahi_occidentalis,0.8,0.814,0.777,210
Indriidae,Avahi,Peyrieras_s_Woolly_Lemur,Avahi_peyrierasi,Avahi_peyrierasi,1.08,NA,NA,447
Indriidae,Avahi,Peyrieras_s_Woolly_Lemur,Avahi_peyrierasi,Avahi_peyrierasi,1.03,NA,NA,264
Indriidae,Avahi,Manombo_Woolly_Lemur,Avahi_ramanantsoavanai,Avahi_ramanantsoavanai,0.96,0.896,1.019,338
Indriidae,Avahi,Manombo_Woolly_Lemur,Avahi_ramanantsoavanai,Avahi_ramanantsoavanai,0.98,NA,NA,264
Indriidae,Avahi,Sambirano_Woolly_Lemur,Avahi_unicolor,Avahi_unicolor,0.85,NA,NA,264
Atelidae,Brachyteles,Southern_Muriqui,Brachyteles_arachnoides,Brachyteles_arachnoides,8.84,9.61,8.07,324
Atelidae,Brachyteles,Northern_Muriqui,Brachyteles_hypoxanthus,Brachyteles_hypoxanthus,9,9.6,8.4,324
Pitheciidae,Cacajao,Ayres_Black_Uakari,NA,Cacajao_ayresi,NA,NA,NA,NA
Pitheciidae,Cacajao,Bald_Uacari,Cacajao_calvus,Cacajao_calvus,3.17,3.45,2.88,212
Pitheciidae,Cacajao,Black_headed_Uacari,NA,Cacajao_hosomi,NA,NA,NA,NA
Pitheciidae,Cacajao,Black_headed_Uacari,Cacajao_melanocephalus,Cacajao_melanocephalus,2.94,3.16,2.71,210
Pitheciidae,Cacajao,Spix_s_Black_headed_Uacari,Cacajao_ouakary,Cacajao_ouakary,2.35,NA,NA,406
Pitheciidae,Cacajao,Spix_s_Black_headed_Uacari,Cacajao_ouakary,Cacajao_ouakary,3.8,NA,NA,209
Callitrichidae,Callibella,Black_crowned_Dwarf_Marmoset,Callibella_humilis,Callibella_humilis,0.12,NA,NA,214
Pitheciidae,Callicebus,Blond_Titi,Callicebus_barbarabrownae,Callicebus_barbarabrownae,1.15,NA,NA,?
Pitheciidae,Callicebus,Coimbra_Filho_s_Titi,Callicebus_coimbrai,Callicebus_coimbrai,NA,NA,1.165,442
Pitheciidae,Callicebus,Coimbra_Filho_s_Titi,Callicebus_coimbrai,Callicebus_coimbrai,1.21,NA,NA,229
Pitheciidae,Callicebus,Southern_Bahian_Titi,Callicebus_melanochir,Callicebus_melanochir,NA,NA,1.4,503
Pitheciidae,Callicebus,Southern_Bahian_Titi,Callicebus_melanochir,Callicebus_melanochir,1.37,NA,NA,230
