Family,Genus,CommonName,Species,Species (ITIS),Habitat_Forest,Habitat_Savanna,Habitat_Shrubland,Habitat_Grassland,Habitat_Wetlands,Habitat_Rocky areas,Habitat_Desert,Refs1,Refs2
Cercopithecidae,Allenopithecus,Allen_s_Swamp_Monkey,Allenopithecus_nigroviridis,Allenopithecus_nigroviridis,1,0,0,0,1,0,0,227,NA
Cheirogaleidae,Allocebus,Hairy_eared_Dwarf_Lemur,Allocebus_trichotis,Allocebus_trichotis,1,0,0,0,0,0,0,227,NA
Cercopithecidae,Allochrocebus,L_Hoest_s_Monkey,Allochrocebus_lhoesti,Allochrocebus_lhoesti,1,0,1,0,1,0,0,145,245
Cercopithecidae,Allochrocebus,Preuss_s_Monkey,Allochrocebus_preussi,Allochrocebus_preussi,1,0,0,0,0,0,0,376,NA
Cercopithecidae,Allochrocebus,Sun_tailed_Monkey,Allochrocebus_solatus,Allochrocebus_solatus,1,0,0,0,0,0,0,379,NA
Atelidae,Alouatta,Ursine_Red_Howler,Alouatta_arctoidea,Alouatta_arctoidea,1,1,0,0,0,0,0,227,NA
Atelidae,Alouatta,Red_handed_Howler,Alouatta_belzebul,Alouatta_belzebul,1,0,0,0,0,0,0,227,NA
Atelidae,Alouatta,Paraguayan_Howler,Alouatta_caraya,Alouatta_caraya,1,1,0,0,0,0,0,227,NA
Atelidae,Alouatta,Spix_s_Howler,Alouatta_discolor,Alouatta_discolor,1,0,0,0,0,0,0,227,NA
Atelidae,Alouatta,Brown_Howler,Alouatta_guariba,Alouatta_guariba,1,0,0,0,0,0,0,227,NA
Atelidae,Alouatta,Guianan_Red_Howler,Alouatta_macconnelli,Alouatta_macconnelli,1,1,0,0,0,0,0,227,NA
Atelidae,Alouatta,Amazon_Black_Howler,Alouatta_nigerrima,Alouatta_nigerrima,1,1,0,0,0,0,0,227,NA
Atelidae,Alouatta,Mantled_Howler,Alouatta_palliata,Alouatta_palliata,1,0,0,0,0,0,0,227,NA
Atelidae,Alouatta,Central_American_Black_Howler,Alouatta_pigra,Alouatta_pigra,1,0,0,0,0,0,0,227,NA
Atelidae,Alouatta,Bolivian_Red_Howler,Alouatta_sara,Alouatta_sara,1,1,0,0,0,0,0,227,NA
Atelidae,Alouatta,Colombian_Red_Howler,Alouatta_seniculus,Alouatta_seniculus,1,1,0,0,0,0,0,227,NA
Atelidae,Alouatta,Maranhão_Red_handed_Howler,Alouatta_ululata,Alouatta_ululata,1,0,0,0,0,0,0,227,NA
Aotidae,Aotus,Azara_s_Night_Monkey,Aotus_azarae,Aotus_azarae,1,1,0,0,0,0,0,227,NA
Aotidae,Aotus,Brumback_s_Night_Monkey,Aotus_brumbacki,Aotus_brumbacki,1,1,0,0,0,0,0,227,NA
