Family,Genus,CommonName,Species,Species (ITIS),TrophicGuild,Refs,Fruit,Leaves,Flowers,Seeds,Animal,Gums,Nectar,Other,Region,Country,Data_type,Study_duration_months,N_groups,Mean_individuals,Comments,
Cercopithecidae,Allenopithecus,Allen_s_Swamp_Monkey,Allenopithecus_nigroviridis,Allenopithecus_nigroviridis,Frugivore,374,81,NI,NI,NI,17,NI,NI,NI,NI,NI,NI,NI,NI,,NI,
Cheirogaleidae,Allocebus,Hairy_eared_Dwarf_Lemur,Allocebus_trichotis,Allocebus_trichotis,Omnivore,315,NI,NI,NI,NI,50-75,NI,NI,NI,Captivity,,NI,NI,NI,,NI,
Cercopithecidae,Allochrocebus,L_Hoest_s_Monkey,Allochrocebus_lhoesti,Allochrocebus_lhoesti,Omnivore,245,31.43,34.71,NI,3.18,10.34,NI,NI,NI,NI,NI,NI,NI,NI,,NI,
Cercopithecidae,Allochrocebus,Preuss_s_Monkey,Allochrocebus_preussi,Allochrocebus_preussi,Omnivore,1174,52,NI,NI,NI,NI,NI,NI,NI,Kilum,Cameroon,NI,NI,NI,,"Fruits, seeds, leaves, flowers, small aquatic animals and termites. In the study at Kilum, 52% of the diet was fruit and seeds",
Cercopithecidae,Allochrocebus,Sun_tailed_Monkey,Allochrocebus_solatus,Allochrocebus_solatus,Omnivore,155,26,NI,NI,NI,27.5,NI,NI,NI,NI,NI,NI,NI,NI,,Fruits and seeds 26%,
Atelidae,Alouatta,Ursine_Red_Howler,Alouatta_arctoidea,Alouatta_arctoidea,Folivore,380,NI,70,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,,"Diets may consist of up to 70% leaves, with fruits, flowers and other plant parts making up the remainder.",
Atelidae,Alouatta,Red_handed_Howler,Alouatta_belzebul,Alouatta_belzebul,Folivore_frugivore,382,59,13.3,27.6,NI,NI,NI,NI,NI,Paraíba,Brazil,Feeding time (%),15,NI,,NI,
Atelidae,Alouatta,Paraguayan_Howler,Alouatta_caraya,Alouatta_caraya,Folivore_frugivore,385,28.5,58.8,2.7,0.4,NI,NI,NI,9.6,NI,NI,NI,NI,NI,,NI,
Atelidae,Alouatta,Spix_s_Howler,Alouatta_discolor,Alouatta_discolor,Folivore_frugivore,389,55,24.8,5.7,NI,NI,NI,NI,14.5,Paranaita,Brazil,Feeding records (%),10,NI,07-nov,NI,
Atelidae,Alouatta,Brown_Howler,Alouatta_guariba,Alouatta_guariba,Folivore_frugivore,391,46.8,34.2,11.8,NI,NI,NI,NI,7.2,NI,NI,NI,NI,NI,,NI,
Atelidae,Alouatta,Guianan_Red_Howler,Alouatta_macconnelli,Alouatta_macconnelli,Folivore,393,NI,75.5,12.6,NI,NI,NI,NI,11.9,NI,NI,NI,NI,NI,,"54% young leaves, 21.5% mature leaves, typically juicy pulp, yellow, red and orange drups and berries; and 12.6% flowers",
Atelidae,Alouatta,Amazon_Black_Howler,Alouatta_nigerrima,Alouatta_nigerrima,Folivore_frugivore,156,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,,NI,
Atelidae,Alouatta,Mantled_Howler,Alouatta_palliata,Alouatta_palliata,Folivore,392,12.5,63.6,18.2,NI,NI,NI,NI,5.7,NI,NI,NI,NI,NI,,NI,
Atelidae,Alouatta,Central_American_Black_Howler,Alouatta_pigra,Alouatta_pigra,Folivore_frugivore,399,41,45,11,NI,NI,NI,NI,3,Community Baboon Sanctuary ,Belize,Feeding time (%),14,6,5.9,,
Atelidae,Alouatta,Bolivian_Red_Howler,Alouatta_sara,Alouatta_sara,Folivore_frugivore,157,NI,NI,NI,NI,NI,NI,NI,NI,Manu Biosphere Reserve,Peru,NI,4,NI,,NI,
Atelidae,Alouatta,Colombian_Red_Howler,Alouatta_seniculus,Alouatta_seniculus,Folivore_frugivore,403,40,50,NI,NI,NI,NI,NI,10,Popayan-neiva,Colombia,Feeding time (%),10,2,,NI,
Atelidae,Alouatta,Maranhão_Red_handed_Howler,Alouatta_ululata,Alouatta_ululata,Folivore_frugivore,4,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,,NI,
Aotidae,Aotus,Azara_s_Night_Monkey,Aotus_azarae,Aotus_azarae,Omnivore,408,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,,"Composed of fruits, nectar, flowers, leaves, fungi and insects. Azara's night monkeys there were more folivorous than the black headed night monkeys in Peru, concentrating on leaves of small trees and vines for 46% of their feeding time and with fruit being only 16% of the diet (as opposed to 60%) and nectar and flowers 33%. ",
Aotidae,Aotus,Brumback_s_Night_Monkey,Aotus_brumbacki,Aotus_brumbacki,Omnivore,410,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,,NI,
Aotidae,Aotus,Gray_legged_Night_Monkey,Aotus_griseimembra,Aotus_griseimembra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
Aotidae,Aotus,Hernández_Camacho_s_Night_Monkey,Aotus_jorgehernandezi,Aotus_jorgehernandezi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
Aotidae,Aotus,Lemurine_Night_Monkey,Aotus_lemurinus,Aotus_lemurinus,Omnivore,417,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,,"Fruits, insects and nectars. ",
Aotidae,Aotus,Andean_Night_Monkey,Aotus_miconax,Aotus_miconax,Omnivore,7,42,6,5,,19,NI,NI,28,"Centro Poblado La Esperanza, Amazonas Department",Brazil,Feeding records (%),12,1,05-jun,NI,
Aotidae,Aotus,Ma_s_Night_Monkey,Aotus_nancymaae,Aotus_nancymaae,Frugivore,158,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,,NI,
Aotidae,Aotus,Black_headed_Night_Monkey,Aotus_nigriceps,Aotus_nigriceps,Frugivore,416,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,,NI,
Aotidae,Aotus,Humboldt_s_Night_Monkey,Aotus_trivirgatus,Aotus_trivirgatus,Frugivore,10,70,4,10,NI,16,NI,NI,NI,Paraguay,Paraguay,Feeding time & fecal samples,11,1,,,
Aotidae,Aotus,Spix_s_Night_Monkey,Aotus_vociferans,Aotus_vociferans,Frugivore,418,83,NI,NI,NI,NI,NI,17,NI,Peru,Peru,NI,9,NI,,NI,
Aotidae,Aotus,Panamanian_Night_Monkey,Aotus_zonalis,Aotus_zonalis,Frugivore,417,65,30,NI,NI,5,NI,NI,NI,NI,NI,Stomach content,NI,NI,NI,NI,
Lorisidae,Arctocebus,Golden_Angwantibo,Arctocebus_aureus,Arctocebus_aureus,Insectivore,422,14,NI,NI,NI,85,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,
Lorisidae,Arctocebus,Calabar_Angwantibo,Arctocebus_calabarensis,Arctocebus_calabarensis,Insectivore,423,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,
Atelidae,Ateles,White_bellied_Spider_Monkey,Ateles_belzebuth,Ateles_belzebuth,Frugivore,425,78.5,7.7,1.3,NI,NI,NI,1.9,10.6,Yasuní National Park,Ecuador,Feeding time (%),10,NI,16,NI,
Atelidae,Ateles,Black_Spider_Monkey,Ateles_chamek,Ateles_chamek,Frugivore,428,85.8,10.7,2.9,NI,NI,NI,0.6,NI,Lago Caiman,Bolivia,Feeding time (%),11,NI,53,NI,
Atelidae,Ateles,Brown_headed_Spider_Monkey,Ateles_fusciceps,Ateles_fusciceps,Frugivore,161,NI,NI,NI,NI,NI,NI,NI,NI,Chocó,Ecuador,NI,12,NI,NI,NI,
Atelidae,Ateles,Central_American_Spider_Monkey,Ateles_geoffroyi,Ateles_geoffroyi,Frugivore,433,82.12,17.22,NI,NI,NI,NI,NI,0.66,NI,NI,NI,NI,NI,NI,NI,
Atelidae,Ateles,Variegated_Spider_Monkey,Ateles_hybridus,Ateles_hybridus,Frugivore,434,94,5,1,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,
Atelidae,Ateles,Variegated_Spider_Monkey,Ateles_hybridus,Ateles_hybridus,Folivore-frugivore,162,54.1,37,3.9,NI,NI,NI,NI,4.8,Magdalena Region,Region (Colombia),Feeding time (%),26,8,7,NI,
Atelidae,Ateles,White_whiskered_Spider_Monkey,Ateles_marginatus,Ateles_marginatus,Frugivore,435,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,
Atelidae,Ateles,Red_faced_Black_Spider_Monkey,Ateles_paniscus,Ateles_paniscus,Frugivore,919,88.5,5.5,4.4,NI,NI,NI,NI,NI,Raleighvallen-Voltzberg NIture Reserve,Surinam,Feeding time (%),12,NI,NI,The study did not consider animal prey,
Indriidae,Avahi,Betsileo_Woolly_Lemur,Avahi_betsileo,Avahi_betsileo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Indriidae,Avahi,Bemaraha_Woolly_Lemur,Avahi_cleesei,Avahi_cleesei,Folivore,1175,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,"Buds, sprouting buds and young leaves",
Indriidae,Avahi,Eastern_Woolly_Lemur,Avahi_laniger,Avahi_laniger,Folivore,1175,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,"Mainly inmature leaves and buds, supplemented ith fruits, flowers and bark.",
Indriidae,Avahi,Southern_Woolly_Lemur,Avahi_meridionalis,Avahi_meridionalis,Folivore,443,NI,100,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,45% young leaves and 55% mature leaves,
Indriidae,Avahi,Masoala_Woolly_Lemur,Avahi_mooreorum,Avahi_mooreorum,Folivore,163,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,"Table, no more information",
Indriidae,Avahi,Western_Woolly_Lemur,Avahi_occidentalis,Avahi_occidentalis,Folivore,445,NI,77,NI,NI,NI,NI,NI,23,Mahajanga,Madagascar,Feeding records (%),11,NI,5,NI,
Indriidae,Avahi,Peyrieras_s_Woolly_Lemur,Avahi_peyrierasi,Avahi_peyrierasi,Folivore,448,NI,100,NI,NI,NI,NI,NI,NI,Vatoharanana National Park,Madagascar,Feeding time (%),4,NI,NI,NI,
Indriidae,Avahi,Manombo_Woolly_Lemur,Avahi_ramanantsoavanai,Avahi_ramanantsoavanai,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Indriidae,Avahi,Sambirano_Woolly_Lemur,Avahi_unicolor,Avahi_unicolor,Folivore,164,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,
Atelidae,Brachyteles,Southern_Muriqui,Brachyteles_arachnoides,Brachyteles_arachnoides,Folivore_frugivore,453,20.8,66,12.2,NI,NI,NI,NI,NI,Barreiro Rico,Brazil,Feeding records (%),12,several groups,several population,,
Atelidae,Brachyteles,Northern_Muriqui,Brachyteles_hypoxanthus,Brachyteles_hypoxanthus,Folivore_frugivore,454,18.5,50.6,28.2,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,
Atelidae,Brachyteles,Northern_Muriqui,Brachyteles_hypoxanthus,Brachyteles_hypoxanthus,Folivore_frugivore,1183,32,51,11,NI,NI,NI,NI,6,Fazenda Montes Claros,Brazil,Feeding time,14,2,23-26,NI,
Pitheciidae,Cacajao,Ayres Black_Uakari,NA,Cacajao_ayresi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Pitheciidae,Cacajao,Bald_Uacari,Cacajao_calvus,Cacajao_calvus,Frugivore,212,18.4,3.3,NI,66.9,5.2,NI,6.2,NI,Amazonia,Brazil,Feeding records (%),12,1,NI,NI,
Pitheciidae,Cacajao,Black-headed_Uacari,NA,Cacajao_hosomi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Pitheciidae,Cacajao,Black_headed_Uacari,Cacajao_melanocephalus,Cacajao_melanocephalus,Frugivore,458,12,14.7,3.3,62,1.2,NI,NI,6.8,Jau National Park,Brazil,NI,12,NI,NI,NI,
Pitheciidae,Cacajao,Spix_s_Black_headed_Uacari,Cacajao_ouakary,NA,Frugivore,406,11,9,8,68,4,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,
Callitrichidae,Callibella,Black_crowned_Dwarf_Marmoset,Callibella_humilis,NA,Omnivore,808,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,"Although very little is known diets includes fruits, smll animal prey (especially insects), and of particular significnce exudates",
Pitheciidae,Callicebus,Blond_Titi,Callicebus_barbarabrownae,Callicebus_barbarabrownae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Pitheciidae,Callicebus,Coimbra_Filho_s_Titi,Callicebus_coimbrai,Callicebus_coimbrai,Frugivore,464,61,22,4,10,3,NI,NI,NI,Sergipe,Brazil,NI,12,1,NI,NI,
Pitheciidae,Callicebus,Southern_Bahian_Titi,Callicebus_melanochir,Callicebus_melanochir,Frugivore,23,54.7,17.2,NI,21.9,NI,NI,NI,6.2,NI,NI,NI,NI,NI,NI,NI,
Pitheciidae,Callicebus,Black_fronted_Titi,Callicebus_nigrifrons,Callicebus_nigrifrons,Frugivore,465,43-74,33-85,nov-24,NI,0-4,NI,NI,NI,NI,NI,NI,NI,NI,NI,"Highly frugivorous 43-74% of teh diet) but they also eat relatively large quantities of leaves 85-33%, and flowers 11-24%. Arthropods are a minor proportion of their diets 0-4% in all but one case 10%.",
Pitheciidae,Callicebus,Masked_Titi,Callicebus_personatus,Callicebus_personatus,Frugivore,467,81,18,1,NI,NI,NI,NI,NI,Sooretama Biological Reserve,Brazil,Feeding time (%),1,1,5,NI,
Callitrichidae,Callimico,Goeldi_s_Monkey*,Callimico_goeldii,Callimico_goeldii,Omnivore,469,29,NI,NI,NI,31,30,3,7,San Sebastian,Bolivia,Feeding records (%),12,3,NI,29% fungus,One group each species
Callitrichidae,Callithrix,Buffy_tufted_ear_Marmoset,Callithrix_aurita,Callithrix_aurita,Omnivore,473,28.67,NI,NI,NI,29.66,29.8,NI,11.86,Atlantic forest,Brazil,Feeding records (%),7,2,NI,11.86% fungi,
Callitrichidae,Callithrix,Buffy_headed_Marmoset,Callithrix_flaviceps,Callithrix_flaviceps,Gummivore,478,14.39,NI,NI,NI,19.69,65.72,NI,NI,Fazenda Montes Claros,Brazil,Feeding records (%),12,1,11-13,NI,
Callitrichidae,Callithrix,Buffy_headed_Marmoset,Callithrix_flaviceps,Callithrix_flaviceps,Gummivore,473,2.04,NI,NI,NI,14.73,83.23,NI,NI,Atlantic forest,Brazil,Feeding records (%),7,2,NI,NI,
Callitrichidae,Callithrix,Geoffroy_s_Tufted_ear_Marmoset,Callithrix_geoffroyi,Callithrix_geoffroyi,Gummivore,480,15,,NI,15.4,NI,68.6,NI,1,Aracruz Celulose,Brazil,Feeding records (%),12,1,4,NI,
Callitrichidae,Callithrix,Common_Marmoset,Callithrix_jacchus,Callithrix_jacchus,Gummivore,484,23,NI,NI,NI,NI,68,NI,9,NI,NI,NI,NI,NI,NI,NI,
Callitrichidae,Callithrix,Wied_s_Black_tufted_ear_Marmoset,Callithrix_kuhlii,Callithrix_kuhlii,Omnivore,27,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,
Callitrichidae,Callithrix,Black_tufted_ear_Marmoset,Callithrix_penicillata,Callithrix_penicillata,Gummivore,493,0,NI,NI,NI,30,70,NI,NI,Cerrado,Brazil,Feeding time (%),4,2,NI,NI,
Tarsiidae,Carlito,Philippine_Tarsier,Carlito_syrichta,Carlito_syrichta,Insectivore,1148,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,Eats mainly insects and small vertebrates.,
Callitrichidae,Cebuella,Eastern_Pygmy_Marmoset,NA,Cebuella_niveiventris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Callitrichidae,Cebuella,Pygmy_Marmoset,Cebuella_pygmaea,Cebuella_pygmaea,Omnivore,495,NI,NI,NI,NI,NI,33,NI,NI,Sacha,Ecuador,Feeding records (%),36,1,NI,Groups spent time foraging insects,
Callitrichidae,Cebuella,Pygmy_Marmoset,Cebuella_pygmaea,Cebuella_pygmaea,Omnivore,495,NI,NI,NI,NI,NI,34,NI,NI,Zancudococha,Ecuador,Feeding records (%),48,1,NI,Groups spent time foraging insects,
Callitrichidae,Cebuella,Pygmy_Marmoset,Cebuella_pygmaea,Cebuella_pygmaea,Omnivore,495,NI,NI,NI,NI,NI,20,NI,NI,San Pablo,Ecuador,Feeding records (%),60,1,NI,Groups spent time foraging insects,
Callitrichidae,Cebuella,Pygmy_Marmoset,Cebuella_pygmaea,Cebuella_pygmaea,Omnivore,495,NI,NI,NI,NI,NI,23,NI,NI,Amazonico,Ecuador,Feeding records (%),72,1,NI,Groups spent time foraging insects,
Cebidae,Cebus,Ecuadorian_White_fronted_Capuchin,Cebus_aequatorialis,Cebus_aequatorialis,Omnivore,489,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,
Cebidae,Cebus,Humboldt_s_White_fronted_Capuchin,Cebus_albifrons,Cebus_albifrons,Omnivore,497,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,"The diet of C. albifrons includes fruits, small invertebrates, their eggs and larvae, small mammals, lizards, and bird’s eggs. They especially like to eat ant and wasp larvae, and are adept at robbing beehives for honey.",
Cebidae,Cebus,Venezuelan_Brown_Capuchin,Cebus_brunneus,Cebus_brunneus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Cebidae,Cebus,Colombian_White_faced_Capuchin,Cebus_capucinus,Cebus_capucinus,Omnivore,502,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,"Mainly ripe fruits and insects, but also leaves, flowrs and bird eggs.",
