Visibility,Source ID,Locality ID,Traits ID,Genus,Species,Morphospecies,Contributor,Latitude,Longitude,Caste,N,Head width across eyes (mm),Head length (mm),Clypeus length (mm),Mandible length (mm),Hind femur length (mm),Scape length (mm),Weber's length (mm),Pronotum width (mm),Inter-ocular width (mm),Max eye width (mm),Whole body length (mm),Sculpturing,Pilosity (#),Number of Spines (#),Dominant colour head (Fig. 16),Dominant colour mesosoma (Fig. 16),Dominant colour gaster (Fig. 16),Polymorphism,Queen number,Worker number (#),Colony type,Colony founding,Nest Site,Activity,Diet,Notes
Public,Donoso_2014,,Donoso_2014_traits_0,Sericomyrmex,amabilis,False,"Donoso, David",Not in paper,Not in paper,Worker,1,1.24,0.95,Not in paper,Not in paper,Not in paper,Not in paper,1.52,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Fungivore (7),SeAmMean
Public,Donoso_2014,,Donoso_2014_traits_1,Sericomyrmex,amabilis,False,"Donoso, David",Not in paper,Not in paper,Worker,1,1.13,1,0.28,0.69,1.23,0.63,1.55,0.83,1,0.13,4.75,Not in paper,50,0,21,21,21,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Fungivore (7),11542
Public,Donoso_2014,,Donoso_2014_traits_2,Sericomyrmex,amabilis,False,"Donoso, David",Not in paper,Not in paper,Worker,1,1.1,1.06,0.25,0.29,1.23,0.8,1.4,0.83,0.94,0.14,4.25,Not in paper,50,0,21,21,21,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Fungivore (7),11425
Public,Donoso_2014,,Donoso_2014_traits_43,Trachymyrmex,bugnioni,False,"Donoso, David",Not in paper,Not in paper,Worker,1,0.72,0.69,Not in paper,Not in paper,Not in paper,Not in paper,0.98,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Fungivore (7),3067
Public,Donoso_2014,,Donoso_2014_traits_44,Trachymyrmex,bugnioni,False,"Donoso, David",Not in paper,Not in paper,Worker,1,0.8,0.8,Not in paper,Not in paper,0.95,Not in paper,1.1,Not in paper,Not in paper,0.12,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Fungivore (7),11532
Public,Donoso_2014,,Donoso_2014_traits_45,Trachymyrmex,bugnioni,False,"Donoso, David",Not in paper,Not in paper,Worker,1,0.73,0.68,0.28,0.46,0.86,0.58,1.02,0.5,0.56,0.14,3.25,3,3,0,9,9,9,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Fungivore (7),8811
Public,Donoso_2014,,Donoso_2014_traits_46,Trachymyrmex,bugnioni,False,"Donoso, David",Not in paper,Not in paper,Worker,1,0.81,0.78,Not in paper,Not in paper,1,Not in paper,1.17,Not in paper,Not in paper,0.12,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Fungivore (7),175793a
Public,Donoso_2014,,Donoso_2014_traits_53,Trachymyrmex,cornetzi,False,"Donoso, David",Not in paper,Not in paper,Worker,1,0.86,0.78,0.26,0.56,1.04,0.72,1.18,0.56,0.7,0.14,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Fungivore (7),175793
Public,Donoso_2014,,Donoso_2014_traits_54,Cyphomyrmex,costatus,False,"Donoso, David",Not in paper,Not in paper,Worker,1,0.48,0.48,Not in paper,Not in paper,Not in paper,Not in paper,0.63,Not in paper,Not in paper,Not in paper,Not in paper,3,0,0,19,19,19,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Fungivore (7),10040
Public,Donoso_2014,,Donoso_2014_traits_118,Trachymyrmex,iisthmica,False,"Donoso, David",Not in paper,Not in paper,Worker,1,1.44,1.15,0.41,1,0.75,0.75,2,0.93,1.15,0.18,5.4,3,46,8,21,21,20,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Fungivore (7),8693
