Original Name,,,,,,Transformed Name,,
Ammodorca, , , ,->, ,Ammodorcas, , 
Capricornus, , , ,->, ,Capricornis, , 
Chincilla, , , ,->, ,Chinchilla, , 
Choernycteris, , , ,->, ,Choeronycteris, , 
Euamias, , , ,->, ,Tamias, , 
Eumetopius, , , ,->, ,Eumetopias, , 
Eupleures, , , ,->, ,Eupleres, , 
Haryionycteris, , , ,->, ,Harpyionycteris, , 
Heliophobus, , , ,->, ,Heliophobius, , 
Hemichinus, , , ,->, ,Hemiechinus, , 
Leiacomys, , , ,->, ,Leimacomys, , 
Lycaeon, , , ,->, ,Lycaon, , 
Megalodontomys, , , ,->, ,Megadontomys, , 
Megaoryomys, , , ,->, ,Megaoryzomys, , 
Melanycteris, , , ,->, ,Melonycteris, , 
Melliovora, , , ,->, ,Mellivora, , 
Myotragus, , , ,->, ,Neotragus, , 
Nemorhaedus, , , ,->, ,Naemorhedus, , 
Ningauis, , , ,->, ,Ningaui, , 
Nycterus, , , ,->, ,Nycteris, , 
Ommotophoca, , , ,->, ,Ommatophoca, , 
Platanistia, , , ,->, ,Platanista, , 
Platyrhinus, , , ,->, ,Platyrrhinus, , 
Potomogale, , , ,->, ,Potamogale, , 
Pterotes, , , ,->, ,Plerotes, , 
Rynchonycteris, , , ,->, ,Rhynchonycteris, , 
Sanguinus, , , ,->, ,Saguinus, , 
Silvicapra, , , ,->, ,Sylvicapra, , 
Silvilagus, , , ,->, ,Sylvilagus, , 
Syconyceris, , , ,->, ,Syconycteris, , 
Thryoptera, , , ,->, ,Thyroptera, , 
Typomys, , , ,->, ,Tylomys, , 
A,caudifer, , ,->, ,Anoura,caudifer, 
Abeomelomys,tatei, , ,->, ,Abeomelomys,sevia, 
Abrocoma,bennetd, , ,->, ,Abrocoma,bennettii, 
Abrocoma,bennetti, , ,->, ,Abrocoma,bennettii, 
Abrocoma,cincerea, , ,->, ,Abrocoma,cinerea, 
Abrocoma,cuvieri, , ,->, ,Abrocoma,bennettii, 
Abrocoma,helvina, , ,->, ,Abrocoma,bennettii, 
Abrocoma,laniger, , ,->, ,Abrocoma,bennettii, 
Abrocoma,murrayi, , ,->, ,Abrocoma,bennettii, 
Abrocoma,oblavita, , ,->, ,Cuscomys,oblativa, 
Abrocoma,schistacea, , ,->, ,Abrocoma,shistacea, 
Abrothrix,angustus, , ,->, ,Abrothrix,longipilis, 
Abrothrix,apta, , ,->, ,Abrothrix,longipilis, 
Abrothrix,atratus, , ,->, ,Abrothrix,olivaceus, 
Abrothrix,bacchante, , ,->, ,Abrothrix,jelskii, 
Abrothrix,beatus, , ,->, ,Abrothrix,olivaceus, 
Abrothrix,brachiotis, , ,->, ,Abrothrix,olivaceus, 
Abrothrix,brachytarsus, , ,->, ,Abrothrix,longipilis, 
Abrothrix,brevicaudatus, , ,->, ,Abrothrix,olivaceus, 
Abrothrix,castaneus, , ,->, ,Abrothrix,longipilis, 
Abrothrix,cayllomae, , ,->, ,Abrothrix,jelskii, 
Abrothrix,chonoticus, , ,->, ,Abrothrix,olivaceus, 
Abrothrix,cinnamomea, , ,->, ,Abrothrix,andinus, 
Abrothrix,cruceri, , ,->, ,Abrothrix,jelskii, 
Abrothrix,dolichonyx, , ,->, ,Abrothrix,andinus, 
Abrothrix,foncki, , ,->, ,Abrothrix,olivaceus, 
Abrothrix,francei, , ,->, ,Abrothrix,longipilis, 
Abrothrix,fusco-ater, , ,->, ,Abrothrix,longipilis, 
Abrothrix,germaini, , ,->, ,Abrothrix,olivaceus, 
Abrothrix,gossei, , ,->, ,Abrothrix,andinus, 
Abrothrix,hirtus, , ,->, ,Abrothrix,longipilis, 
Abrothrix,illutea, , ,->, ,Abrothrix,illuteus, 
Abrothrix,inambarii, , ,->, ,Abrothrix,jelskii, 
Abrothrix,infans, , ,->, ,Abrothrix,olivaceus, 
Abrothrix,inornatus, , ,->, ,Abrothrix,jelskii, 
Abrothrix,jucundus, , ,->, ,Abrothrix,andinus, 
Abrothrix,landbecki, , ,->, ,Abrothrix,olivaceus, 
Abrothrix,lepturus, , ,->, ,Abrothrix,olivaceus, 
Abrothrix,llanoi, , ,->, ,Abrothrix,olivaceus, 
Abrothrix,longibarbus, , ,->, ,Abrothrix,olivaceus, 
Abrothrix,macronychos, , ,->, ,Abrothrix,olivaceus, 
Abrothrix,mansoensis, , ,->, ,Abrothrix,olivaceus, 
Abrothrix,melampus, , ,->, ,Abrothrix,longipilis, 
Abrothrix,mochae, , ,->, ,Abrothrix,olivaceus, 
Abrothrix,modestior, , ,->, ,Abrothrix,longipilis, 
Abrothrix,moerens, , ,->, ,Abrothrix,longipilis, 
Abrothrix,nasica, , ,->, ,Abrothrix,olivaceus, 
Abrothrix,nemoralis, , ,->, ,Abrothrix,olivaceus, 
Abrothrix,nubila, , ,->, ,Abrothrix,longipilis, 
Abrothrix,ochrotis, , ,->, ,Abrothrix,jelskii, 
Abrothrix,pencanus, , ,->, ,Abrothrix,olivaceus, 
Abrothrix,polius, , ,->, ,Abrothrix,andinus, 
Abrothrix,porcinus, , ,->, ,Abrothrix,longipilis, 
Abrothrix,psilurus, , ,->, ,Abrothrix,olivaceus, 
Abrothrix,pulcherrimus, , ,->, ,Abrothrix,jelskii, 
Abrothrix,pyrrhotis, , ,->, ,Abrothrix,jelskii, 
Abrothrix,renggeri, , ,->, ,Abrothrix,olivaceus, 
Abrothrix,ruficaudus, , ,->, ,Abrothrix,olivaceus, 
Abrothrix,scalops, , ,->, ,Abrothrix,jelskii, 
Abrothrix,senilis, , ,->, ,Abrothrix,olivaceus, 
Abrothrix,sodalis, , ,->, ,Abrothrix,jelskii, 
Abrothrix,suffusus, , ,->, ,Abrothrix,longipilis, 
Abrothrix,trichotis, , ,->, ,Abrothrix,olivaceus, 
Abrothrix,vinealis, , ,->, ,Abrothrix,olivaceus, 
Abrothrix,xanthopus, , ,->, ,Abrothrix,olivaceus, 
Abrothrix,xanthorhinus, , ,->, ,Abrothrix,olivaceus, 
Acanthion,brachyura, , ,->, ,Hystrix,brachyura, 
Acanthion,javanica, , ,->, ,Hystrix,javanica, 
Acanthion,javanicum, , ,->, ,Hystrix,javanica, 
Acanthochoerus,grotei, , ,->, ,Hystrix,brachyura, 
Acerodon,alorensis, , ,->, ,Acerodon,mackloti, 
Acerodon,arquatus, , ,->, ,Acerodon,celebensis, 
Acerodon,aurinuchalis, , ,->, ,Acerodon,jubatus, 
Acerodon,floresianus, , ,->, ,Acerodon,mackloti, 
Acerodon,floresii, , ,->, ,Acerodon,mackloti, 
Acerodon,giluus, , ,->, ,Acerodon,mackloti, 
Acerodon,gilvus, , ,->, ,Acerodon,mackloti, 
Acerodon,lucifer, , ,->, ,Acerodon,jubatus, 
Acerodon,macklotii, , ,->, ,Acerodon,mackloti, 
Acerodon,mindanensis, , ,->, ,Acerodon,jubatus, 
Acerodon,obscurus, , ,->, ,Acerodon,leucotis, 
Acerodon,ochraphaeus, , ,->, ,Acerodon,mackloti, 
Acerodon,prajae, , ,->, ,Acerodon,mackloti, 
Acerodon,pyrrhocephalus, , ,->, ,Acerodon,jubatus, 
Acinonyx,fearonii, , ,->, ,Acinonyx,jubatus, 
Acinonyx,fearonis, , ,->, ,Acinonyx,jubatus, 
Acinonyx,guttata, , ,->, ,Acinonyx,jubatus, 
Acinonyx,hecki, , ,->, ,Acinonyx,jubatus, 
Acinonyx,lanea, , ,->, ,Acinonyx,jubatus, 
Acinonyx,megabalica, , ,->, ,Acinonyx,jubatus, 
Acinonyx,ngorongorensis, , ,->, ,Acinonyx,jubatus, 
Acinonyx,obergi, , ,->, ,Acinonyx,jubatus, 
Acinonyx,raddei, , ,->, ,Acinonyx,jubatus, 
Acinonyx,raineyi, , ,->, ,Acinonyx,jubatus, 
Acinonyx,rex, , ,->, ,Acinonyx,jubatus, 
Acinonyx,senegalensis, , ,->, ,Acinonyx,jubatus, 
Acinonyx,soemmeringii, , ,->, ,Acinonyx,jubatus, 
Acinonyx,velox, , ,->, ,Acinonyx,jubatus, 
Acinonyx,venatica, , ,->, ,Acinonyx,jubatus, 
Acinonyx,venaticus, , ,->, ,Acinonyx,jubatus, 
Acinonyx,venator, , ,->, ,Acinonyx,jubatus, 
Acinonyx,wagneri, , ,->, ,Acinonyx,jubatus, 
Acodon,macronyx, , ,->, ,Chelemys,macronyx, 
Acomys,ablutus, , ,->, ,Acomys,wilsoni, 
Acomys,aegyptiacus, , ,->, ,Acomys,russatus, 
Acomys,affinis, , ,->, ,Acomys,russatus, 
Acomys,albigena, , ,->, ,Acomys,cahirinus, 
Acomys,argillaceus, , ,->, ,Acomys,wilsoni, 
Acomys,boronei, , ,->, ,Acomys,wilsoni, 
Acomys,brockmani, , ,->, ,Acomys,mullah, 
Acomys,cahifnus, , ,->, ,Acomys,cahirinus, 
Acomys,cilicius, , ,->, ,Acomys,cilicicus, 
Acomys,cineracens, , ,->, ,Acomys,cineraceus, 
Acomys,cinerascens, , ,->, ,Acomys,cineraceus, 
Acomys,cinerasceus, , ,->, ,Acomys,cineraceus, 
Acomys,ellerman et al, , ,->, ,Acomys,dimidiatus, 
Acomys,enid, , ,->, ,Acomys,wilsoni, 
Acomys,flavidus, , ,->, ,Acomys,dimidiatus, 
Acomys,harrisoni, , ,->, ,Acomys,russatus, 
Acomys,hawashensis, , ,->, ,Acomys,cineraceus, 
Acomys,helmyi, , ,->, ,Acomys,cahirinus, 
Acomys,hispidus, , ,->, ,Acomys,dimidiatus, 
Acomys,homericus, , ,->, ,Acomys,dimidiatus, 
Acomys,hunteri, , ,->, ,Acomys,cahirinus, 
Acomys,hystrella, , ,->, ,Acomys,cineraceus, 
Acomys,intermedius, , ,->, ,Acomys,cineraceus, 
Acomys,lewisi, , ,->, ,Acomys,russatus, 
Acomys,lowei, , ,->, ,Acomys,cineraceus, 
Acomys,megalodus, , ,->, ,Acomys,cahirinus, 
Acomys,megalotis, , ,->, ,Acomys,dimidiatus, 
Acomys,montanus, , ,->, ,Acomys,kempi, 
Acomys,morrison-scott, , ,->, ,Acomys,dimidiatus, 
Acomys,"musser and carleton, 1993). volobouev et al. (1996:217) correctly noted ""the difficulty to find diagnostic morphological characters is especially notable in the cahirinus-dimidiatus", , ,->, ,Acomys,dimidiatus, 
Acomys,nubicus, , ,->, ,Acomys,cahirinus, 
Acomys,nubilus, , ,->, ,Acomys,wilsoni, 
Acomys,nussatus, , ,->, ,Acomys,russatus, 
Acomys,pulchellus, , ,->, ,Acomys,kempi, 
Acomys,reported as cahirinus, , ,->, ,Acomys,dimidiatus, 
Acomys,sabryi, , ,->, ,Acomys,cahirinus, 
Acomys,selousi, , ,->, ,Acomys,spinosissimus, 
Acomys,"setzer, 1959, 1975) has usually been listed in the synonymy of that species (ellerman and morrison-scott", , ,->, ,Acomys,dimidiatus, 
Acomys,spinossissimus, , ,->, ,Acomys,spinosissimus, 
Acomys,subgenus acomys, , ,->, ,Acomys,dimidiatus, 
Acomys,transvaalensis, , ,->, ,Acomys,spinosissimus, 
